Desc	Family ID	FRAX00	FRAX01	FRAX02	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	FRAX34	Mguttatus	Oeuropea	Slycopersicum
OG0000000	0	11	22	29	17	35	23	28	23	27	32	32	22	22	20	26	21	35	23	23	24	25	28	29	27	27	22	28	24	23	20	1	19	5
OG0000001	1	22	20	15	19	20	16	20	17	19	19	20	19	19	19	17	19	22	17	19	20	21	20	20	16	16	20	20	18	20	20	9	20	10
OG0000002	2	19	15	12	15	16	17	18	17	15	21	20	15	16	16	13	12	19	12	13	14	14	17	16	17	15	17	15	13	18	18	9	22	13
OG0000003	3	24	10	6	12	15	13	15	17	13	18	16	12	15	9	10	15	15	16	19	15	16	12	16	13	19	12	15	14	13	12	21	34	24
OG0000004	4	20	16	11	10	13	15	16	15	15	17	14	16	13	13	15	15	20	17	17	15	11	16	15	13	14	15	15	14	15	15	8	13	12
OG0000005	5	17	13	8	16	11	12	17	16	14	17	15	13	13	13	13	13	16	13	13	13	14	15	14	17	12	17	15	16	16	16	9	13	6
OG0000006	6	3	16	13	19	14	13	15	18	15	20	13	20	16	12	15	13	18	16	18	13	15	16	8	13	13	20	9	13	13	6	2	9	4
OG0000007	7	15	13	17	13	8	13	12	13	12	21	7	14	15	14	10	11	13	15	15	14	12	16	9	16	14	13	12	14	20	17	2	28	1
OG0000008	8	8	12	15	13	11	12	14	12	14	12	11	13	13	13	14	12	13	13	10	13	13	13	11	11	14	12	11	13	16	13	49	8	4
OG0000009	9	17	13	11	12	13	11	12	14	14	13	16	11	13	12	13	14	14	13	14	12	13	15	15	14	14	11	13	11	15	12	10	15	12
OG0000010	10	14	12	15	11	10	12	15	12	15	14	9	19	9	11	8	9	14	14	16	8	14	14	10	17	15	16	8	17	17	9	6	38	3
OG0000011	11	14	10	11	11	15	11	10	13	14	12	16	12	13	13	13	11	12	12	11	13	14	13	15	15	11	13	13	13	11	11	7	15	12
OG0000012	12	4	16	8	8	14	9	14	14	15	17	13	10	15	13	14	13	15	13	21	16	13	10	12	16	15	12	17	13	9	8	0	3	2
OG0000013	13	12	12	11	13	14	13	12	10	12	14	15	13	12	13	9	9	11	12	12	10	9	15	13	12	10	11	13	12	12	12	7	12	7
OG0000014	14	13	9	9	13	14	14	11	14	10	15	15	11	13	13	9	9	11	12	9	7	11	13	14	12	9	11	14	13	11	8	8	17	7
OG0000015	15	10	12	10	12	14	11	13	14	11	12	14	11	10	10	13	8	11	13	12	11	12	9	10	14	13	9	11	13	13	9	4	19	6
OG0000016	16	2	16	13	6	10	15	6	11	14	12	9	10	14	19	12	5	15	11	14	12	16	17	10	20	15	14	13	16	14	9	0	3	0
OG0000017	17	11	11	13	14	10	16	12	11	9	14	11	9	13	14	13	12	12	10	11	11	11	14	12	10	14	12	11	12	14	13	3	8	1
OG0000018	18	10	13	10	9	6	13	14	10	9	5	9	19	12	10	14	11	9	7	9	9	5	16	10	11	12	15	5	23	8	3	22	20	8
OG0000019	19	6	13	17	16	10	16	9	8	14	3	2	12	17	17	15	16	5	12	10	16	12	10	6	12	18	13	11	12	8	19	3	1	6
OG0000020	20	12	10	13	9	11	11	15	12	5	11	13	6	10	8	6	6	11	4	5	7	8	6	10	8	11	7	10	8	7	9	66	6	23
OG0000021	21	9	10	11	12	11	10	11	11	11	12	11	11	11	12	10	11	13	13	11	9	11	10	11	11	11	11	12	11	12	10	7	14	11
OG0000022	22	8	6	13	5	17	11	16	20	8	21	23	10	10	7	5	6	23	9	15	9	11	11	17	7	10	10	13	11	8	4	1	1	16
OG0000023	23	6	10	13	12	14	11	11	12	13	10	9	9	12	10	10	6	14	10	9	13	14	11	11	6	12	9	11	13	13	11	7	21	7
OG0000024	24	11	11	17	10	9	11	11	10	12	12	10	11	10	8	12	7	11	12	10	12	8	11	9	11	13	12	13	11	11	10	7	10	8
OG0000025	25	15	9	6	10	12	7	9	13	11	17	10	10	8	8	9	7	10	7	12	8	11	13	10	8	9	11	11	9	9	6	8	27	17
OG0000026	26	12	10	8	10	11	10	12	11	10	11	11	11	10	11	11	10	10	11	11	11	11	10	11	12	12	11	10	12	10	10	4	15	4
OG0000027	27	1	14	9	9	10	12	9	12	11	12	12	7	9	13	10	13	14	11	11	9	13	14	18	12	14	12	18	11	11	12	0	1	0
OG0000028	28	12	10	9	12	10	11	12	11	8	15	11	12	10	11	5	7	13	11	11	11	12	12	13	11	7	10	11	11	12	9	3	10	6
OG0000029	29	1	10	10	9	9	9	10	9	9	10	10	9	10	10	10	10	10	8	10	10	10	9	10	9	7	10	8	9	10	10	50	2	11
OG0000030	30	8	7	13	12	9	15	13	11	7	11	7	14	13	13	8	11	7	8	9	11	10	15	8	10	11	8	8	11	9	11	0	25	2
OG0000031	31	3	7	11	13	15	14	13	15	14	20	13	13	10	7	9	6	11	12	3	13	6	12	15	9	13	11	4	14	19	6	0	2	0
OG0000032	32	5	12	14	12	0	12	12	16	13	15	1	17	14	6	12	10	12	5	12	12	9	13	1	17	14	15	7	18	13	8	0	1	1
OG0000033	33	12	12	4	9	13	9	12	11	8	12	13	11	9	8	11	9	13	9	9	10	11	8	9	10	8	10	13	10	12	8	6	11	6
OG0000034	34	4	12	9	12	13	11	10	12	7	13	14	10	13	13	9	9	11	10	13	12	10	12	11	9	11	13	11	10	13	7	0	2	0
OG0000035	35	12	8	9	9	8	9	12	10	8	12	13	12	8	7	11	8	12	9	10	12	8	8	11	9	8	9	10	12	9	8	6	12	6
OG0000036	36	7	11	9	7	9	7	8	8	7	8	8	8	10	8	8	8	13	7	9	5	9	10	10	9	11	9	6	11	12	11	19	13	18
OG0000037	37	10	9	9	8	11	9	12	11	10	10	11	10	9	8	10	10	10	9	9	10	8	10	10	11	8	9	11	8	11	10	5	11	6
OG0000038	38	3	10	15	14	6	15	6	6	11	9	2	13	10	8	10	8	4	10	10	9	13	15	11	7	10	15	7	9	16	9	3	11	5
OG0000039	39	9	8	10	9	7	12	11	13	9	8	7	8	6	11	8	6	7	8	11	10	5	12	6	11	10	12	7	9	6	10	8	32	3
OG0000040	40	11	9	9	11	11	8	10	10	6	9	10	8	9	10	9	9	9	10	10	9	10	10	9	10	8	9	10	8	10	10	5	13	5
OG0000041	41	2	9	8	11	9	12	6	14	12	17	7	7	10	9	5	3	16	10	11	16	5	9	8	6	9	9	9	10	10	7	0	7	20
OG0000042	42	9	10	9	9	9	8	10	10	8	10	11	6	9	9	9	9	10	10	9	8	11	8	11	11	8	8	10	11	9	7	4	14	5
OG0000043	43	5	8	15	7	8	8	11	8	8	7	6	11	9	7	9	10	12	12	9	11	8	9	8	5	12	12	8	9	12	8	6	18	1
OG0000044	44	2	9	10	13	6	9	10	10	12	11	9	10	10	11	11	10	9	8	11	9	9	13	4	11	11	12	6	10	9	11	0	8	0
OG0000045	45	8	9	8	9	7	8	9	8	9	8	8	8	9	8	9	10	11	9	10	10	10	9	9	8	9	11	9	10	8	8	7	12	8
OG0000046	46	9	9	12	9	9	9	10	10	9	8	9	9	8	9	9	7	10	10	8	8	8	8	10	9	11	9	9	8	9	7	3	11	5
OG0000047	47	4	8	11	11	12	10	9	10	11	5	10	10	10	9	8	10	12	9	10	10	8	9	12	10	11	9	9	11	11	7	0	1	1
OG0000048	48	9	8	4	8	5	8	11	10	9	10	11	5	10	11	8	6	14	5	7	9	5	14	6	9	10	12	8	10	6	3	0	35	2
OG0000049	49	10	9	10	6	9	9	4	10	9	6	7	13	9	11	10	9	6	3	12	9	9	10	9	9	13	11	4	13	7	12	0	12	5
OG0000050	50	6	5	14	14	5	7	8	7	4	9	7	14	12	9	9	6	8	6	7	6	10	8	7	13	11	11	6	9	11	10	5	18	1
OG0000051	51	10	9	9	8	9	9	13	8	8	9	10	9	8	7	9	8	9	6	9	9	10	8	9	9	7	7	10	6	8	9	8	9	6
OG0000052	52	4	8	12	8	6	9	11	14	7	14	6	11	13	9	8	10	10	8	13	9	6	8	8	13	13	11	0	10	11	9	0	1	0
OG0000053	53	3	7	9	10	7	8	6	14	6	9	9	7	11	7	5	9	16	15	10	9	13	13	3	9	13	6	10	10	9	4	3	8	1
OG0000054	54	10	8	8	7	9	10	11	11	7	11	11	8	6	6	9	8	11	9	10	9	7	8	8	8	7	8	9	6	10	9	4	10	5
OG0000055	55	8	9	13	8	7	8	8	11	8	8	8	9	7	8	7	8	8	10	6	8	10	7	11	9	9	9	9	11	9	8	3	10	6
OG0000056	56	11	5	6	7	6	9	8	9	8	8	8	11	7	6	5	3	7	6	8	6	9	11	6	8	10	9	6	12	11	10	0	26	13
OG0000057	57	3	12	16	8	8	10	7	9	9	10	10	7	9	14	13	11	8	8	7	8	2	7	10	12	11	10	1	12	7	12	0	2	2
OG0000058	58	9	7	6	9	9	8	10	9	8	9	10	8	8	7	9	7	9	7	7	10	8	9	9	9	7	9	9	8	8	9	5	10	5
OG0000059	59	1	12	9	8	8	10	11	10	9	10	9	11	9	9	7	9	8	7	10	11	9	11	7	10	10	10	7	8	10	10	0	1	0
OG0000060	60	11	11	10	9	9	8	12	10	10	7	12	8	4	8	9	4	5	6	13	4	6	4	9	12	10	11	8	8	11	7	2	12	0
OG0000061	61	10	8	7	8	12	7	7	9	9	9	8	4	10	9	5	5	8	11	10	4	10	7	7	7	11	10	10	10	9	2	3	21	3
OG0000062	62	9	9	5	8	8	10	8	9	11	6	7	7	9	12	7	6	9	8	9	9	7	9	8	8	8	7	9	9	10	7	5	13	4
OG0000063	63	8	9	6	8	9	8	8	8	7	9	9	7	7	6	9	8	9	8	8	8	9	8	9	8	8	8	9	8	8	6	13	9	6
OG0000064	64	15	5	5	9	6	6	9	6	9	8	7	6	6	8	4	5	6	9	9	9	8	8	6	13	6	6	4	9	10	6	15	27	2
OG0000065	65	4	8	11	10	10	10	9	5	8	9	10	8	9	8	11	9	6	6	8	11	10	9	11	7	7	8	10	7	10	9	2	4	3
OG0000066	66	16	10	9	6	9	8	10	9	3	6	7	7	9	9	9	9	9	5	9	7	10	9	10	8	11	8	8	12	9	6	2	7	0
OG0000067	67	2	12	10	11	4	15	11	9	6	10	5	9	9	14	9	8	10	8	10	7	5	12	6	7	7	8	8	5	13	8	0	6	0
OG0000068	68	9	4	9	8	7	7	9	10	9	10	10	10	9	8	7	6	10	5	8	5	5	8	8	8	8	6	11	8	8	9	7	11	5
OG0000069	69	2	6	7	9	9	9	6	10	8	9	11	9	9	9	9	9	10	9	8	6	9	8	10	9	8	11	9	8	9	6	1	3	3
OG0000070	70	2	11	8	9	6	11	9	10	11	11	3	10	8	11	7	7	10	8	6	9	6	12	9	8	8	7	6	11	12	8	0	0	0
OG0000071	71	8	8	8	7	8	5	8	9	7	9	9	9	7	6	4	7	8	8	8	6	9	8	9	8	10	7	9	7	8	7	6	9	8
OG0000072	72	1	8	9	6	9	7	9	10	9	8	10	9	10	8	10	8	10	10	8	9	6	10	10	10	9	9	5	10	10	6	0	1	0
OG0000073	73	1	8	9	6	9	9	4	8	6	6	7	10	8	6	9	7	8	10	7	6	10	10	10	10	10	10	7	9	9	5	1	13	5
OG0000074	74	7	7	16	10	6	15	5	4	11	2	3	9	12	12	12	9	4	5	10	9	9	9	4	9	11	9	2	4	8	15	0	1	3
OG0000075	75	6	10	4	10	7	9	10	10	6	8	10	9	5	7	3	7	6	5	10	3	6	9	6	9	13	9	8	11	9	3	2	15	7
OG0000076	76	5	6	9	11	7	11	5	9	7	11	8	4	10	7	4	2	4	6	13	6	10	11	5	7	9	7	6	10	11	7	2	12	5
OG0000077	77	8	5	6	5	9	4	13	8	8	5	9	8	8	5	5	4	9	6	7	7	6	11	8	9	4	8	9	10	8	4	17	11	3
OG0000078	78	9	9	9	7	7	8	9	7	7	9	8	7	8	7	7	7	9	7	6	7	6	7	8	7	7	7	9	8	10	6	5	8	4
OG0000079	79	8	11	7	8	8	5	8	9	8	8	8	8	4	8	8	8	9	8	7	7	7	5	7	9	8	7	8	9	7	5	2	9	8
OG0000080	80	5	5	12	8	5	8	7	10	10	9	11	8	9	10	3	4	9	9	10	5	8	10	9	6	6	9	8	7	7	5	1	1	12
OG0000081	81	8	8	10	7	8	8	6	7	6	8	7	8	7	8	6	6	7	8	8	7	8	9	6	7	8	7	8	8	7	8	7	10	3
OG0000082	82	6	5	5	8	7	9	5	8	5	7	10	9	7	8	5	6	8	4	7	5	5	10	4	7	9	6	7	8	7	7	21	6	12
OG0000083	83	10	8	5	8	6	8	9	9	6	9	8	7	7	7	7	8	8	7	8	7	6	8	6	7	7	7	9	7	8	8	5	8	4
OG0000084	84	8	5	8	7	8	7	9	8	8	10	9	8	7	5	8	7	8	5	6	6	6	8	8	9	8	7	8	9	8	7	4	7	4
OG0000085	85	2	4	7	7	9	9	10	10	6	4	6	8	9	8	9	9	8	4	7	9	6	8	8	10	9	10	3	10	8	8	0	14	1
OG0000086	86	11	9	10	5	4	4	8	10	7	12	4	7	7	6	7	6	8	3	8	6	7	9	2	11	10	7	4	9	8	4	0	26	0
OG0000087	87	6	6	8	9	9	8	7	9	5	9	10	9	7	9	6	6	8	8	7	7	5	9	8	8	5	9	7	8	9	3	4	8	3
OG0000088	88	8	8	3	6	8	7	8	7	8	8	6	7	8	7	7	8	6	7	8	7	7	9	8	8	4	8	7	8	7	8	5	15	2
OG0000089	89	7	8	7	7	7	7	8	8	7	8	8	7	8	6	8	6	9	7	7	7	7	6	7	8	8	7	8	6	8	7	4	9	6
OG0000090	90	9	5	6	7	10	4	10	8	8	12	9	4	9	9	2	7	8	5	10	7	7	8	11	9	4	6	2	7	10	3	4	13	2
OG0000091	91	1	8	5	9	4	9	9	10	7	9	6	9	7	7	10	8	11	8	9	8	9	9	4	9	9	8	6	10	9	5	0	3	0
OG0000092	92	6	9	9	8	6	8	8	8	6	7	6	8	8	6	7	7	7	5	6	7	8	7	6	7	8	6	6	7	7	8	4	9	9
OG0000093	93	8	7	7	9	6	10	8	7	6	11	9	4	7	10	4	7	8	6	8	5	7	10	6	5	7	7	6	8	9	6	2	11	2
OG0000094	94	6	7	9	8	8	10	8	8	6	9	7	9	8	8	8	7	5	5	7	7	6	9	6	7	8	7	5	6	7	7	2	8	2
OG0000095	95	7	4	10	5	6	9	8	5	7	5	6	6	6	8	7	8	8	10	6	6	6	6	6	4	9	9	6	7	6	7	7	5	15
OG0000096	96	7	6	5	8	6	8	8	7	6	7	8	7	7	8	8	7	7	5	7	7	4	8	8	7	7	7	8	8	6	7	5	8	6
OG0000097	97	8	8	10	7	8	9	6	8	6	7	8	5	9	6	5	6	4	7	8	8	5	7	7	9	6	5	7	4	10	6	3	10	5
OG0000098	98	8	7	6	7	7	7	8	8	8	8	8	6	6	7	7	6	8	7	7	8	5	7	7	8	6	7	7	6	6	6	3	10	3
OG0000099	99	1	7	8	7	5	9	6	8	9	9	5	8	8	10	7	6	8	6	9	7	5	8	7	9	10	10	7	9	6	10	0	1	0
OG0000100	100	7	8	7	7	8	8	7	7	6	7	7	6	7	7	6	7	7	7	8	7	7	7	7	6	7	8	6	7	7	8	2	9	2
OG0000101	101	2	7	6	8	6	11	5	10	8	8	6	9	11	8	5	5	7	9	4	5	12	6	9	7	13	7	3	10	10	6	0	1	0
OG0000102	102	7	6	2	6	8	8	7	9	1	9	8	7	7	4	7	6	3	3	7	8	11	8	8	4	15	4	7	7	7	4	2	18	3
OG0000103	103	9	9	3	6	6	3	8	8	8	11	9	8	8	8	6	8	7	5	5	5	4	7	5	7	5	5	9	7	10	5	0	16	1
OG0000104	104	7	5	9	7	7	5	10	6	5	7	8	6	7	6	8	6	6	6	6	8	6	7	7	6	6	6	7	6	7	7	4	10	7
OG0000105	105	8	7	6	7	7	7	7	6	6	7	7	6	7	7	7	7	7	6	6	7	6	7	7	6	7	7	7	6	7	7	4	9	5
OG0000106	106	8	6	5	6	6	5	8	8	7	9	8	7	7	5	8	5	8	7	7	5	7	7	7	7	8	7	7	7	6	8	3	5	4
OG0000107	107	6	5	7	7	9	7	6	6	4	8	9	7	7	8	7	6	7	3	8	8	6	7	6	4	8	6	8	6	6	8	3	8	6
OG0000108	108	7	5	9	7	6	7	6	7	7	6	6	7	7	8	5	6	5	9	7	6	6	9	6	6	6	8	7	9	6	9	2	6	4
OG0000109	109	8	5	3	7	9	7	6	7	6	8	8	6	4	5	4	6	10	8	8	5	6	7	7	7	6	6	8	7	8	6	5	10	4
OG0000110	110	4	6	10	7	8	6	9	9	8	6	8	7	5	6	9	6	8	7	4	7	5	5	10	7	8	8	6	8	9	3	3	4	1
OG0000111	111	6	6	9	4	8	7	9	6	9	5	8	7	5	3	5	4	9	5	7	8	5	5	8	7	10	9	5	9	5	4	10	5	4
OG0000112	112	12	6	6	3	8	9	7	8	5	8	9	5	7	8	6	5	9	3	6	6	5	7	4	7	5	5	8	7	8	4	5	10	5
OG0000113	113	6	5	5	8	7	9	4	7	7	4	6	8	6	8	5	6	7	7	5	5	8	5	10	5	8	7	6	8	5	6	13	10	0
OG0000114	114	6	9	9	6	7	4	8	8	8	5	7	7	6	5	8	7	5	4	9	8	5	5	9	8	13	6	10	7	6	4	2	2	3
OG0000115	115	2	3	7	9	6	9	4	8	7	11	8	6	8	5	3	5	7	9	6	8	8	7	6	9	10	8	9	7	10	7	4	0	0
OG0000116	116	6	9	6	6	9	7	8	8	6	7	8	4	5	6	6	7	8	5	6	7	6	7	7	5	7	6	7	5	5	6	5	10	5
OG0000117	117	7	7	9	7	5	6	5	5	7	8	5	10	7	7	5	5	3	3	8	8	7	8	9	4	7	6	8	5	6	8	0	14	6
OG0000118	118	1	6	6	10	7	10	6	8	5	4	7	10	7	8	6	3	6	7	8	7	7	9	6	8	6	6	8	9	6	9	2	6	1
OG0000119	119	6	9	10	5	5	6	8	10	7	6	4	5	8	5	8	5	6	5	6	8	7	6	5	9	8	11	5	9	5	6	2	7	2
OG0000120	120	6	7	10	6	6	7	6	6	6	6	6	6	6	6	6	7	9	6	8	8	8	7	7	6	7	6	5	6	6	6	5	6	4
OG0000121	121	4	8	2	7	8	8	7	14	8	4	9	3	5	4	7	8	8	6	9	6	4	7	5	9	7	5	5	5	9	3	0	19	0
OG0000122	122	4	6	6	5	4	8	4	8	12	7	4	10	8	9	3	5	8	8	4	2	5	11	3	8	7	8	9	8	9	6	0	14	0
OG0000123	123	1	7	8	8	8	6	7	6	6	9	7	1	8	6	7	7	7	6	8	7	9	8	7	10	3	7	9	9	5	3	0	13	0
OG0000124	124	8	7	7	4	4	5	10	7	5	10	9	3	9	5	4	8	7	5	9	6	4	12	5	4	6	4	7	6	10	6	2	14	0
OG0000125	125	7	6	5	7	6	8	6	6	6	7	7	7	8	7	6	6	5	6	6	7	7	7	6	7	7	7	7	7	7	8	3	6	4
OG0000126	126	6	6	10	10	6	10	6	7	6	8	8	5	7	7	4	4	7	6	6	6	4	9	8	7	8	7	6	7	6	4	1	9	1
OG0000127	127	8	7	9	7	7	7	6	7	6	7	8	6	7	5	7	5	7	7	5	6	5	8	7	6	4	7	7	6	6	6	4	6	5
OG0000128	128	5	7	7	8	6	7	6	8	7	7	7	7	6	7	7	4	7	7	8	5	5	7	6	7	7	7	7	7	7	7	3	5	3
OG0000129	129	8	8	5	7	7	7	8	7	7	7	7	7	7	6	6	7	7	7	7	6	6	7	6	8	6	6	7	6	4	5	3	6	2
OG0000130	130	1	10	9	7	3	7	6	7	7	9	4	6	8	8	9	5	10	9	8	8	8	9	4	9	4	5	6	5	8	5	0	6	0
OG0000131	131	8	8	8	5	6	5	11	8	9	5	6	7	5	6	5	6	5	5	6	9	6	6	6	8	7	6	6	8	6	6	2	8	2
OG0000132	132	6	7	6	7	7	5	6	6	7	7	7	7	6	6	6	6	7	4	6	6	6	7	6	7	6	7	7	7	8	8	4	7	5
OG0000133	133	8	7	4	7	7	6	8	6	6	6	6	5	8	7	6	6	6	7	6	6	6	8	5	8	6	6	7	7	5	5	3	7	5
OG0000134	134	6	6	8	5	6	7	6	7	6	7	7	6	6	7	5	5	6	6	7	6	7	6	7	6	7	7	7	7	7	6	3	6	4
OG0000135	135	4	4	11	7	5	5	5	6	8	5	4	9	6	6	3	6	6	6	8	5	5	7	4	8	10	7	4	7	6	5	18	4	1
OG0000136	136	6	5	5	6	7	6	9	9	4	8	8	5	7	6	4	6	5	6	6	5	7	7	7	6	8	8	7	6	7	4	6	6	3
OG0000137	137	6	7	8	7	6	7	7	7	6	6	6	8	6	7	6	7	5	6	4	7	7	7	7	6	7	5	7	7	7	6	3	4	2
OG0000138	138	6	7	3	8	6	7	9	7	4	8	7	4	8	6	5	2	6	5	6	5	3	8	7	8	5	5	8	8	8	8	3	10	4
OG0000139	139	3	8	8	8	3	9	2	3	6	4	3	9	7	8	6	7	5	7	5	9	8	8	5	8	5	9	7	7	7	8	1	9	2
