        Expansions      Genes Gained    Equal   Contractions    Genes Lost      Families Lost   Average Expansion       Sig Expansions  Sig Contractions        Total Sig Changes
FRAX08<12>      1036    1226    18285   8416    9429    4587    -0.295742       62      13      75
<33>    81      82      25310   2346    2362    2137    -0.0822007      6       11      17
<41>    204     207     26494   1039    1068    647     -0.0310416      22      21      43
FRAX25<26>      907     1061    17090   9740    11005   5527    -0.35851        57      38      95
<25>    46      46      26076   1615    1616    1522    -0.0566031      15      1       16
<19>    70      71      26868   799     818     435     -0.0269315      11      8       19
<21>    322     339     26468   947     978     284     -0.0230378      12      7       19
<27>    16      16      25936   1785    1785    1663    -0.0637776      0       0       0
<31>    218     232     25538   1981    1988    1665    -0.0633089      21      0       21
<23>    42      42      27667   28      28      0       0.000504741     8       0       8
FRAX15<18>      845     966     21222   5670    6319    2799    -0.192991       48      29      77
<35>    325     332     26084   1328    1394    577     -0.0382882      1       17      18
<37>    120     123     26292   1325    1338    1206    -0.0438043      8       9       17
FRAX32<2>       1029    1151    23996   2712    2931    1312    -0.0641742      129     76      205
FRAX21<28>      1028    1283    15869   10840   11732   6881    -0.376717       46      1       47
FRAX33<52>      1177    1362    20396   6164    6572    3862    -0.187836       52      11      63
Oeuropea<56>    5324    8134    13067   9346    9580    8434    -0.0521325      96      19      115
FRAX26<46>      1035    1176    24402   2300    2434    1224    -0.0453546      141     65      206
<5>     193     205     25483   2061    2090    867     -0.0679598      6       4       10
FRAX16<16>      664     762     22003   5070    5693    2281    -0.177777       120     163     283
Slycopersicum<58>       1371    3208    22885   3481    4249    1651    -0.0375311      64      77      141
<3>     244     254     26511   982     1014    598     -0.0274002      22      12      34
<47>    166     169     24922   2649    2691    1717    -0.0909255      16      14      30
FRAX23<24>      754     876     19064   7919    8668    4445    -0.280924       48      23      71
FRAX31<54>      2025    2320    13670   12042   13251   8657    -0.394095       43      2       45
<11>    195     201     25505   2037    2037    1995    -0.0661932      55      0       55
FRAX01<14>      894     1032    23996   2847    3030    1462    -0.0720337      144     75      219
FRAX09<42>      1819    2140    23472   2446    2818    1515    -0.0244439      305     226     531
FRAX19<30>      1566    1897    22910   3261    3496    1363    -0.0576486      60      14      74
<13>    315     345     27094   328     330     111     0.000540794     22      0       22
FRAX12<6>       1128    1323    20433   6176    6744    3262    -0.195443       70      62      132
<49>    300     320     26595   842     846     361     -0.0189638      40      0       40
<17>    253     261     25243   2241    2293    1321    -0.0732595      46      14      60
<43>    249     263     26572   916     925     668     -0.023867       27      3       30
<15>    149     173     26088   1500    1555    697     -0.0498251      13      4       17
Mguttatus<60>   1021    2323    22790   3926    4741    1613    -0.087176       52      100     152
FRAX14<48>      634     723     22750   4353    4891    1927    -0.150269       117     133     250
FRAX29<10>      1855    2236    19009   6873    7571    3876    -0.192342       90      23      113
<9>     84      84      27638   15      15      0       0.00248765      15      0       15
FRAX07<8>       1405    1596    21151   5181    5618    3329    -0.145005       43      35      78
FRAX00<20>      2328    2791    21637   3772    4544    1823    -0.0632008      83      114     197
FRAX05<50>      1410    1635    20434   5893    6273    3457    -0.167213       75      7       82
FRAX20<32>      783     904     20687   6267    7254    2224    -0.228936       50      34      84
<45>    266     283     26765   706     720     299     -0.0157551      12      1       13
<55>    1524    1785    26213   0       0       0       0.0643545       16      0       16
FRAX30<0>       988     1109    23849   2900    3151    1359    -0.0736201      120     77      197
<53>    70      75      27621   46      56      0       0.000685006     29      0       29
FRAX27<36>      754     861     23854   3129    3415    1172    -0.0920792      40      42      82
<51>    246     268     25626   1865    1871    1367    -0.0577928      33      1       34
FRAX04<38>      811     888     21690   5236    5790    2121    -0.176731       24      9       33
FRAX13<44>      746     855     21819   5172    5560    2692    -0.169629       123     100     223
<1>     222     229     25863   1652    1707    885     -0.0532862      37      28      65
FRAX03<40>      888     1052    22352   4497    4997    2143    -0.142229       244     151     395
FRAX11<34>      1182    1298    24569   1986    2165    1194    -0.0312579      35      70      105
<7>     511     548     26486   740     746     258     -0.00713848     19      0       19
<59>    351     554     11075   16311   17638   10713   -0.615928       20      222     242
<29>    2159    2563    22948   2630    3110    562     -0.019721       167     10      177
FRAX28<4>       1066    1239    22434   4237    4533    2310    -0.118758       71      84      155
FRAX06<22>      1292    1522    21089   5356    5719    3622    -0.151314       67      18      85
<39>    568     591     23813   3356    3384    2641    -0.100696       6       1       7

CAFE labeled tree:      (((((((((((FRAX30<0>,FRAX32<2>)<1>,FRAX28<4>)<3>,FRAX12<6>)<5>,(FRAX07<8>,FRAX29<10>)<9>)<7>,FRAX08<12>)<11>,(((((FRAX01<14>,FRAX16<16>)<15>,FRAX15<18>)<17>,FRAX00<20>)<19>,(FRAX06<22>,FRAX23<24>)<23>)<21>,FRAX25<26>)<25>)<13>,FRAX21<28>)<27>,(((FRAX19<30>,FRAX20<32>)<31>,((FRAX11<34>,FRAX27<36>)<35>,FRAX04<38>)<37>)<33>,(((((FRAX03<40>,FRAX09<42>)<41>,FRAX13<44>)<43>,(FRAX26<46>,FRAX14<48>)<47>)<45>,FRAX05<50>)<49>,FRAX33<52>)<51>)<39>)<29>,FRAX31<54>)<53>,Oeuropea<56>)<55>,(Slycopersicum<58>,Mguttatus<60>)<59>)<57>
