Family ID	FRAX08<12>	<33>	FRAX05<50>	FRAX25<26>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	Slycopersicum<58>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	Mguttatus<60>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<59>	<29>	FRAX28<4>	FRAX06<22>	<5>
0	27	31	23	25	28	20	27	28	31	27	26	31	31	24	23	23	19	28	21	5	17	23	24	28	28	30	32	35	28	22	27	25	25	22	1	25	27	27	20	26	22	11	22	23	26	25	22	22	29	28	35	24	27	32	25	5	28	27	28	25
1	19	21	16	21	22	19	22	22	21	22	17	21	21	18	19	20	20	20	19	10	19	17	20	20	22	21	19	22	22	19	20	21	19	20	9	22	16	20	20	20	20	22	19	17	20	19	20	20	20	21	20	19	20	20	19	11	22	16	20	19
2	15	18	17	14	17	16	17	18	18	17	13	18	18	13	13	18	22	17	12	13	15	17	14	15	17	18	21	19	17	15	18	16	17	15	9	17	15	17	19	17	15	19	16	12	17	17	17	19	16	18	16	17	17	20	17	13	18	17	18	17
3	13	17	13	16	19	9	18	20	17	18	10	17	17	14	19	13	34	12	15	24	12	17	15	15	19	17	18	15	19	12	15	15	15	14	21	18	19	18	28	12	10	24	15	16	15	14	12	27	16	16	15	14	18	16	15	23	20	13	15	14
4	15	17	15	11	17	13	17	17	18	17	15	16	17	14	17	15	13	16	15	12	10	15	15	15	17	17	17	20	17	16	16	17	14	16	8	17	14	16	15	15	16	20	13	17	15	15	15	15	15	17	13	15	16	14	14	11	17	13	16	16
5	14	15	12	14	16	13	16	16	15	16	13	15	15	16	13	16	13	15	13	6	16	16	13	15	16	15	17	16	16	13	15	15	15	13	9	16	12	16	14	15	13	17	13	13	15	17	17	14	14	15	11	17	16	15	16	9	16	17	17	16
6	15	16	13	15	17	12	16	17	16	16	15	13	16	13	18	13	9	16	13	4	19	18	13	9	17	16	20	18	17	20	16	15	18	15	2	15	13	17	10	16	16	3	16	16	17	17	20	11	8	16	14	17	17	13	19	4	17	13	15	18
7	12	14	13	12	15	14	14	16	14	14	10	10	13	14	15	20	28	16	11	1	13	13	14	12	15	15	21	13	15	14	16	13	16	13	2	14	14	15	17	16	13	15	15	15	16	15	13	17	9	16	8	14	15	7	16	2	16	16	12	15
8	14	13	12	13	14	13	14	14	13	14	14	12	13	13	10	16	8	13	12	4	13	12	13	11	14	13	12	13	14	13	13	13	13	12	49	13	14	14	14	13	12	8	13	13	13	13	12	14	11	13	11	13	14	11	13	17	14	11	14	13
9	14	15	11	13	15	12	15	15	15	15	13	15	15	11	14	15	15	15	14	12	12	14	12	13	15	15	13	14	15	11	14	15	13	14	10	15	14	14	15	14	13	17	13	13	14	13	11	15	15	15	13	12	14	16	13	12	15	14	12	13
10	15	14	12	14	16	11	14	16	14	14	8	11	13	17	16	17	38	14	9	3	11	12	8	8	16	14	14	14	16	19	14	12	12	12	6	13	15	16	19	13	12	14	9	14	13	17	16	19	10	14	10	17	16	9	12	6	16	17	15	17
