Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	1036	8416	75
<33>	81	2346	17
<41>	204	1039	43
FRAX25<26>	907	9740	95
<25>	46	1615	16
<19>	70	799	19
<21>	322	947	19
<27>	16	1785	0
<31>	218	1981	21
<23>	42	28	8
FRAX15<18>	845	5670	77
<35>	325	1328	18
<37>	120	1325	17
FRAX32<2>	1029	2712	205
FRAX21<28>	1028	10840	47
FRAX33<52>	1177	6164	63
Oeuropea<56>	5324	9346	115
FRAX26<46>	1035	2300	206
<5>	193	2061	10
FRAX16<16>	664	5070	283
Slycopersicum<58>	1371	3481	141
<3>	244	982	34
<47>	166	2649	30
FRAX23<24>	754	7919	71
FRAX31<54>	2025	12042	45
<11>	195	2037	55
FRAX01<14>	894	2847	219
FRAX09<42>	1819	2446	531
FRAX19<30>	1566	3261	74
<13>	315	328	22
FRAX12<6>	1128	6176	132
<49>	300	842	40
<17>	253	2241	60
<43>	249	916	30
<15>	149	1500	17
Mguttatus<60>	1021	3926	152
FRAX14<48>	634	4353	250
FRAX29<10>	1855	6873	113
<9>	84	15	15
FRAX07<8>	1405	5181	78
FRAX00<20>	2328	3772	197
FRAX05<50>	1410	5893	82
FRAX20<32>	783	6267	84
<45>	266	706	13
<55>	1524	0	16
FRAX30<0>	988	2900	197
<53>	70	46	29
FRAX27<36>	754	3129	82
<51>	246	1865	34
FRAX04<38>	811	5236	33
FRAX13<44>	746	5172	223
<1>	222	1652	65
FRAX03<40>	888	4497	395
FRAX11<34>	1182	1986	105
<7>	511	740	19
<59>	351	16311	242
<29>	2159	2630	177
FRAX28<4>	1066	4237	155
FRAX06<22>	1292	5356	85
<39>	568	3356	7
