Node	Expansions	Contractions	Rapidly evolving families
F_paxiana<12>	1036	8416	75
<33>	81	2346	17
<41>	204	1039	43
F_xanthoxyloides<26>	907	9740	95
<25>	46	1615	16
<19>	70	799	19
<21>	322	947	19
<27>	16	1785	0
<31>	218	1981	21
<23>	42	28	8
F_angustifolia_subsp_oxycarpa<18>	845	5670	77
<35>	325	1328	18
<37>	120	1325	17
F_floribunda<2>	1029	2712	205
F_griffithii<28>	1028	10840	47
F_platypoda<52>	1177	6164	63
Olea_europaea<56>	5324	9346	115
F_albicans<46>	1035	2300	206
<5>	193	2061	10
F_angustifolia_subsp_syriaca<16>	664	5070	283
Solanum_lycopersicum<58>	1371	3481	141
<3>	244	982	34
<47>	166	2649	30
F_nigra<24>	754	7919	71
F_cuspidata<54>	2025	12042	45
<11>	195	2037	55
F_angustifolia<14>	894	2847	219
F_pennsylvanica<42>	1819	2446	531
F_goodingii<30>	1566	3261	74
<13>	315	328	22
F_sieboldiana<6>	1128	6176	132
<49>	300	842	40
<17>	253	2241	60
<43>	249	916	30
<15>	149	1500	17
Mimulus_guttatus<60>	1021	3926	152
F_americana<48>	634	4353	250
F_bungeana<10>	1855	6873	113
<9>	84	15	15
F_ornus<8>	1405	5181	78
F_excelsior<20>	2328	3772	197
F_latifolia<50>	1410	5893	82
F_greggii<32>	783	6267	84
<45>	266	706	13
<55>	1524	0	16
F_chinensis<0>	988	2900	197
<53>	70	46	29
F_anomala<36>	754	3129	82
<51>	246	1865	34
F_dipetala<38>	811	5236	33
F_velutina<44>	746	5172	223
<1>	222	1652	65
F_caroliniana<40>	888	4497	395
F_quadrangulata<34>	1182	1986	105
<7>	511	740	19
<59>	351	16311	242
<29>	2159	2630	177
F_baroniana<4>	1066	4237	155
F_mandshurica<22>	1292	5356	85
<39>	568	3356	7
