Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	1036 (62)	1226	1.18	8416 (13)	9429	1.12	18285	-0.295742
Frax25	907 (57)	1061	1.17	9740 (38)	11005	1.13	17090	-0.35851
Frax15	845 (48)	966	1.14	5670 (29)	6319	1.11	21222	-0.192991
Frax32	1029 (129)	1151	1.12	2712 (76)	2931	1.08	23996	-0.0641742
Frax21	1028 (46)	1283	1.25	10840 (1)	11732	1.08	15869	-0.376717
Frax33	1177 (52)	1362	1.16	6164 (11)	6572	1.07	20396	-0.187836
Oeuropea	5324 (96)	8134	1.53	9346 (19)	9580	1.03	13067	-0.0521325
Frax26	1035 (141)	1176	1.14	2300 (65)	2434	1.06	24402	-0.0453546
Frax16	664 (120)	762	1.15	5070 (163)	5693	1.12	22003	-0.177777
Slycopersicum	1371 (64)	3208	2.34	3481 (77)	4249	1.22	22885	-0.0375311
Frax23	754 (48)	876	1.16	7919 (23)	8668	1.09	19064	-0.280924
Frax31	2025 (43)	2320	1.15	12042 (2)	13251	1.1	13670	-0.394095
Frax01	894 (144)	1032	1.15	2847 (75)	3030	1.06	23996	-0.0720337
Frax09	1819 (305)	2140	1.18	2446 (226)	2818	1.15	23472	-0.0244439
Frax19	1566 (60)	1897	1.21	3261 (14)	3496	1.07	22910	-0.0576486
Frax12	1128 (70)	1323	1.17	6176 (62)	6744	1.09	20433	-0.195443
Mguttatus	1021 (52)	2323	2.28	3926 (100)	4741	1.21	22790	-0.087176
Frax14	634 (117)	723	1.14	4353 (133)	4891	1.12	22750	-0.150269
Frax29	1855 (90)	2236	1.21	6873 (23)	7571	1.1	19009	-0.192342
Frax07	1405 (43)	1596	1.14	5181 (35)	5618	1.08	21151	-0.145005
Frax00	2328 (83)	2791	1.2	3772 (114)	4544	1.2	21637	-0.0632008
Frax05	1410 (75)	1635	1.16	5893 (7)	6273	1.06	20434	-0.167213
Frax20	783 (50)	904	1.15	6267 (34)	7254	1.16	20687	-0.228936
Frax30	988 (120)	1109	1.12	2900 (77)	3151	1.09	23849	-0.0736201
Frax27	754 (40)	861	1.14	3129 (42)	3415	1.09	23854	-0.0920792
Frax04	811 (24)	888	1.09	5236 (9)	5790	1.11	21690	-0.176731
Frax13	746 (123)	855	1.15	5172 (100)	5560	1.08	21819	-0.169629
Frax03	888 (244)	1052	1.18	4497 (151)	4997	1.11	22352	-0.142229
Frax11	1182 (35)	1298	1.1	1986 (70)	2165	1.09	24569	-0.0312579
Frax28	1066 (71)	1239	1.16	4237 (84)	4533	1.07	22434	-0.118758
Frax06	1292 (67)	1522	1.18	5356 (18)	5719	1.07	21089	-0.151314
