Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	999	8497	49
<33>	67	2365	16
<41>	220	1040	29
FRAX25<26>	889	9855	70
<25>	35	1632	8
<19>	67	816	15
<21>	290	1046	10
<27>	5	1876	0
<31>	214	2037	10
<23>	41	28	4
FRAX15<18>	879	5668	58
<35>	311	1340	16
<37>	116	1327	12
FRAX32<2>	1025	2712	162
FRAX21<28>	941	11094	35
FRAX33<52>	1165	6170	42
Oeuropea<56>	4023	11296	111
FRAX26<46>	1048	2291	150
<5>	180	2095	10
FRAX16<16>	675	5054	212
Slycopersicum<58>	671	6646	19
<3>	240	988	20
<47>	166	2655	23
FRAX23<24>	746	7923	65
FRAX31<54>	436	14472	5
<11>	164	2043	17
FRAX01<14>	904	2834	147
FRAX09<42>	1828	2446	450
FRAX19<30>	1553	3236	66
<13>	204	466	10
FRAX12<6>	1113	6172	98
<49>	300	855	24
<17>	216	2247	36
<43>	244	917	26
<15>	146	1487	13
Mguttatus<60>	520	7134	21
FRAX14<48>	643	4342	176
FRAX29<10>	1828	6886	91
<9>	86	15	6
FRAX07<8>	1378	5207	72
FRAX00<20>	2326	3780	162
FRAX05<50>	1401	5894	61
FRAX20<32>	776	6268	80
<45>	244	713	10
<55>	111	11427	5
FRAX30<0>	986	2899	153
<53>	0	41	0
FRAX27<36>	753	3133	66
<51>	225	1889	20
FRAX04<38>	797	5243	35
FRAX13<44>	744	5151	167
<1>	221	1652	50
FRAX03<40>	887	4490	298
FRAX11<34>	1175	1985	90
<7>	468	792	9
<59>	30	22926	5
<29>	349	4705	37
FRAX28<4>	1065	4241	105
FRAX06<22>	1260	5356	68
<39>	315	3566	4
