Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	999 (34)	1178	1.18	8497 (15)	9547	1.12	18241	-0.301727
Frax25	889 (36)	1038	1.17	9855 (34)	11154	1.13	16993	-0.364711
Frax15	879 (33)	999	1.14	5668 (25)	6321	1.12	21190	-0.191874
Frax32	1025 (101)	1149	1.12	2712 (61)	2933	1.08	24000	-0.0643184
Frax21	941 (30)	1177	1.25	11094 (5)	12086	1.09	15702	-0.393301
Frax33	1165 (25)	1350	1.16	6170 (17)	6583	1.07	20402	-0.188665
Oeuropea	4023 (105)	6047	1.5	11296 (6)	12577	1.11	12418	-0.235426
Frax26	1048 (97)	1189	1.13	2291 (53)	2423	1.06	24398	-0.0444893
Frax16	675 (82)	772	1.14	5054 (130)	5680	1.12	22008	-0.176948
Slycopersicum	671 (11)	1408	2.1	6646 (8)	8729	1.31	20420	-0.263943
Frax23	746 (32)	863	1.16	7923 (33)	8687	1.1	19068	-0.282078
Frax31	436 (5)	494	1.13	14472 (0)	16444	1.14	12829	-0.575044
Frax01	904 (86)	1045	1.16	2834 (61)	3020	1.07	23999	-0.0712045
Frax09	1828 (265)	2150	1.18	2446 (185)	2818	1.15	23463	-0.0240834
Frax19	1553 (53)	1886	1.21	3236 (13)	3460	1.07	22948	-0.0567473
Frax12	1113 (50)	1307	1.17	6172 (48)	6747	1.09	20452	-0.196128
Mguttatus	520 (13)	1015	1.95	7134 (8)	9713	1.36	20083	-0.313588
Frax14	643 (67)	734	1.14	4342 (109)	4878	1.12	22752	-0.149403
Frax29	1828 (70)	2198	1.2	6886 (21)	7603	1.1	19023	-0.194866
Frax07	1378 (40)	1569	1.14	5207 (32)	5661	1.09	21152	-0.147529
Frax00	2326 (61)	2786	1.2	3780 (101)	4552	1.2	21631	-0.0636695
Frax05	1401 (54)	1626	1.16	5894 (7)	6273	1.06	20442	-0.167538
Frax20	776 (44)	898	1.16	6268 (36)	7223	1.15	20693	-0.228035
Frax30	986 (90)	1107	1.12	2899 (63)	3153	1.09	23852	-0.0737643
Frax27	753 (29)	860	1.14	3133 (37)	3416	1.09	23851	-0.0921513
Frax04	797 (20)	871	1.09	5243 (15)	5803	1.11	21697	-0.177813
Frax13	744 (82)	853	1.15	5151 (85)	5534	1.07	21842	-0.168764
Frax03	887 (172)	1052	1.19	4490 (126)	4987	1.11	22360	-0.141868
Frax11	1175 (26)	1294	1.1	1985 (64)	2163	1.09	24577	-0.03133
Frax28	1065 (44)	1238	1.16	4241 (61)	4537	1.07	22431	-0.118939
Frax06	1260 (41)	1487	1.18	5356 (27)	5716	1.07	21121	-0.152468
