Family ID	FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Oeuropea
10000013	4	4	2	2	3	4	3	2	3	3	0	2	1	1	2	3	2	3	2	3	2	2	2	3	3	3	2	3	1
10000057	3	12	8	8	10	7	9	9	10	10	7	9	14	13	11	8	8	7	8	2	7	10	12	11	10	1	12	7	1
10000069	2	6	9	9	9	6	10	8	9	11	9	9	9	9	9	10	9	8	6	9	8	10	9	8	11	9	8	9	2
10000138	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10000193	4	5	4	5	5	2	3	1	5	3	3	3	3	3	3	4	3	2	3	4	6	5	6	5	5	4	6	4	2
10000212	2	2	1	2	0	2	1	3	1	2	3	1	2	2	1	2	3	1	1	1	3	3	1	4	4	3	2	2	2
10000223	2	7	4	5	5	3	7	3	5	7	2	3	4	7	5	5	7	8	10	10	4	7	8	9	8	6	6	2	5
10000265	1	2	3	2	4	1	2	2	1	2	2	4	3	2	2	2	1	1	2	2	4	2	2	2	2	3	2	3	3
10000273	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	1	2	2	2	1	2
10000277	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
10000304	2	2	1	1	1	2	2	1	2	2	2	1	2	2	0	2	2	1	1	1	1	2	1	2	2	2	2	1	2
10000334	3	2	2	1	1	2	2	1	1	2	1	2	1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	1	3
10000378	3	3	3	3	3	3	3	2	3	4	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	2
10000389	1	2	2	2	1	3	3	2	2	3	0	2	1	0	1	3	0	2	0	1	2	3	2	1	0	3	0	2	2
10000391	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	2	2	0	1	0	1	1	1	1	1	1	1	1	3
10000398	2	1	1	2	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	2	2
10000418	2	1	1	1	0	1	2	1	2	2	1	0	0	0	1	2	1	0	0	0	2	0	0	1	0	3	1	2	1
10000463	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	2	0	1	0	0	0	0	2	0	1
10000491	2	2	1	3	1	2	4	2	2	3	5	2	2	3	2	2	2	4	2	1	3	3	4	2	1	0	3	2	3
10000563	1	1	0	1	0	1	2	1	2	1	2	1	1	1	1	1	1	1	1	0	0	1	2	1	2	2	2	1	3
10000587	4	5	3	1	5	6	7	8	4	1	5	4	4	5	5	4	4	4	3	1	5	1	6	6	7	1	6	3	2
10000612	7	3	5	4	4	4	4	1	5	6	3	4	4	3	4	3	4	4	4	3	4	5	4	5	5	3	6	6	3
10000617	4	3	4	4	4	5	5	5	4	4	4	5	4	3	3	4	5	5	4	2	4	4	4	4	4	5	4	5	2
10000622	2	2	0	1	1	2	2	0	2	2	0	1	2	2	2	1	1	1	1	2	2	2	2	1	1	2	1	1	3
10000655	3	2	5	5	4	2	7	5	5	5	3	5	4	2	3	4	3	5	3	10	4	4	4	5	4	3	3	3	2
10000659	2	2	1	2	2	2	2	0	2	2	2	0	0	1	2	2	1	2	0	1	2	2	2	2	2	1	2	2	3
10000661	1	0	0	2	0	1	1	0	0	2	1	0	0	1	1	0	0	1	1	2	0	1	2	1	1	1	1	0	1
10000670	2	2	2	3	2	2	2	2	3	2	2	3	2	2	2	2	2	2	2	3	1	1	2	2	3	2	3	3	4
10000708	4	4	4	2	3	4	3	4	4	5	3	4	4	4	4	4	3	3	4	4	4	4	4	4	4	4	3	3	2
10000716	2	1	2	2	2	2	2	1	2	2	1	2	1	1	1	2	1	2	1	1	2	1	1	2	1	2	2	2	2
10000721	2	2	1	1	2	1	2	0	2	2	2	2	1	1	1	2	0	1	1	2	2	2	1	1	1	1	2	1	2
10000727	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1
10000740	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1
10000751	4	4	4	4	4	4	5	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	2
10000753	5	4	3	4	4	4	4	3	4	4	4	4	3	4	4	4	3	5	4	4	3	4	4	4	4	4	4	4	2
10000784	3	3	4	2	3	4	5	4	4	5	5	6	5	2	3	5	3	1	7	4	7	4	4	5	2	1	3	4	2
10000798	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
10000816	0	1	1	1	0	1	2	0	2	2	0	2	1	0	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1
10000834	2	2	1	2	1	2	2	2	2	2	2	1	1	0	1	2	0	2	1	2	1	2	0	0	1	2	2	1	3
10000838	4	4	4	4	4	3	4	3	4	4	4	4	4	4	3	4	4	3	4	4	4	4	4	4	4	4	4	4	2
10000885	1	1	1	1	1	2	0	1	2	3	1	1	2	0	2	2	2	1	1	2	2	2	0	1	0	2	1	1	1
10000892	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
10000919	2	2	2	1	2	2	2	2	1	1	1	1	2	1	1	0	0	1	2	1	2	2	0	1	2	1	2	1	1
10000927	4	4	4	4	4	3	4	3	4	4	3	3	4	4	4	4	3	4	4	3	3	4	4	4	4	4	3	4	3
10000933	2	2	2	0	1	2	2	2	2	2	1	1	2	1	2	1	1	1	2	0	2	1	1	0	2	2	2	2	3
10000939	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	2	3
10001012	2	1	0	1	1	2	1	2	1	1	2	1	1	2	2	1	2	2	0	1	1	0	2	2	2	1	2	2	2
10001020	2	2	2	1	2	2	2	1	2	2	2	1	2	1	0	2	0	1	2	1	2	1	2	0	1	1	1	0	2
10001029	3	4	5	4	5	3	4	3	2	2	4	4	3	3	3	3	3	4	3	3	3	2	5	4	4	3	5	4	2
10001030	4	4	4	3	4	4	4	3	4	4	3	3	3	3	4	4	3	3	4	4	4	4	3	3	4	4	2	3	4
10001036	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	2	2	1	2	2	1	2	1	2
10001048	2	1	1	3	2	2	2	2	2	2	2	2	2	1	1	2	1	1	2	1	2	2	2	2	2	1	1	2	2
10001056	2	1	0	2	1	2	2	1	2	2	2	2	1	1	1	2	1	0	1	1	1	1	2	2	2	1	1	2	2
10001063	3	3	4	4	4	3	4	3	5	4	2	4	4	2	2	4	2	2	3	4	4	2	2	2	2	4	3	1	4
10001069	1	3	3	1	5	0	4	4	5	0	4	6	4	3	2	9	8	3	5	1	6	1	4	3	9	0	2	4	1
10001070	1	1	2	3	2	2	1	1	1	2	1	2	2	1	2	1	1	1	1	1	2	2	1	1	1	2	1	2	2
10001087	2	1	1	2	1	1	1	1	2	2	1	1	1	2	0	0	1	1	1	1	2	0	1	1	1	2	1	0	3
10001090	1	2	1	2	0	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	1	1	2
10001112	1	5	6	2	7	4	2	1	7	1	3	9	5	7	7	1	1	2	3	4	6	2	2	3	3	1	1	1	2
10001121	2	2	1	2	1	2	2	2	2	2	1	2	1	2	1	2	1	1	2	2	2	2	2	1	1	1	2	2	2
10001130	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2
10001135	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	2	2	3
10001149	1	1	2	1	3	0	1	2	2	1	1	2	1	1	1	1	0	0	1	0	1	2	2	2	1	2	2	1	1
10001154	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	3
10001171	1	2	2	1	2	2	2	1	2	2	0	2	2	0	2	2	1	2	2	2	2	1	1	1	1	2	2	2	2
10001178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2
10001193	3	3	4	3	4	2	3	3	4	4	3	4	3	2	3	4	4	3	2	4	4	4	3	3	3	3	3	4	3
