FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Oeuropea
1245	945	855	860	829	922	844	898	775	775	897	853	873	983	997	786	904	926	960	917	824	815	889	860	893	793	880	809	297
945	1701	1135	1107	1090	1056	957	1223	832	851	1198	1130	1175	1354	1388	934	1224	1195	1315	1255	1055	1023	1140	1145	1175	965	1155	1031	341
855	1135	1769	1149	1208	960	944	1234	905	836	1191	1282	1334	1244	1318	931	1259	1191	1247	1237	1177	1034	1119	1150	1142	966	1125	1091	321
860	1107	1149	1690	1083	957	944	1215	825	925	1172	1141	1174	1231	1265	938	1248	1180	1219	1219	1046	1118	1121	1140	1130	985	1081	1074	347
829	1090	1208	1083	1665	932	904	1194	874	821	1125	1213	1263	1189	1239	917	1209	1149	1199	1206	1099	981	1082	1134	1122	949	1075	1053	325
922	1056	960	957	932	1331	902	1019	822	828	1018	954	996	1082	1121	857	1002	1024	1080	1041	922	903	988	965	1010	883	994	922	313
844	957	944	944	904	902	1288	1026	805	814	1031	922	960	1000	1039	826	979	986	1029	1010	900	887	985	1005	1014	866	1002	885	303
898	1223	1234	1215	1194	1019	1026	1904	843	850	1362	1220	1267	1351	1401	948	1335	1286	1332	1352	1116	1079	1270	1332	1305	1000	1285	1112	345
775	832	905	825	874	822	805	843	1099	781	846	908	911	857	890	770	874	856	869	881	883	790	818	796	838	790	826	820	298
775	851	836	925	821	828	814	850	781	1086	851	829	856	870	895	805	888	861	873	878	821	894	833	817	844	812	836	808	279
897	1198	1191	1172	1125	1018	1031	1362	846	851	1895	1197	1237	1331	1366	953	1323	1275	1306	1336	1073	1063	1270	1328	1301	984	1289	1082	354
853	1130	1282	1141	1213	954	922	1220	908	829	1197	1740	1314	1239	1279	942	1265	1192	1236	1271	1159	1038	1126	1163	1150	967	1137	1091	341
873	1175	1334	1174	1263	996	960	1267	911	856	1237	1314	1860	1304	1357	954	1313	1232	1291	1313	1244	1079	1147	1190	1204	1024	1160	1120	358
983	1354	1244	1231	1189	1082	1000	1351	857	870	1331	1239	1304	1971	1533	989	1376	1332	1434	1390	1125	1110	1248	1262	1264	1039	1250	1121	361
997	1388	1318	1265	1239	1121	1039	1401	890	895	1366	1279	1357	1533	2126	1008	1425	1378	1497	1466	1150	1139	1296	1310	1328	1065	1293	1161	361
786	934	931	938	917	857	826	948	770	805	953	942	954	989	1008	1298	1059	971	986	1004	871	871	909	927	931	840	905	885	293
904	1224	1259	1248	1209	1002	979	1335	874	888	1323	1265	1313	1376	1425	1059	2000	1333	1348	1364	1130	1120	1207	1294	1240	1043	1211	1134	369
926	1195	1191	1180	1149	1024	986	1286	856	861	1275	1192	1232	1332	1378	971	1333	1882	1307	1340	1073	1063	1189	1230	1241	1005	1180	1080	366
960	1315	1247	1219	1199	1080	1029	1332	869	873	1306	1236	1291	1434	1497	986	1348	1307	1909	1376	1115	1106	1242	1253	1258	1030	1235	1116	355
917	1255	1237	1219	1206	1041	1010	1352	881	878	1336	1271	1313	1390	1466	1004	1364	1340	1376	1998	1143	1112	1231	1285	1266	1031	1235	1118	355
824	1055	1177	1046	1099	922	900	1116	883	821	1073	1159	1244	1125	1150	871	1130	1073	1115	1143	1487	967	1031	1061	1082	943	1046	1027	321
815	1023	1034	1118	981	903	887	1079	790	894	1063	1038	1079	1110	1139	871	1120	1063	1106	1112	967	1473	1009	1024	1032	925	994	966	306
889	1140	1119	1121	1082	988	985	1270	818	833	1270	1126	1147	1248	1296	909	1207	1189	1242	1231	1031	1009	1665	1216	1261	959	1228	1027	336
860	1145	1150	1140	1134	965	1005	1332	796	817	1328	1163	1190	1262	1310	927	1294	1230	1253	1285	1061	1024	1216	1784	1263	951	1230	1050	321
893	1175	1142	1130	1122	1010	1014	1305	838	844	1301	1150	1204	1264	1328	931	1240	1241	1258	1266	1082	1032	1261	1263	1721	969	1300	1055	342
793	965	966	985	949	883	866	1000	790	812	984	967	1024	1039	1065	840	1043	1005	1030	1031	943	925	959	951	969	1360	951	932	307
880	1155	1125	1081	1075	994	1002	1285	826	836	1289	1137	1160	1250	1293	905	1211	1180	1235	1235	1046	994	1228	1230	1300	951	1647	1033	331
809	1031	1091	1074	1053	922	885	1112	820	808	1082	1091	1120	1121	1161	885	1134	1080	1116	1118	1027	966	1027	1050	1055	932	1033	1501	313
297	341	321	347	325	313	303	345	298	279	354	341	358	361	361	293	369	366	355	355	321	306	336	321	342	307	331	313	551
