FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Oeuropea
232	165	118	125	117	184	136	138	110	117	139	125	118	165	171	126	123	135	162	142	114	111	138	138	138	126	129	117	0
165	402	193	170	172	212	154	222	133	126	216	196	192	271	281	154	204	212	249	209	160	145	196	210	202	169	189	170	0
118	193	496	194	266	163	152	234	197	152	219	269	274	219	224	168	244	208	213	225	246	169	206	205	191	168	193	210	0
125	170	194	403	177	163	154	203	146	203	192	192	192	193	207	165	213	195	195	216	175	212	187	185	183	179	177	187	0
117	172	266	177	425	152	141	212	198	154	201	264	259	201	211	157	224	209	190	198	225	170	190	200	183	168	175	203	0
184	212	163	163	152	321	178	178	150	153	177	171	157	212	233	163	173	181	213	180	151	147	178	172	186	175	168	154	0
136	154	152	154	141	178	290	204	142	140	199	155	145	169	175	145	160	167	172	177	145	141	196	200	199	152	190	152	0
138	222	234	203	212	178	204	556	147	153	291	234	226	247	272	170	247	241	247	250	189	180	248	274	256	182	256	205	0
110	133	197	146	198	150	142	147	279	156	140	203	191	135	143	157	154	147	139	148	202	140	144	138	140	156	128	172	0
117	126	152	203	154	153	140	153	156	277	148	159	146	142	149	171	163	155	138	160	152	199	149	150	151	169	147	161	0
139	216	219	192	201	177	199	291	140	148	542	211	210	249	255	157	240	228	235	247	177	175	259	281	279	168	273	191	0
125	196	269	192	264	171	155	234	203	159	211	455	284	216	227	170	230	210	210	220	236	175	200	216	207	186	189	213	0
118	192	274	192	259	157	145	226	191	146	210	284	495	227	233	159	246	220	218	224	257	174	198	216	193	182	180	209	0
165	271	219	193	201	212	169	247	135	142	249	216	227	558	321	158	232	231	282	244	176	176	218	230	225	175	211	187	0
171	281	224	207	211	233	175	272	143	149	255	227	233	321	577	166	254	248	311	266	187	189	226	253	252	193	236	195	0
126	154	168	165	157	163	145	170	157	171	157	170	159	158	166	328	214	163	160	176	154	161	153	160	163	164	155	170	0
123	204	244	213	224	173	160	247	154	163	240	230	246	232	254	214	566	229	236	243	204	189	221	237	222	186	217	204	0
135	212	208	195	209	181	167	241	147	155	228	210	220	231	248	163	229	520	232	248	178	176	206	216	210	177	197	199	0
162	249	213	195	190	213	172	247	139	138	235	210	218	282	311	160	236	232	499	246	177	174	220	220	228	180	217	186	0
142	209	225	216	198	180	177	250	148	160	247	220	224	244	266	176	243	248	246	536	179	181	218	241	227	175	224	197	0
114	160	246	175	225	151	145	189	202	152	177	236	257	176	187	154	204	178	177	179	350	153	186	176	165	171	161	194	0
111	145	169	212	170	147	141	180	140	199	175	175	174	176	189	161	189	176	174	181	153	348	165	173	165	163	147	170	0
138	196	206	187	190	178	196	248	144	149	259	200	198	218	226	153	221	206	220	218	186	165	427	247	247	158	237	182	0
138	210	205	185	200	172	200	274	138	150	281	216	216	230	253	160	237	216	220	241	176	173	247	507	264	166	256	177	0
138	202	191	183	183	186	199	256	140	151	279	207	193	225	252	163	222	210	228	227	165	165	247	264	446	171	277	185	0
126	169	168	179	168	175	152	182	156	169	168	186	182	175	193	164	186	177	180	175	171	163	158	166	171	330	160	173	0
129	189	193	177	175	168	190	256	128	147	273	189	180	211	236	155	217	197	217	224	161	147	237	256	277	160	414	171	0
117	170	210	187	203	154	152	205	172	161	191	213	209	187	195	170	204	199	186	197	194	170	182	177	185	173	171	377	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
