Family ID	FRAX08<12>	<33>	FRAX05<50>	FRAX25<26>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	<19>	FRAX29<10>	<9>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<29>	FRAX28<4>	FRAX06<22>	<5>
10000013	1	2	1	1	2	0	2	2	2	2	0	2	2	1	1	2	1	0	0	1	2	0	1	2	2	1	2	2	0	1	1	1	1	1	2	2	0	1	1	1	1	1	1	2	2	1	2	1	1	2	2	1	2	1	2	1
10000057	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1
10000069	8	10	9	9	10	9	9	10	10	8	9	10	10	8	8	9	1	8	9	9	10	6	9	10	10	9	10	10	9	9	9	9	9	9	8	10	9	6	2	9	9	9	10	11	10	9	9	8	10	10	10	9	10	9	6	10
10000138	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1
10000193	0	2	2	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	2	1	1	1	1	2	2	1	1	0	0	2	1	2	1	2	2	2	2	2	2	2	1	2	2	1	2
10000212	3	2	0	1	2	2	2	2	2	2	2	2	2	2	1	2	1	3	1	1	1	1	2	3	2	1	1	2	3	2	2	1	2	2	4	3	2	2	2	1	3	2	3	4	2	2	2	2	3	3	1	1	2	1	2	3
10000223	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1
10000265	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1
10000273	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000277	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0
