Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	115	1900	80
<33>	9	312	203
FRAX25<26>	90	2080	67
<25>	7	292	154
<19>	14	162	11
<21>	22	169	14
<27>	0	281	0
<31>	18	643	14
<23>	11	476	354
FRAX15<18>	83	1300	62
<35>	18	156	11
<37>	15	329	189
FRAX32<2>	86	632	65
FRAX21<28>	80	2286	40
FRAX33<52>	93	1377	67
Oeuropea<56>	57	1016	4
FRAX26<46>	94	468	62
<5>	25	342	17
FRAX16<16>	66	1212	67
<7>	39	71	30
<47>	15	701	13
FRAX23<24>	47	1310	40
FRAX31<54>	2	2737	2
<11>	20	384	205
FRAX01<14>	87	602	69
FRAX09<42>	152	400	303
FRAX19<30>	181	487	67
<13>	4	89	4
FRAX12<6>	107	1503	81
<49>	37	153	27
<17>	29	497	28
<43>	18	151	13
<15>	9	288	7
FRAX14<48>	54	1006	59
FRAX29<10>	200	1309	87
<9>	19	364	282
FRAX07<8>	131	599	71
FRAX00<20>	248	731	116
FRAX05<50>	172	1489	94
FRAX20<32>	94	1457	74
<45>	21	81	20
<3>	28	183	20
FRAX30<0>	97	719	78
<53>	0	23	0
FRAX27<36>	76	834	49
<51>	22	299	15
FRAX04<38>	57	1246	40
FRAX13<44>	96	1368	81
<1>	25	355	233
FRAX03<40>	95	1293	827
FRAX11<34>	102	372	72
<41>	17	185	133
<29>	1	1207	1
FRAX28<4>	106	993	71
FRAX06<22>	97	553	68
<39>	4	385	2
