Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	115 (49)	127	1.1	1900 (31)	1941	1.02	5822	-0.231466
Frax25	90 (38)	99	1.1	2080 (29)	2123	1.02	5667	-0.258262
Frax15	83 (43)	87	1.05	1300 (19)	1322	1.02	6454	-0.157586
Frax32	86 (57)	91	1.06	632 (8)	641	1.01	7119	-0.0701799
Frax21	80 (40)	86	1.07	2286 (0)	2341	1.02	5471	-0.287738
Frax33	93 (47)	102	1.1	1377 (20)	1402	1.02	6367	-0.16588
Oeuropea	57 (1)	59	1.04	1016 (3)	1133	1.12	6764	-0.137042
Frax26	94 (56)	100	1.06	468 (6)	478	1.02	7275	-0.0482327
Frax16	66 (48)	72	1.09	1212 (19)	1232	1.02	6559	-0.148016
Frax23	47 (25)	50	1.06	1310 (15)	1330	1.02	6480	-0.163328
Frax31	2 (0)	2	1.0	2737 (2)	3127	1.14	5098	-0.39875
Frax01	87 (60)	90	1.03	602 (9)	612	1.02	7148	-0.0666071
Frax09	152 (92)	155	1.02	400 (211)	416	1.04	7285	-0.0333036
Frax19	181 (63)	200	1.1	487 (4)	492	1.01	7169	-0.0372592
Frax12	107 (60)	116	1.08	1503 (21)	1532	1.02	6227	-0.180681
Frax14	54 (38)	56	1.04	1006 (21)	1029	1.02	6777	-0.124155
Frax29	200 (71)	216	1.08	1309 (16)	1329	1.02	6328	-0.142019
Frax07	131 (62)	135	1.03	599 (9)	611	1.02	7107	-0.0607375
Frax00	248 (101)	268	1.08	731 (15)	762	1.04	6858	-0.0630343
Frax05	172 (80)	182	1.06	1489 (14)	1503	1.01	6176	-0.168559
Frax20	94 (47)	96	1.02	1457 (27)	1491	1.02	6286	-0.178002
Frax30	97 (65)	104	1.07	719 (13)	733	1.02	7021	-0.0802603
Frax27	76 (40)	81	1.07	834 (9)	843	1.01	6927	-0.0972311
Frax04	57 (26)	59	1.04	1246 (14)	1266	1.02	6534	-0.154013
Frax13	96 (67)	103	1.07	1368 (14)	1385	1.01	6373	-0.163583
Frax03	95 (60)	105	1.11	1293 (767)	1323	1.02	6449	-0.155417
Frax11	102 (62)	103	1.01	372 (10)	384	1.03	7363	-0.0358556
Frax28	106 (60)	110	1.04	993 (11)	1004	1.01	6738	-0.114074
Frax06	97 (53)	108	1.11	553 (15)	575	1.04	7187	-0.0595891
