Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	139	1874	27
<33>	10	315	222
FRAX25<26>	110	2047	22
<25>	13	298	177
<19>	20	158	17
<21>	33	160	29
<27>	9	275	8
<31>	34	631	29
<23>	15	488	373
FRAX15<18>	88	1290	50
<35>	26	148	21
<37>	7	318	200
empty<58>	0	0	0
FRAX32<2>	98	626	82
FRAX21<28>	129	2256	8
FRAX33<52>	115	1353	75
Oeuropea<56>	1175	854	72
FRAX26<46>	114	464	84
<5>	29	337	21
FRAX16<16>	73	1207	75
<3>	39	180	32
<47>	18	698	17
FRAX23<24>	60	1276	53
FRAX31<54>	117	1926	8
<11>	35	399	233
FRAX01<14>	98	600	83
FRAX09<42>	159	397	338
FRAX19<30>	197	473	92
<13>	29	75	27
FRAX12<6>	119	1486	92
<49>	50	151	44
<17>	36	489	35
<43>	23	143	19
<15>	11	285	9
<41>	21	180	145
FRAX14<48>	61	989	67
FRAX29<10>	215	1273	103
<9>	28	388	313
FRAX07<8>	147	557	90
FRAX00<20>	271	717	154
FRAX05<50>	201	1481	102
FRAX20<32>	109	1448	91
<45>	22	74	22
<55>	313	0	12
FRAX30<0>	106	710	90
<53>	1	0	0
FRAX27<36>	97	822	70
<51>	22	293	17
FRAX04<38>	81	1225	63
FRAX13<44>	105	1360	89
<1>	28	356	249
FRAX03<40>	102	1291	864
FRAX11<34>	118	357	88
<7>	49	61	42
<29>	113	232	9
FRAX28<4>	111	975	81
FRAX06<22>	113	521	84
<39>	45	367	33
