Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	139 (10)	152	1.09	1874 (17)	1898	1.01	6121	-0.214655
Frax25	110 (4)	120	1.09	2047 (18)	2075	1.01	5977	-0.240349
Frax15	88 (32)	92	1.05	1290 (18)	1308	1.01	6756	-0.149496
Empty	0 (0)	0	0	0 (0)	0	0	8134	0
Frax32	98 (75)	104	1.06	626 (7)	634	1.01	7410	-0.0651586
Frax21	129 (8)	139	1.08	2256 (0)	2284	1.01	5749	-0.263708
Frax33	115 (63)	126	1.1	1353 (12)	1370	1.01	6666	-0.152938
Oeuropea	1175 (71)	1359	1.16	854 (1)	877	1.03	6105	0.0592574
Frax26	114 (77)	121	1.06	464 (7)	472	1.02	7556	-0.0431522
Frax16	73 (58)	79	1.08	1207 (17)	1224	1.01	6854	-0.140767
Frax23	60 (43)	63	1.05	1276 (10)	1290	1.01	6798	-0.150848
Frax31	117 (8)	126	1.08	1926 (0)	1934	1.0	6091	-0.222277
Frax01	98 (77)	101	1.03	600 (6)	606	1.01	7436	-0.0620851
Frax09	159 (115)	162	1.02	397 (223)	413	1.04	7578	-0.0308581
Frax19	197 (89)	220	1.12	473 (3)	477	1.01	7464	-0.0315958
Frax12	119 (76)	131	1.1	1486 (16)	1507	1.01	6529	-0.169166
Frax14	61 (49)	64	1.05	989 (18)	1009	1.02	7084	-0.116179
Frax29	215 (92)	233	1.08	1273 (11)	1286	1.01	6646	-0.129457
Frax07	147 (83)	152	1.03	557 (7)	566	1.02	7430	-0.0508975
Frax00	271 (142)	294	1.08	717 (12)	742	1.03	7146	-0.0550775
Frax05	201 (93)	212	1.05	1481 (9)	1490	1.01	6452	-0.157118
Frax20	109 (66)	111	1.02	1448 (25)	1476	1.02	6577	-0.167814
Frax30	106 (78)	115	1.08	710 (12)	722	1.02	7318	-0.074625
Frax27	97 (63)	105	1.08	822 (7)	829	1.01	7215	-0.0890091
Frax04	81 (50)	84	1.04	1225 (13)	1240	1.01	6828	-0.142119
Frax13	105 (78)	115	1.1	1360 (11)	1373	1.01	6669	-0.154659
Frax03	102 (74)	112	1.1	1291 (790)	1318	1.02	6741	-0.148267
Frax11	118 (81)	121	1.03	357 (7)	365	1.02	7659	-0.0299975
Frax28	111 (72)	115	1.04	975 (9)	984	1.01	7048	-0.106836
Frax06	113 (74)	125	1.11	521 (10)	537	1.03	7500	-0.0506516
