	Expansions	Genes	Gained	Equal	Contractions	Genes	Lost	Families	Lost	Average	Expansion	Sig	Expansions	Sig	Contractions	Total	Sig	Changes
FRAX08<12>	121	133	6108	1905	1943	1746	-0.222523	50	29	79
<33>	10	10	7799	325	325	299	-0.0387263	4	219	223
FRAX25<26>	94	103	5955	2085	2127	1894	-0.248832	37	28	65
<25>	7	7	7819	308	308	275	-0.0370052	5	158	163
<19>	17	17	7952	165	165	133	-0.0181952	14	0	14
<21>	27	29	7935	172	174	138	-0.0178264	17	2	19
<27>	0	0	7839	295	295	272	-0.0362675	0	0	0
<31>	24	27	7463	647	652	569	-0.076838	15	5	20
<23>	11	11	7632	491	491	481	-0.0590116	8	351	359
FRAX15<18>	84	88	6747	1303	1325	1195	-0.152078	41	20	61
<35>	21	21	7956	157	159	125	-0.0169658	11	2	13
<37>	16	16	7792	326	333	284	-0.0389722	8	183	191
empty<58>	0	0	7603	531	558	0	-0.0686009	0	18	18
FRAX32<2>	87	92	7413	634	642	549	-0.0676174	56	6	62
FRAX21<28>	106	112	5728	2300	2345	2100	-0.274527	53	0	53
FRAX33<52>	99	109	6655	1380	1404	1260	-0.159208	47	17	64
Oeuropea<56>	1159	1314	5966	1009	1061	670	0.031104	32	1	33
FRAX26<46>	98	104	7567	469	479	413	-0.0461028	58	7	65
<5>	27	27	7764	343	343	296	-0.0388493	17	0	17
FRAX16<16>	66	72	6853	1215	1234	1100	-0.142857	47	19	66
<3>	29	30	7919	186	186	148	-0.0191788	20	0	20
<47>	16	16	7408	710	713	652	-0.0856897	11	3	14
FRAX23<24>	51	54	6778	1305	1325	1151	-0.156258	29	14	43
FRAX31<54>	79	85	5971	2084	2121	1887	-0.250307	4	0	4
<11>	24	25	7701	409	409	385	-0.0472092	17	193	210
FRAX01<14>	88	91	7443	603	613	539	-0.0641751	60	9	69
FRAX09<42>	154	157	7576	404	420	331	-0.0323334	95	217	312
FRAX19<30>	187	206	7464	483	487	424	-0.0345463	61	3	64
<13>	27	28	8031	76	76	61	-0.00590116	18	0	18
FRAX12<6>	110	119	6516	1508	1537	1371	-0.17433	62	21	83
<49>	45	53	7937	152	152	125	-0.0121711	33	0	33
<17>	29	32	7602	503	504	455	-0.058028	26	0	26
<43>	20	21	7964	150	150	129	-0.0158594	15	0	15
<15>	9	11	7838	287	288	245	-0.0340546	6	1	7
<41>	17	18	7927	190	192	152	-0.0213917	13	127	140
FRAX14<48>	55	57	7075	1004	1026	893	-0.11913	36	20	56
FRAX29<10>	204	221	6622	1308	1327	1180	-0.135972	74	16	90
<9>	22	22	7735	377	377	369	-0.043644	17	278	295
FRAX07<8>	134	138	7406	594	605	455	-0.0574133	61	8	69
FRAX00<20>	255	275	7144	735	765	598	-0.060241	102	14	116
FRAX05<50>	175	185	6461	1498	1511	1390	-0.163019	68	13	81
FRAX20<32>	99	101	6576	1459	1490	1335	-0.170765	46	25	71
<45>	22	23	8028	84	85	51	-0.00762233	20	1	21
<55>	3	4	8131	0	0	0	0.000491763	1	0	1
FRAX30<0>	99	107	7315	720	734	628	-0.0770838	67	13	80
<53>	0	0	8134	0	0	0	0	0	0	0
FRAX27<36>	76	82	7225	833	842	745	-0.093435	40	9	49
<51>	28	29	7797	309	310	271	-0.0345463	17	1	18
FRAX04<38>	60	62	6825	1249	1268	1128	-0.148267	30	12	42
FRAX13<44>	96	103	6666	1372	1389	1263	-0.158102	62	14	76
<1>	26	28	7749	359	366	312	-0.041554	15	223	238
FRAX03<40>	95	105	6745	1294	1323	1201	-0.149742	58	776	834
FRAX11<34>	106	108	7652	376	388	312	-0.0344234	63	11	74
<7>	45	47	8018	71	71	57	-0.00295058	30	0	30
<29>	23	29	7866	245	245	214	-0.0265552	4	0	4
FRAX28<4>	106	110	7034	994	1005	880	-0.110032	60	11	71
FRAX06<22>	99	110	7491	544	566	440	-0.056061	49	12	61
<39>	25	27	7706	403	403	344	-0.0462257	13	0	13

CAFE	labeled	tree:	(((((((((((FRAX30<0>,FRAX32<2>)<1>,FRAX28<4>)<3>,FRAX12<6>)<5>,(FRAX07<8>,FRAX29<10>)<9>)<7>,FRAX08<12>)<11>,(((((FRAX01<14>,FRAX16<16>)<15>,FRAX15<18>)<17>,FRAX00<20>)<19>,(FRAX06<22>,FRAX23<24>)<23>)<21>,FRAX25<26>)<25>)<13>,FRAX21<28>)<27>,(((FRAX19<30>,FRAX20<32>)<31>,((FRAX11<34>,FRAX27<36>)<35>,FRAX04<38>)<37>)<33>,(((((FRAX03<40>,FRAX09<42>)<41>,FRAX13<44>)<43>,(FRAX26<46>,FRAX14<48>)<47>)<45>,FRAX05<50>)<49>,FRAX33<52>)<51>)<39>)<29>,FRAX31<54>)<53>,Oeuropea<56>)<55>,empty<58>)<57>
