Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	121	1905	79
<33>	10	325	223
FRAX25<26>	94	2085	65
<25>	7	308	163
<19>	17	165	14
<21>	27	172	19
<27>	0	295	0
<31>	24	647	20
<23>	11	491	359
FRAX15<18>	84	1303	61
<35>	21	157	13
<37>	16	326	191
empty<58>	0	531	18
FRAX32<2>	87	634	62
FRAX21<28>	106	2300	53
FRAX33<52>	99	1380	64
Oeuropea<56>	1159	1009	33
FRAX26<46>	98	469	65
<5>	27	343	17
FRAX16<16>	66	1215	66
<3>	29	186	20
<47>	16	710	14
FRAX23<24>	51	1305	43
FRAX31<54>	79	2084	4
<11>	24	409	210
FRAX01<14>	88	603	69
FRAX09<42>	154	404	312
FRAX19<30>	187	483	64
<13>	27	76	18
FRAX12<6>	110	1508	83
<49>	45	152	33
<17>	29	503	26
<43>	20	150	15
<15>	9	287	7
<41>	17	190	140
FRAX14<48>	55	1004	56
FRAX29<10>	204	1308	90
<9>	22	377	295
FRAX07<8>	134	594	69
FRAX00<20>	255	735	116
FRAX05<50>	175	1498	81
FRAX20<32>	99	1459	71
<45>	22	84	21
<55>	3	0	1
FRAX30<0>	99	720	80
<53>	0	0	0
FRAX27<36>	76	833	49
<51>	28	309	18
FRAX04<38>	60	1249	42
FRAX13<44>	96	1372	76
<1>	26	359	238
FRAX03<40>	95	1294	834
FRAX11<34>	106	376	74
<7>	45	71	30
<29>	23	245	4
FRAX28<4>	106	994	71
FRAX06<22>	99	544	61
<39>	25	403	13
