Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	121 (50)	133	1.1	1905 (29)	1943	1.02	6108	-0.222523
Frax25	94 (37)	103	1.1	2085 (28)	2127	1.02	5955	-0.248832
Frax15	84 (41)	88	1.05	1303 (20)	1325	1.02	6747	-0.152078
Empty	0 (0)	0	0	531 (18)	558	1.05	7603	-0.0686009
Frax32	87 (56)	92	1.06	634 (6)	642	1.01	7413	-0.0676174
Frax21	106 (53)	112	1.06	2300 (0)	2345	1.02	5728	-0.274527
Frax33	99 (47)	109	1.1	1380 (17)	1404	1.02	6655	-0.159208
Oeuropea	1159 (32)	1314	1.13	1009 (1)	1061	1.05	5966	0.031104
Frax26	98 (58)	104	1.06	469 (7)	479	1.02	7567	-0.0461028
Frax16	66 (47)	72	1.09	1215 (19)	1234	1.02	6853	-0.142857
Frax23	51 (29)	54	1.06	1305 (14)	1325	1.02	6778	-0.156258
Frax31	79 (4)	85	1.08	2084 (0)	2121	1.02	5971	-0.250307
Frax01	88 (60)	91	1.03	603 (9)	613	1.02	7443	-0.0641751
Frax09	154 (95)	157	1.02	404 (217)	420	1.04	7576	-0.0323334
Frax19	187 (61)	206	1.1	483 (3)	487	1.01	7464	-0.0345463
Frax12	110 (62)	119	1.08	1508 (21)	1537	1.02	6516	-0.17433
Frax14	55 (36)	57	1.04	1004 (20)	1026	1.02	7075	-0.11913
Frax29	204 (74)	221	1.08	1308 (16)	1327	1.01	6622	-0.135972
Frax07	134 (61)	138	1.03	594 (8)	605	1.02	7406	-0.0574133
Frax00	255 (102)	275	1.08	735 (14)	765	1.04	7144	-0.060241
Frax05	175 (68)	185	1.06	1498 (13)	1511	1.01	6461	-0.163019
Frax20	99 (46)	101	1.02	1459 (25)	1490	1.02	6576	-0.170765
Frax30	99 (67)	107	1.08	720 (13)	734	1.02	7315	-0.0770838
Frax27	76 (40)	82	1.08	833 (9)	842	1.01	7225	-0.093435
Frax04	60 (30)	62	1.03	1249 (12)	1268	1.02	6825	-0.148267
Frax13	96 (62)	103	1.07	1372 (14)	1389	1.01	6666	-0.158102
Frax03	95 (58)	105	1.11	1294 (776)	1323	1.02	6745	-0.149742
Frax11	106 (63)	108	1.02	376 (11)	388	1.03	7652	-0.0344234
Frax28	106 (60)	110	1.04	994 (11)	1005	1.01	7034	-0.110032
Frax06	99 (49)	110	1.11	544 (12)	566	1.04	7491	-0.056061
