Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	114	1928	76
<33>	9	336	220
FRAX25<26>	87	2103	57
<25>	7	320	161
<19>	14	168	12
<21>	24	176	13
<27>	0	322	0
<31>	18	656	13
<23>	11	493	353
FRAX15<18>	83	1305	56
<35>	17	158	10
<37>	17	336	185
FRAX32<2>	83	637	57
FRAX21<28>	79	2346	38
FRAX33<52>	93	1397	63
Oeuropea<56>	83	1144	4
FRAX26<46>	90	470	53
<5>	28	352	19
FRAX16<16>	66	1215	65
<7>	38	75	26
<47>	15	713	13
FRAX23<24>	43	1315	40
FRAX31<54>	2	3048	2
<11>	20	413	204
FRAX01<14>	87	603	66
FRAX09<42>	151	404	299
FRAX19<30>	179	488	58
<13>	3	96	3
FRAX12<6>	103	1515	73
<49>	38	158	25
<17>	27	511	24
<43>	18	156	13
<15>	9	289	7
FRAX14<48>	54	1011	54
FRAX29<10>	199	1316	79
<9>	17	379	285
FRAX07<8>	130	604	64
FRAX00<20>	247	736	103
FRAX05<50>	168	1504	83
FRAX20<32>	94	1464	65
<45>	21	85	20
<3>	28	188	19
FRAX30<0>	96	724	74
<53>	0	27	0
FRAX27<36>	74	839	47
<51>	22	318	15
FRAX04<38>	55	1259	35
FRAX13<44>	96	1376	77
<1>	25	361	231
FRAX03<40>	94	1295	807
FRAX11<34>	99	379	65
<41>	16	190	136
<29>	1	1417	1
FRAX28<4>	104	1003	67
FRAX06<22>	96	557	62
<39>	4	449	3
