Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	114 (45)	126	1.11	1928 (31)	1969	1.02	6110	-0.226079
Frax25	87 (29)	96	1.1	2103 (28)	2148	1.02	5962	-0.251717
Frax15	83 (38)	86	1.04	1305 (18)	1327	1.02	6764	-0.152233
Frax32	83 (50)	88	1.06	637 (7)	646	1.01	7432	-0.0684495
Frax21	79 (37)	85	1.08	2346 (1)	2403	1.02	5727	-0.284347
Frax33	93 (45)	101	1.09	1397 (18)	1424	1.02	6662	-0.162291
Oeuropea	83 (1)	85	1.02	1144 (3)	1264	1.1	6925	-0.144627
Frax26	90 (47)	96	1.07	470 (6)	480	1.02	7592	-0.047105
Frax16	66 (46)	72	1.09	1215 (19)	1235	1.02	6871	-0.142664
Frax23	43 (26)	46	1.07	1315 (14)	1336	1.02	6794	-0.158243
Frax31	2 (0)	2	1.0	3048 (2)	3443	1.13	5102	-0.422105
Frax01	87 (57)	90	1.03	603 (9)	613	1.02	7462	-0.064156
Frax09	151 (87)	154	1.02	404 (212)	421	1.04	7597	-0.0327527
Frax19	179 (54)	198	1.11	488 (4)	493	1.01	7485	-0.0361874
Frax12	103 (52)	112	1.09	1515 (21)	1544	1.02	6534	-0.175662
Frax14	54 (33)	56	1.04	1011 (21)	1034	1.02	7087	-0.119971
Frax29	199 (63)	215	1.08	1316 (16)	1336	1.02	6637	-0.137512
Frax07	130 (55)	134	1.03	604 (9)	616	1.02	7418	-0.0591266
Frax00	247 (85)	266	1.08	736 (18)	770	1.05	7169	-0.0618253
Frax05	168 (70)	177	1.05	1504 (13)	1518	1.01	6480	-0.1645
Frax20	94 (39)	96	1.02	1464 (26)	1499	1.02	6594	-0.172105
Frax30	96 (61)	103	1.07	724 (13)	738	1.02	7332	-0.077895
Frax27	74 (36)	79	1.07	839 (11)	850	1.01	7239	-0.094578
Frax04	55 (23)	57	1.04	1259 (12)	1279	1.02	6838	-0.149902
Frax13	96 (62)	103	1.07	1376 (15)	1394	1.01	6680	-0.158366
Frax03	94 (57)	104	1.11	1295 (750)	1326	1.02	6763	-0.149902
Frax11	99 (55)	100	1.01	379 (10)	391	1.03	7674	-0.0356968
Frax28	104 (56)	108	1.04	1003 (11)	1014	1.01	7045	-0.111138
Frax06	96 (48)	107	1.11	557 (14)	582	1.04	7499	-0.0582679
