	Expansions	Genes	Gained	Equal	Contractions	Genes	Lost	Families	Lost	Average	Expansion	Sig	Expansions	Sig	Contractions	Total	Sig	Changes
FRAX08<12>	114	126	6110	1928	1969	1746	-0.226079	45	31	76
<33>	9	9	7807	336	338	299	-0.0403582	3	217	220
FRAX25<26>	87	96	5962	2103	2148	1894	-0.251717	29	28	57
<25>	7	7	7825	320	321	275	-0.0385182	5	156	161
<19>	14	14	7970	168	169	133	-0.0190137	11	1	12
<21>	24	26	7952	176	178	138	-0.0186457	11	2	13
<27>	0	0	7830	322	323	272	-0.0396222	0	0	0
<31>	18	21	7478	656	661	569	-0.0785083	8	5	13
<23>	11	11	7648	493	493	481	-0.0591266	8	345	353
FRAX15<18>	83	86	6764	1305	1327	1195	-0.152233	38	18	56
<35>	17	17	7977	158	160	125	-0.0175417	8	2	10
<37>	17	17	7799	336	347	284	-0.0404809	8	177	185
FRAX32<2>	83	88	7432	637	646	549	-0.0684495	50	7	57
FRAX21<28>	79	85	5727	2346	2403	2100	-0.284347	37	1	38
FRAX33<52>	93	101	6662	1397	1424	1260	-0.162291	45	18	63
Oeuropea<56>	83	85	6925	1144	1264	688	-0.144627	1	3	4
FRAX26<46>	90	96	7592	470	480	413	-0.047105	47	6	53
<5>	28	28	7772	352	352	296	-0.0397448	19	0	19
FRAX16<16>	66	72	6871	1215	1235	1100	-0.142664	46	19	65
<7>	38	40	8039	75	75	57	-0.00429342	26	0	26
<47>	15	15	7424	713	716	652	-0.0859912	10	3	13
FRAX23<24>	43	46	6794	1315	1336	1151	-0.158243	26	14	40
FRAX31<54>	2	2	5102	3048	3443	1905	-0.422105	0	2	2
<11>	20	21	7719	413	413	385	-0.0480864	13	191	204
FRAX01<14>	87	90	7462	603	613	539	-0.064156	57	9	66
FRAX09<42>	151	154	7597	404	421	331	-0.0327527	87	212	299
FRAX19<30>	179	198	7485	488	493	424	-0.0361874	54	4	58
<13>	3	4	8053	96	96	61	-0.0112856	3	0	3
FRAX12<6>	103	112	6534	1515	1544	1371	-0.175662	52	21	73
<49>	38	46	7956	158	158	125	-0.013739	25	0	25
<17>	27	30	7614	511	512	455	-0.0591266	24	0	24
<43>	18	19	7978	156	156	129	-0.0168057	13	0	13
<15>	9	10	7854	289	290	245	-0.0343474	6	1	7
FRAX14<48>	54	56	7087	1011	1034	893	-0.119971	33	21	54
FRAX29<10>	199	215	6637	1316	1336	1180	-0.137512	63	16	79
<9>	17	17	7756	379	379	369	-0.0444063	10	275	285
FRAX07<8>	130	134	7418	604	616	455	-0.0591266	55	9	64
FRAX00<20>	247	266	7169	736	770	598	-0.0618253	85	18	103
FRAX05<50>	168	177	6480	1504	1518	1390	-0.1645	70	13	83
FRAX20<32>	94	96	6594	1464	1499	1335	-0.172105	39	26	65
<45>	21	22	8046	85	86	51	-0.00785083	19	1	20
<3>	28	29	7936	188	188	148	-0.0195044	19	0	19
FRAX30<0>	96	103	7332	724	738	628	-0.077895	61	13	74
<53>	0	0	8125	27	27	0	-0.00331207	0	0	0
FRAX27<36>	74	79	7239	839	850	745	-0.094578	36	11	47
<51>	22	23	7812	318	319	271	-0.0363101	14	1	15
FRAX04<38>	55	57	6838	1259	1279	1128	-0.149902	23	12	35
FRAX13<44>	96	103	6680	1376	1394	1263	-0.158366	62	15	77
<1>	25	27	7766	361	368	312	-0.0418302	14	217	231
FRAX03<40>	94	104	6763	1295	1326	1201	-0.149902	57	750	807
FRAX11<34>	99	100	7674	379	391	312	-0.0356968	55	10	65
<41>	16	17	7946	190	192	152	-0.0214671	12	124	136
<29>	1	1	6734	1417	1509	232	-0.184985	0	1	1
FRAX28<4>	104	108	7045	1003	1014	880	-0.111138	56	11	67
FRAX06<22>	96	107	7499	557	582	440	-0.0582679	48	14	62
<39>	4	5	7699	449	451	344	-0.0547105	2	1	3

CAFE	labeled	tree:	((((((((((FRAX30<0>,FRAX32<2>)<1>,FRAX28<4>)<3>,FRAX12<6>)<5>,(FRAX07<8>,FRAX29<10>)<9>)<7>,FRAX08<12>)<11>,(((((FRAX01<14>,FRAX16<16>)<15>,FRAX15<18>)<17>,FRAX00<20>)<19>,(FRAX06<22>,FRAX23<24>)<23>)<21>,FRAX25<26>)<25>)<13>,FRAX21<28>)<27>,(((FRAX19<30>,FRAX20<32>)<31>,((FRAX11<34>,FRAX27<36>)<35>,FRAX04<38>)<37>)<33>,(((((FRAX03<40>,FRAX09<42>)<41>,FRAX13<44>)<43>,(FRAX26<46>,FRAX14<48>)<47>)<45>,FRAX05<50>)<49>,FRAX33<52>)<51>)<39>)<29>,FRAX31<54>)<53>,Oeuropea<56>)<55>
