Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	135	1886	98
<33>	8	319	236
FRAX25<26>	106	2056	85
<25>	10	307	184
<19>	18	159	16
<21>	32	158	28
<27>	14	275	14
<31>	31	637	28
<23>	14	490	392
FRAX15<18>	87	1293	71
<35>	26	151	23
<37>	20	321	210
empty<58>	0	0	0
FRAX32<2>	97	626	83
FRAX21<28>	112	2270	94
FRAX33<52>	109	1361	79
Oeuropea<56>	1169	861	72
FRAX26<46>	105	466	80
<5>	28	343	23
FRAX16<16>	71	1208	79
<3>	37	183	31
<47>	18	703	17
FRAX23<24>	56	1287	50
FRAX31<54>	109	1931	9
<11>	31	404	251
FRAX01<14>	95	600	85
FRAX09<42>	158	400	358
FRAX19<30>	193	474	93
<13>	28	79	27
FRAX12<6>	115	1489	95
<49>	50	150	45
<17>	34	497	33
<43>	22	146	20
<15>	11	285	9
<41>	17	183	145
FRAX14<48>	59	998	69
FRAX29<10>	212	1275	114
<9>	26	393	320
FRAX07<8>	143	559	89
FRAX00<20>	262	720	153
FRAX05<50>	189	1485	101
FRAX20<32>	108	1453	94
<45>	24	79	24
<55>	328	18	12
FRAX30<0>	106	711	93
<53>	1	0	0
FRAX27<36>	81	828	60
<51>	25	301	18
FRAX04<38>	65	1233	52
FRAX13<44>	103	1368	91
<1>	28	357	262
FRAX03<40>	99	1291	901
FRAX11<34>	113	373	85
<7>	44	61	37
<29>	122	228	101
FRAX28<4>	108	976	83
FRAX06<22>	107	528	82
<39>	42	373	31
