Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	135 (77)	148	1.1	1886 (21)	1915	1.02	6131	-0.216757
Frax25	106 (63)	116	1.09	2056 (22)	2089	1.02	5990	-0.242026
Frax15	87 (52)	91	1.05	1293 (19)	1312	1.01	6772	-0.149779
Empty	0 (0)	0	0	0 (0)	0	0	8152	0
Frax32	97 (76)	102	1.05	626 (7)	634	1.01	7429	-0.0652601
Frax21	112 (67)	121	1.08	2270 (27)	2301	1.01	5770	-0.267419
Frax33	109 (65)	120	1.1	1361 (14)	1380	1.01	6682	-0.154563
Oeuropea	1169 (71)	1351	1.16	861 (1)	885	1.03	6122	0.0571639
Frax26	105 (73)	112	1.07	466 (7)	474	1.02	7581	-0.0444063
Frax16	71 (60)	77	1.08	1208 (19)	1227	1.02	6873	-0.14107
Frax23	56 (39)	59	1.05	1287 (11)	1302	1.01	6809	-0.152478
Frax31	109 (9)	118	1.08	1931 (0)	1942	1.01	6112	-0.223749
Frax01	95 (78)	98	1.03	600 (7)	608	1.01	7457	-0.0625613
Frax09	158 (122)	161	1.02	400 (236)	416	1.04	7594	-0.0312807
Frax19	193 (90)	214	1.11	474 (3)	478	1.01	7485	-0.0323847
Frax12	115 (78)	127	1.1	1489 (17)	1511	1.01	6548	-0.169774
Frax14	59 (51)	62	1.05	998 (18)	1018	1.02	7095	-0.117272
Frax29	212 (101)	230	1.08	1275 (13)	1290	1.01	6665	-0.130029
Frax07	143 (81)	148	1.03	559 (8)	569	1.02	7450	-0.0516438
Frax00	262 (140)	284	1.08	720 (13)	748	1.04	7170	-0.0569185
Frax05	189 (90)	199	1.05	1485 (11)	1496	1.01	6478	-0.159102
Frax20	108 (68)	110	1.02	1453 (26)	1482	1.02	6591	-0.168302
Frax30	106 (80)	115	1.08	711 (13)	724	1.02	7335	-0.0747056
Frax27	81 (53)	88	1.09	828 (7)	835	1.01	7243	-0.091634
Frax04	65 (39)	67	1.03	1233 (13)	1249	1.01	6854	-0.144995
Frax13	103 (80)	111	1.08	1368 (11)	1381	1.01	6681	-0.15579
Frax03	99 (76)	109	1.1	1291 (825)	1319	1.02	6762	-0.14843
Frax11	113 (77)	115	1.02	373 (8)	382	1.02	7666	-0.0327527
Frax28	108 (74)	112	1.04	976 (9)	985	1.01	7068	-0.10709
Frax06	107 (70)	119	1.11	528 (12)	547	1.04	7517	-0.0525025
