Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	125	1899	82
<33>	7	326	257
FRAX25<26>	98	2069	67
<25>	7	319	215
<19>	18	164	115
<21>	27	167	17
<27>	0	299	82
<31>	24	642	392
<23>	12	492	427
FRAX15<18>	86	1296	57
<35>	22	152	15
<37>	18	331	237
empty<58>	0	8152	0
FRAX32<2>	94	626	410
FRAX21<28>	89	2307	78
FRAX33<52>	103	1375	67
Oeuropea<56>	346	1095	10
FRAX26<46>	104	468	320
<5>	27	349	18
FRAX16<16>	68	1210	637
<3>	29	185	131
<47>	18	707	566
FRAX23<24>	53	1292	43
FRAX31<54>	17	2988	6
<11>	23	408	296
FRAX01<14>	93	601	356
FRAX09<42>	157	400	366
FRAX19<30>	187	479	67
<13>	11	93	9
FRAX12<6>	112	1492	84
<49>	42	156	93
<17>	31	497	382
<43>	20	147	114
<15>	11	286	8
<41>	17	185	165
FRAX14<48>	57	998	548
FRAX29<10>	208	1277	92
<9>	24	401	351
FRAX07<8>	138	564	73
FRAX00<20>	260	727	124
FRAX05<50>	186	1492	95
FRAX20<32>	103	1458	78
<45>	21	79	19
<55>	0	3	0
FRAX30<0>	106	714	443
<53>	0	13	0
FRAX27<36>	79	831	49
<51>	24	309	131
FRAX04<38>	64	1242	47
FRAX13<44>	101	1368	936
<1>	28	357	284
FRAX03<40>	99	1292	943
FRAX11<34>	108	374	71
<7>	42	70	29
<29>	1	1224	1
FRAX28<4>	108	979	69
FRAX06<22>	104	534	68
<39>	20	429	10
