Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	125 (55)	137	1.1	1899 (27)	1935	1.02	6128	-0.220559
Frax25	98 (43)	107	1.09	2069 (24)	2108	1.02	5985	-0.245461
Frax15	86 (39)	90	1.05	1296 (18)	1317	1.02	6770	-0.150515
Empty	0 (0)	0	0	8152 (0)	9754	1.2	0	-1.19652
Frax32	94 (63)	99	1.05	626 (347)	634	1.01	7432	-0.0656281
Frax21	89 (47)	96	1.08	2307 (31)	2350	1.02	5756	-0.276497
Frax33	103 (50)	113	1.1	1375 (17)	1397	1.02	6674	-0.157507
Oeuropea	346 (5)	383	1.11	1095 (5)	1185	1.08	6711	-0.0983808
Frax26	104 (63)	111	1.07	468 (257)	476	1.02	7580	-0.0447743
Frax16	68 (49)	74	1.09	1210 (588)	1229	1.02	6874	-0.141683
Frax23	53 (31)	56	1.06	1292 (12)	1309	1.01	6807	-0.153705
Frax31	17 (0)	17	1.0	2988 (6)	3095	1.04	5147	-0.377576
Frax01	93 (62)	96	1.03	601 (294)	611	1.02	7458	-0.0631747
Frax09	157 (97)	160	1.02	400 (269)	416	1.04	7595	-0.0314033
Frax19	187 (64)	206	1.1	479 (3)	483	1.01	7486	-0.0339794
Frax12	112 (65)	122	1.09	1492 (19)	1519	1.02	6548	-0.171369
Frax14	57 (37)	60	1.05	998 (511)	1019	1.02	7097	-0.11764
Frax29	208 (76)	225	1.08	1277 (16)	1295	1.01	6667	-0.131256
Frax07	138 (66)	143	1.04	564 (7)	574	1.02	7450	-0.0528705
Frax00	260 (112)	282	1.08	727 (12)	755	1.04	7165	-0.0580226
Frax05	186 (84)	196	1.05	1492 (11)	1503	1.01	6474	-0.160329
Frax20	103 (53)	105	1.02	1458 (25)	1490	1.02	6591	-0.169897
Frax30	106 (73)	115	1.08	714 (370)	727	1.02	7332	-0.0750736
Frax27	79 (40)	86	1.09	831 (9)	840	1.01	7242	-0.0924926
Frax04	64 (33)	66	1.03	1242 (14)	1260	1.01	6846	-0.146467
Frax13	101 (64)	108	1.07	1368 (872)	1382	1.01	6683	-0.156281
Frax03	99 (63)	109	1.1	1292 (880)	1320	1.02	6761	-0.148553
Frax11	108 (63)	110	1.02	374 (8)	384	1.03	7670	-0.0336114
Frax28	108 (60)	112	1.04	979 (9)	988	1.01	7065	-0.107458
Frax06	104 (56)	115	1.11	534 (12)	553	1.04	7514	-0.0537291
