Family ID	<61>	FRAX08<12>	<33>	FRAX05<50>	Mguttatus<62>	FRAX25<26>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	empty<58>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<57>	Slycopersicum<60>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<29>	FRAX28<4>	FRAX06<22>	<5>
139	38	57	79	63	47	65	84	61	81	88	77	80	67	72	77	0	71	62	71	90	70	56	58	69	68	62	84	80	66	72	85	65	75	75	67	68	79	65	79	110	70	68	74	62	62	71	10	31	75	73	108	65	78	58	74	80	66	66	90	73	66	76
23151	6	76	76	76	4	37	83	63	80	86	73	80	73	62	72	0	79	53	72	47	70	68	72	82	68	22	86	80	85	66	86	80	80	76	79	72	76	80	87	82	72	71	29	70	57	79	1	8	82	67	82	54	80	55	80	87	53	80	86	80	72	84
17813	42	51	73	66	43	53	76	64	75	79	70	74	54	69	72	0	57	55	68	71	61	51	62	61	62	64	75	75	65	60	76	55	72	68	65	61	74	60	69	96	65	61	75	57	56	67	11	42	62	55	95	65	74	55	59	70	64	65	81	61	62	64
10507	31	58	60	56	34	46	68	45	66	70	57	66	48	54	59	0	53	49	54	49	62	52	59	64	53	45	69	62	58	51	69	53	62	59	59	53	64	55	67	75	61	49	61	50	42	61	8	29	64	66	75	49	62	44	64	67	48	59	70	58	61	64
33528	53	51	57	50	35	46	64	38	62	67	55	60	51	49	55	0	53	46	55	81	48	50	52	52	45	41	65	59	49	49	65	49	56	58	52	52	61	59	62	91	48	50	59	46	47	53	14	76	53	50	88	41	58	40	53	62	46	52	69	48	50	55
2065	27	36	56	45	25	36	55	39	54	60	53	54	37	55	56	0	43	43	47	75	51	34	48	48	38	45	55	57	58	48	56	44	55	46	54	39	53	40	51	84	51	38	53	41	32	54	7	29	44	43	82	44	56	45	44	51	55	54	63	41	53	47
43071	18	53	51	49	25	40	61	43	58	65	50	56	38	41	48	0	49	44	43	85	48	36	43	57	40	29	63	53	53	45	63	51	52	48	50	39	58	54	61	90	48	37	63	43	40	50	5	13	52	46	86	37	52	35	50	61	34	50	66	50	42	55
17559	35	47	51	44	37	39	52	38	50	55	50	50	40	49	51	0	40	36	43	42	46	42	39	40	43	47	53	51	43	45	53	37	49	46	44	43	48	44	49	64	46	42	43	42	41	47	9	34	43	41	64	43	50	43	42	49	47	43	56	43	41	44
19154	26	41	51	48	25	37	52	40	50	55	50	49	42	47	50	0	40	41	41	46	38	34	43	45	37	44	53	52	38	45	53	39	50	48	47	46	49	42	50	64	42	46	40	47	42	47	7	28	46	47	64	41	51	42	46	50	44	43	56	38	45	47
1238	25	39	48	45	25	37	53	40	52	55	45	51	40	42	48	0	47	40	40	59	47	43	43	42	41	41	52	49	41	37	53	39	49	48	44	44	51	44	49	70	47	41	51	42	35	47	6	26	46	41	69	37	49	45	46	49	38	43	56	42	44	46
43418	22	35	51	38	22	35	53	38	51	57	48	50	33	50	51	0	43	39	43	78	47	35	32	48	36	40	53	51	48	41	54	35	48	44	45	37	51	40	50	84	47	35	54	36	36	47	6	22	43	42	81	42	50	39	43	50	51	45	59	41	44	44
14898	37	35	48	38	33	35	49	41	47	52	47	47	34	46	48	0	38	41	41	51	39	35	37	42	39	38	49	48	48	44	50	36	46	42	45	38	46	41	47	64	42	37	45	38	36	45	10	41	42	41	63	43	47	38	41	47	43	45	53	42	41	43
20082	29	36	49	44	21	28	45	42	43	52	48	42	37	45	48	0	36	44	42	53	45	30	40	36	33	41	45	50	46	45	46	35	48	40	46	33	42	35	41	66	45	32	40	44	40	47	8	38	37	37	65	40	49	38	37	41	42	46	54	33	35	38
12401	33	30	46	45	19	32	44	36	41	48	46	40	36	39	44	0	33	34	35	52	39	34	36	35	32	35	45	46	42	46	45	36	46	39	42	35	40	42	43	62	40	32	36	41	32	43	9	51	38	33	61	34	46	33	35	43	35	42	50	38	32	39
19319	18	40	45	33	18	34	45	34	42	48	44	42	33	42	45	0	37	33	41	44	36	37	35	39	33	38	46	45	37	39	46	33	41	39	37	37	41	33	43	58	36	36	37	33	37	38	5	18	41	41	57	36	44	38	41	43	41	37	49	37	37	41
22607	20	30	41	36	21	32	42	33	41	44	41	41	32	38	40	0	35	33	32	39	36	31	33	35	33	36	42	41	37	40	42	36	39	39	36	37	40	29	39	53	36	37	36	29	30	37	5	20	37	34	53	32	40	32	36	40	36	36	45	37	36	38
28270	43	30	40	30	22	28	39	32	37	42	38	36	29	38	40	0	31	30	36	52	34	28	29	35	28	35	39	40	34	35	39	30	37	34	36	30	37	30	37	59	34	30	37	36	28	36	11	69	33	29	58	34	39	32	32	37	36	34	44	33	31	34
43231	27	30	39	32	28	27	38	31	36	41	39	36	26	37	39	0	29	32	36	41	29	30	30	34	29	26	38	39	31	38	38	26	36	33	31	30	35	31	36	50	31	29	34	30	27	32	7	27	29	27	49	32	38	31	29	36	35	31	42	28	32	30
12671	39	25	35	34	38	29	36	31	35	38	34	35	22	32	35	0	28	29	31	34	31	23	29	29	26	28	35	36	31	30	36	28	36	32	35	31	35	26	32	45	32	31	34	36	26	35	10	41	28	26	45	27	36	30	28	32	30	31	39	26	32	30
25540	10	23	39	25	17	28	39	26	34	42	39	34	26	31	37	0	31	24	31	54	28	28	37	26	25	21	41	39	24	39	41	41	34	30	33	28	31	41	41	58	29	26	23	31	37	33	3	4	39	40	56	28	36	31	39	41	24	33	43	34	30	41
4329	18	28	34	27	21	32	37	29	36	38	33	35	30	32	34	0	31	29	30	38	33	30	28	31	27	31	37	34	30	27	37	28	33	35	30	33	36	29	35	48	33	33	34	28	28	33	5	16	31	28	47	31	34	26	31	35	29	30	39	27	30	32
7441	14	30	35	25	8	29	38	27	37	39	34	37	30	34	35	0	32	26	30	41	27	30	30	36	31	23	38	35	32	32	38	30	32	36	31	35	37	33	37	48	28	35	34	24	24	31	4	21	32	29	47	31	34	29	32	37	32	31	40	30	32	33
2174	18	29	39	35	9	25	37	30	35	41	39	35	22	31	37	0	27	36	34	36	33	19	35	31	36	30	36	39	39	39	37	22	38	28	37	27	30	24	32	48	34	27	20	28	29	37	5	30	27	25	48	27	39	28	27	32	26	37	42	24	28	28
9654	16	26	34	28	15	29	37	29	35	38	32	35	31	31	34	0	30	32	29	33	31	25	29	29	31	27	37	34	31	25	37	25	33	33	31	29	34	33	35	44	31	29	31	31	28	32	4	18	31	29	44	29	34	30	31	35	28	31	38	31	25	31
34819	21	26	32	28	29	29	35	28	33	36	31	32	29	29	32	0	29	27	30	28	29	30	27	27	24	26	35	32	28	28	35	32	31	32	28	30	33	31	34	40	29	27	29	26	25	29	5	15	31	29	40	24	32	27	30	34	27	28	36	29	28	33
