Node	Expansions	Contractions	Rapidly evolving families
F_paxiana<12>	309	6891	183
<33>	24	975	65
F_xanthoxyloides<26>	242	7898	183
<25>	11	213	11
<19>	49	720	39
<21>	130	1540	106
<27>	0	540	0
<31>	70	1080	38
<23>	16	63	12
F_angustifolia_subsp_oxycarpa<18>	303	4579	226
<35>	79	1801	48
<37>	78	515	48
empty<58>	0	15995	11
F_floribunda<2>	435	2270	426
F_griffithii<28>	266	7777	143
F_platypoda<52>	458	4539	182
Olea_europaea<56>	66	6396	472
F_albicans<46>	446	1625	375
<5>	92	1872	46
F_angustifolia_subsp_syriaca<16>	266	3927	596
<3>	81	918	89
F_ornus<8>	453	3809	228
F_nigra<24>	226	6527	154
F_cuspidata<54>	27	9699	58
<11>	63	741	56
F_angustifolia<14>	340	1960	360
F_pennsylvanica<42>	1138	1515	1147
F_goodingii<30>	751	3229	277
<13>	51	885	44
F_sieboldiana<6>	400	4802	316
<49>	158	751	100
<17>	89	2485	133
<43>	94	711	72
<15>	52	1685	37
<41>	43	769	73
F_americana<48>	253	3542	499
Mimulus_guttatus<62>	946	3258	191
<9>	35	54	20
<47>	42	2297	66
<61>	54	2888	0
F_excelsior<20>	1082	2595	568
F_latifolia<50>	618	4460	217
F_greggii<32>	325	5829	250
<45>	152	772	101
<57>	0	6073	2
Solanum_lycopersicum<60>	1268	2790	170
<55>	11199	0	0
F_chinensis<0>	387	2397	415
F_bungeana<10>	809	5165	349
F_anomala<36>	329	2990	194
<51>	88	1117	70
F_dipetala<38>	253	5029	93
F_mandshurica<22>	417	4268	198
F_velutina<44>	333	4139	529
<1>	59	1391	106
F_caroliniana<40>	511	3715	866
F_quadrangulata<34>	459	1723	232
<7>	232	1387	101
<29>	38	5230	58
F_baroniana<4>	475	3457	437
<53>	0	213	5
<39>	60	2772	29
