Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	309 (123)	351	1.14	6891 (60)	10369	1.5	8991	-0.618739
Frax25	242 (86)	284	1.17	7898 (97)	12060	1.53	8051	-0.727318
Frax15	303 (140)	330	1.09	4579 (86)	6133	1.34	11309	-0.358409
Empty	0 (0)	0	0	15995 (11)	16701	1.04	196	-1.0315
Frax32	435 (291)	487	1.12	2270 (135)	2708	1.19	13486	-0.137175
Frax21	266 (123)	336	1.26	7777 (19)	11932	1.53	8148	-0.7162
Frax33	458 (147)	519	1.13	4539 (35)	5990	1.32	11194	-0.337904
Oeuropea	66 (7)	100	1.52	6396 (465)	11172	1.75	9729	-0.683837
Frax26	446 (290)	511	1.15	1625 (85)	1874	1.15	14120	-0.0841826
Frax16	266 (189)	303	1.14	3927 (407)	5099	1.3	11998	-0.296214
Frax07	453 (180)	520	1.15	3809 (48)	5200	1.37	11929	-0.289049
Frax23	226 (100)	259	1.15	6527 (54)	9026	1.38	9438	-0.541474
Frax31	27 (22)	32	1.19	9699 (33)	19358	2.0	6465	-1.19363
Frax01	340 (247)	395	1.16	1960 (113)	2304	1.18	13891	-0.117905
Frax09	1138 (900)	1355	1.19	1515 (247)	1992	1.31	13538	-0.0393428
Frax19	751 (253)	949	1.26	3229 (21)	4039	1.25	12211	-0.190847
Frax12	400 (192)	478	1.2	4802 (124)	6373	1.33	10989	-0.364091
Frax14	253 (177)	284	1.12	3542 (322)	4571	1.29	12396	-0.264777
Mguttatus	946 (84)	1806	1.91	3258 (107)	4214	1.29	11987	-0.148725
Frax00	1082 (423)	1278	1.18	2595 (143)	4125	1.59	12514	-0.175838
Frax05	618 (183)	688	1.11	4460 (34)	5646	1.27	11113	-0.30622
Frax20	325 (139)	363	1.12	5829 (111)	8286	1.42	10037	-0.489346
Slycopersicum	1268 (85)	2499	1.97	2790 (85)	3432	1.23	12133	-0.0576246
Frax30	387 (275)	430	1.11	2397 (140)	2885	1.2	13407	-0.151627
Frax29	809 (266)	982	1.21	5165 (82)	6975	1.35	10217	-0.370144
Frax27	329 (158)	369	1.12	2990 (36)	3736	1.25	12872	-0.207955
Frax04	253 (67)	268	1.06	5029 (25)	6898	1.37	10909	-0.409487
Frax06	417 (174)	496	1.19	4268 (24)	5496	1.29	11506	-0.308814
Frax13	333 (217)	369	1.11	4139 (312)	5125	1.24	11719	-0.293743
Frax03	511 (383)	589	1.15	3715 (483)	4634	1.25	11965	-0.24983
Frax11	459 (202)	506	1.1	1723 (30)	2159	1.25	14009	-0.102094
Frax28	475 (273)	567	1.19	3457 (164)	4244	1.23	12259	-0.227101
