Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	800	5435	50
<33>	57	502	14
<41>	181	512	40
FRAX25<26>	618	6538	56
<25>	33	117	12
<19>	46	374	15
<21>	259	820	23
<27>	7	223	0
<31>	172	785	18
<23>	31	19	5
FRAX15<18>	629	4066	54
<35>	299	1109	11
<37>	99	387	17
FRAX32<2>	878	1897	185
FRAX21<28>	758	6131	35
FRAX33<52>	972	3496	49
Oeuropea<56>	1392	4757	109
FRAX26<46>	923	1433	169
<5>	164	1555	2
FRAX16<16>	492	3700	274
Slycopersicum<58>	1354	2604	132
<3>	186	565	27
<47>	135	1530	22
FRAX23<24>	553	5444	38
FRAX31<54>	638	8404	28
<11>	118	677	40
FRAX01<14>	771	1814	184
FRAX09<42>	1616	1322	567
FRAX19<30>	1357	2382	66
<13>	174	440	15
FRAX12<6>	886	3997	114
<49>	257	537	30
<17>	168	1845	41
<43>	227	475	18
<15>	134	1235	10
Mguttatus<60>	1043	3082	127
FRAX14<48>	489	3248	219
FRAX29<10>	1486	4269	93
<9>	50	11	11
FRAX07<8>	1198	2788	57
FRAX00<20>	1930	1910	173
FRAX05<50>	1157	3568	57
FRAX20<32>	607	5003	67
<45>	226	644	10
<55>	8381	0	0
FRAX30<0>	817	2034	168
<53>	13	121	0
FRAX27<36>	657	2455	59
<51>	209	703	30
FRAX04<38>	620	4011	21
FRAX13<44>	621	3470	180
<1>	159	1077	42
FRAX03<40>	747	3331	368
FRAX11<34>	1010	1322	68
<7>	490	694	19
<59>	184	2897	16
<29>	621	5404	59
FRAX28<4>	867	2748	124
FRAX06<22>	1133	3119	71
<39>	399	1727	4
