Node	Expansions	Contractions	Rapidly evolving families
F_paxiana<12>	800	5435	50
<33>	57	502	14
<41>	181	512	40
F_xanthoxyloides<26>	618	6538	56
<25>	33	117	12
<19>	46	374	15
<21>	259	820	23
<27>	7	223	0
<31>	172	785	18
<23>	31	19	5
F_angustifolia_subsp_oxycarpa<18>	629	4066	54
<35>	299	1109	11
<37>	99	387	17
F_floribunda<2>	878	1897	185
F_griffithii<28>	758	6131	35
F_platypoda<52>	972	3496	49
Olea_europaea<56>	1392	4757	109
F_albicans<46>	923	1433	169
<5>	164	1555	2
F_angustifolia_subsp_syriaca<16>	492	3700	274
Solanum_lycopersicum<58>	1354	2604	132
<3>	186	565	27
<47>	135	1530	22
F_nigra<24>	553	5444	38
F_cuspidata<54>	638	8404	28
<11>	118	677	40
F_angustifolia<14>	771	1814	184
F_pennsylvanica<42>	1616	1322	567
F_goodingii<30>	1357	2382	66
<13>	174	440	15
F_sieboldiana<6>	886	3997	114
<49>	257	537	30
<17>	168	1845	41
<43>	227	475	18
<15>	134	1235	10
Mimulus_guttatus<60>	1043	3082	127
F_americana<48>	489	3248	219
F_bungeana<10>	1486	4269	93
<9>	50	11	11
F_ornus<8>	1198	2788	57
F_excelsior<20>	1930	1910	173
F_latifolia<50>	1157	3568	57
F_greggii<32>	607	5003	67
<45>	226	644	10
<55>	8381	0	0
F_chinensis<0>	817	2034	168
<53>	13	121	0
F_anomala<36>	657	2455	59
<51>	209	703	30
F_dipetala<38>	620	4011	21
F_velutina<44>	621	3470	180
<1>	159	1077	42
F_caroliniana<40>	747	3331	368
F_quadrangulata<34>	1010	1322	68
<7>	490	694	19
<59>	184	2897	16
<29>	621	5404	59
F_baroniana<4>	867	2748	124
F_mandshurica<22>	1133	3119	71
<39>	399	1727	4
