Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	800 (39)	934	1.17	5435 (11)	7167	1.32	9956	-0.384967
Frax25	618 (27)	725	1.17	6538 (29)	8726	1.33	9035	-0.494163
Frax15	629 (32)	729	1.16	4066 (22)	5025	1.24	11496	-0.265333
Frax32	878 (113)	1008	1.15	1897 (72)	2167	1.14	13416	-0.071583
Frax21	758 (34)	968	1.28	6131 (1)	8015	1.31	9302	-0.435242
Frax33	972 (41)	1171	1.2	3496 (8)	4138	1.18	11723	-0.18325
Oeuropea	1392 (12)	2136	1.53	4757 (97)	5858	1.23	10042	-0.229881
Frax26	923 (128)	1086	1.18	1433 (41)	1582	1.1	13835	-0.0306343
Frax16	492 (78)	557	1.13	3700 (196)	4576	1.24	11999	-0.248224
Slycopersicum	1354 (74)	2992	2.21	2604 (58)	3127	1.2	12233	-0.00833797
Frax23	553 (24)	644	1.16	5444 (14)	6697	1.23	10194	-0.37385
Frax31	638 (20)	746	1.17	8404 (8)	12872	1.53	7149	-0.748935
Frax01	771 (127)	903	1.17	1814 (57)	2035	1.12	13606	-0.0699154
Frax09	1616 (392)	2046	1.27	1322 (175)	1666	1.26	13253	0.0234698
Frax19	1357 (61)	1734	1.28	2382 (5)	2782	1.17	12452	-0.0647273
Frax12	886 (48)	1068	1.21	3997 (66)	4841	1.21	11308	-0.233031
Mguttatus	1043 (56)	2115	2.03	3082 (71)	3725	1.21	12066	-0.099438
Frax14	489 (76)	558	1.14	3248 (143)	3978	1.22	12454	-0.211228
Frax29	1486 (74)	1892	1.27	4269 (19)	5211	1.22	10436	-0.20499
Frax07	1198 (33)	1378	1.15	2788 (24)	3384	1.21	12205	-0.123896
Frax00	1930 (91)	2407	1.25	1910 (82)	2873	1.5	12351	-0.0287814
Frax05	1157 (53)	1354	1.17	3568 (4)	4154	1.16	11466	-0.172936
Frax20	607 (29)	692	1.14	5003 (38)	6573	1.31	10581	-0.363226
Frax30	817 (96)	934	1.14	2034 (72)	2327	1.14	13340	-0.0860355
Frax27	657 (28)	745	1.13	2455 (31)	2886	1.18	13079	-0.132234
Frax04	620 (11)	685	1.1	4011 (10)	5004	1.25	11560	-0.266753
Frax13	621 (76)	710	1.14	3470 (104)	3983	1.15	12100	-0.202149
Frax03	747 (176)	914	1.22	3331 (192)	3942	1.18	12113	-0.187017
Frax11	1010 (32)	1140	1.13	1322 (36)	1567	1.19	13859	-0.0263727
Frax28	867 (59)	1046	1.21	2748 (65)	3142	1.14	12576	-0.129455
Frax06	1133 (64)	1369	1.21	3119 (7)	3655	1.17	11939	-0.14119
