Node	Expansions	Contractions	Rapidly evolving families
F_paxiana<12>	775	5523	27
<33>	58	510	12
<41>	178	514	20
F_xanthoxyloides<26>	609	6628	37
<25>	27	126	5
<19>	47	394	8
<21>	242	890	8
<27>	3	237	0
<31>	169	788	7
<23>	29	18	1
F_angustifolia_subsp_oxycarpa<18>	618	4084	31
<35>	290	1124	8
<37>	97	388	8
F_floribunda<2>	877	1899	98
F_griffithii<28>	716	6276	18
F_platypoda<52>	965	3517	25
Olea_europaea<56>	2700	5439	86
F_albicans<46>	920	1438	92
<5>	157	1595	1
F_angustifolia_subsp_syriaca<16>	490	3702	170
Solanum_lycopersicum<58>	427	6048	31
<3>	181	573	14
<47>	132	1536	18
F_nigra<24>	546	5475	24
F_cuspidata<54>	321	8169	5
<11>	97	676	10
F_angustifolia<14>	769	1817	102
F_pennsylvanica<42>	1615	1323	366
F_goodingii<30>	1349	2407	43
<13>	126	536	8
F_sieboldiana<6>	879	4007	69
<49>	246	544	14
<17>	165	1858	15
<43>	224	481	5
<15>	129	1259	6
Mimulus_guttatus<60>	321	6383	24
F_americana<48>	486	3250	137
F_bungeana<10>	1460	4290	51
<9>	48	11	3
F_ornus<8>	1181	2813	46
F_excelsior<20>	1911	1939	115
F_latifolia<50>	1149	3582	33
F_greggii<32>	600	5025	52
<45>	228	655	4
<55>	25	10059	24
F_chinensis<0>	814	2035	102
<53>	0	79	0
F_anomala<36>	652	2471	42
<51>	197	712	14
F_dipetala<38>	615	4047	15
F_velutina<44>	619	3475	116
<1>	158	1081	22
F_caroliniana<40>	746	3332	223
F_quadrangulata<34>	999	1331	43
<7>	449	741	6
<59>	21	13194	12
<29>	162	4929	16
F_baroniana<4>	862	2751	78
F_mandshurica<22>	1100	3141	47
<39>	284	1852	1
