Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	775 (18)	906	1.17	5523 (9)	7319	1.33	9893	-0.396084
Frax25	609 (12)	713	1.17	6628 (25)	8899	1.34	8954	-0.50559
Frax15	618 (15)	713	1.15	4084 (16)	5052	1.24	11489	-0.267988
Frax32	877 (55)	1006	1.15	1899 (43)	2170	1.14	13415	-0.0718918
Frax21	716 (17)	910	1.27	6276 (1)	8313	1.32	9199	-0.457229
Frax33	965 (17)	1160	1.2	3517 (8)	4175	1.19	11709	-0.186215
Oeuropea	2700 (71)	4096	1.52	5439 (14)	8065	1.48	8052	-0.245136
Frax26	920 (64)	1082	1.18	1438 (28)	1587	1.1	13833	-0.0311902
Frax16	490 (40)	554	1.13	3702 (130)	4582	1.24	11999	-0.24878
Slycopersicum	427 (16)	981	2.3	6048 (14)	10056	1.66	9716	-0.560497
Frax23	546 (14)	634	1.16	5475 (10)	6767	1.24	10170	-0.378791
Frax31	321 (3)	361	1.12	8169 (2)	12786	1.57	7701	-0.767402
Frax01	769 (60)	897	1.17	1817 (42)	2038	1.12	13605	-0.0704712
Frax09	1615 (249)	2045	1.27	1323 (117)	1669	1.26	13253	0.0232228
Frax19	1349 (38)	1719	1.27	2407 (5)	2818	1.17	12435	-0.0678772
Frax12	879 (28)	1059	1.2	4007 (41)	4857	1.21	11305	-0.234575
Mguttatus	321 (13)	657	2.05	6383 (11)	11207	1.76	9487	-0.651597
Frax14	486 (37)	553	1.14	3250 (100)	3982	1.23	12455	-0.211784
Frax29	1460 (35)	1857	1.27	4290 (16)	5253	1.22	10441	-0.209746
Frax07	1181 (23)	1354	1.15	2813 (23)	3437	1.22	12197	-0.128652
Frax00	1911 (52)	2383	1.25	1939 (63)	2910	1.5	12341	-0.0325489
Frax05	1149 (29)	1346	1.17	3582 (4)	4174	1.17	11460	-0.174665
Frax20	600 (17)	685	1.14	5025 (35)	6617	1.32	10566	-0.366376
Frax30	814 (54)	931	1.14	2035 (48)	2329	1.14	13342	-0.0863443
Frax27	652 (16)	738	1.13	2471 (26)	2906	1.18	13068	-0.133902
Frax04	615 (7)	679	1.1	4047 (8)	5055	1.25	11529	-0.270274
Frax13	619 (38)	709	1.15	3475 (78)	3990	1.15	12097	-0.202643
Frax03	746 (98)	911	1.22	3332 (125)	3943	1.18	12113	-0.187265
Frax11	999 (17)	1125	1.13	1331 (26)	1579	1.19	13861	-0.0280403
Frax28	862 (32)	1040	1.21	2751 (46)	3147	1.14	12578	-0.130134
Frax06	1100 (40)	1334	1.21	3141 (7)	3700	1.18	11950	-0.146131
