Node	Expansions	Genes Gained	Equal	Contractions	Genes Lost	Families Lost	Average Expansion	Sig Expansions	Sig Contractions	Total Sig Changes
FRAX08<12>	1432	1831	10679	4080	4663	1887	-0.174912	43	43	86
<33>	155	161	15631	405	414	289	-0.015626	14	7	21
FRAX25<26>	1156	1432	9869	5166	5941	2540	-0.278488	32	64	96
Mguttatus<58>	973	2174	6123	9095	10999	3781	-0.545056	10	10	20
<25>	54	55	15965	172	172	33	-0.00722624	8	0	8
<19>	102	103	15887	202	215	6	-0.00691742	8	8	16
<21>	481	515	15401	309	330	5	0.0114261	13	9	22
<27>	48	48	16026	117	117	38	-0.00426163	9	0	9
<31>	343	369	14870	978	992	466	-0.0384782	24	10	34
<23>	95	96	15201	895	895	867	-0.0493484	15	0	15
FRAX15<18>	1117	1349	11834	3240	3665	1322	-0.143042	37	69	106
<35>	667	727	15080	444	472	174	0.0157495	11	8	19
<37>	207	211	15511	473	487	290	-0.0170465	13	12	25
FRAX32<2>	1111	1339	13408	1672	1825	603	-0.0300167	131	58	189
FRAX21<28>	1406	1906	10264	4521	5034	2275	-0.193194	50	14	64
FRAX33<52>	1587	2012	11999	2605	2826	1211	-0.0502748	45	37	82
Oeuropea<56>	5460	10607	7478	3253	3661	1986	0.429004	137	15	152
FRAX26<46>	1373	1699	13583	1235	1322	468	0.0232845	174	31	205
<5>	275	311	15028	888	897	283	-0.0361929	5	1	6
FRAX16<16>	831	975	12125	3235	3772	1170	-0.17275	113	152	265
<3>	382	410	15392	417	443	144	-0.00203817	31	10	41
<47>	292	311	14752	1147	1167	630	-0.0528689	18	10	28
FRAX23<24>	1086	1312	11678	3427	3846	1261	-0.156507	34	57	91
FRAX31<54>	1819	2200	10906	3466	3800	2247	-0.0988203	8	5	13
<11>	246	261	15190	755	755	641	-0.0305108	50	0	50
FRAX01<14>	1394	1702	13293	1504	1612	607	0.00555864	171	44	215
FRAX09<42>	1996	2592	12964	1231	1485	472	0.0683713	389	134	523
FRAX19<30>	2059	2763	12839	1293	1402	485	0.084059	80	30	110
<13>	322	358	15705	164	167	4	0.0117967	16	0	16
FRAX12<6>	1308	1653	11603	3280	3744	1417	-0.129146	77	82	159
<49>	415	472	15301	475	482	80	-0.000617627	37	3	40
<17>	235	257	14457	1499	1535	934	-0.0789327	35	10	45
<43>	393	409	15469	329	330	151	0.00487925	22	0	22
<15>	295	328	15128	768	807	240	-0.0295843	8	10	18
<41>	409	452	15400	382	398	145	0.00333519	40	12	52
FRAX14<48>	705	814	12598	2888	3361	997	-0.15731	91	149	240
FRAX29<10>	2122	2920	11113	2956	3323	1242	-0.0248904	93	49	142
<9>	204	207	15493	494	495	391	-0.0177877	27	1	28
FRAX07<8>	2035	2564	12684	1472	1654	496	0.0562041	64	57	121
FRAX00<20>	2753	3748	12237	1201	1751	28	0.12334	123	119	242
FRAX05<50>	1698	2135	11674	2819	3041	1397	-0.055957	55	24	79
FRAX20<32>	872	1032	11561	3758	4504	1316	-0.21444	34	106	140
<45>	359	371	15446	386	396	70	-0.00154407	5	6	11
<57>	21	22	16131	39	51	0	-0.00179112	0	0	0
Slycopersicum<60>	1325	3095	6058	8808	10474	3778	-0.455747	14	11	25
<55>	3260	4647	12221	710	968	196	0.227225	30	3	33
FRAX30<0>	1057	1254	13347	1787	1974	618	-0.0444691	97	72	169
<53>	4	4	16169	18	19	0	-0.000926441	0	0	0
FRAX27<36>	948	1122	13367	1876	2051	643	-0.0573776	40	37	77
<51>	350	393	15412	429	430	187	-0.00228522	40	1	41
FRAX04<38>	1078	1256	12266	2847	3195	1023	-0.119758	16	37	53
FRAX13<44>	843	988	12463	2885	3121	1284	-0.13174	102	80	182
<1>	340	368	15161	690	707	343	-0.0209376	36	4	40
FRAX03<40>	874	1095	12289	3028	3396	1217	-0.142116	175	123	298
FRAX11<34>	1551	1854	13677	963	1069	393	0.0484837	57	42	99
<7>	758	847	15216	217	218	43	0.0388487	13	0	13
<29>	733	875	14523	935	1029	354	-0.00951146	23	1	24
FRAX28<4>	1405	1723	12464	2322	2526	922	-0.0495955	67	66	133
FRAX06<22>	2047	2693	12822	1322	1460	438	0.0761534	86	36	122
<39>	794	839	14497	900	915	550	-0.00469397	4	0	4
