Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	1432	4080	86
<33>	155	405	21
FRAX25<26>	1156	5166	96
Mguttatus<58>	973	9095	20
<25>	54	172	8
<19>	102	202	16
<21>	481	309	22
<27>	48	117	9
<31>	343	978	34
<23>	95	895	15
FRAX15<18>	1117	3240	106
<35>	667	444	19
<37>	207	473	25
FRAX32<2>	1111	1672	189
FRAX21<28>	1406	4521	64
FRAX33<52>	1587	2605	82
Oeuropea<56>	5460	3253	152
FRAX26<46>	1373	1235	205
<5>	275	888	6
FRAX16<16>	831	3235	265
<3>	382	417	41
<47>	292	1147	28
FRAX23<24>	1086	3427	91
FRAX31<54>	1819	3466	13
<11>	246	755	50
FRAX01<14>	1394	1504	215
FRAX09<42>	1996	1231	523
FRAX19<30>	2059	1293	110
<13>	322	164	16
FRAX12<6>	1308	3280	159
<49>	415	475	40
<17>	235	1499	45
<43>	393	329	22
<15>	295	768	18
<41>	409	382	52
FRAX14<48>	705	2888	240
FRAX29<10>	2122	2956	142
<9>	204	494	28
FRAX07<8>	2035	1472	121
FRAX00<20>	2753	1201	242
FRAX05<50>	1698	2819	79
FRAX20<32>	872	3758	140
<45>	359	386	11
<57>	21	39	0
Slycopersicum<60>	1325	8808	25
<55>	3260	710	33
FRAX30<0>	1057	1787	169
<53>	4	18	0
FRAX27<36>	948	1876	77
<51>	350	429	41
FRAX04<38>	1078	2847	53
FRAX13<44>	843	2885	182
<1>	340	690	40
FRAX03<40>	874	3028	298
FRAX11<34>	1551	963	99
<7>	758	217	13
<29>	733	935	24
FRAX28<4>	1405	2322	133
FRAX06<22>	2047	1322	122
<39>	794	900	4
