Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	1432 (43)	1831	1.28	4080 (43)	4663	1.14	10679	-0.174912
Frax25	1156 (32)	1432	1.24	5166 (64)	5941	1.15	9869	-0.278488
Mguttatus	973 (10)	2174	2.23	9095 (10)	10999	1.21	6123	-0.545056
Frax15	1117 (37)	1349	1.21	3240 (69)	3665	1.13	11834	-0.143042
Frax32	1111 (131)	1339	1.21	1672 (58)	1825	1.09	13408	-0.0300167
Frax21	1406 (50)	1906	1.36	4521 (14)	5034	1.11	10264	-0.193194
Frax33	1587 (45)	2012	1.27	2605 (37)	2826	1.08	11999	-0.0502748
Oeuropea	5460 (137)	10607	1.94	3253 (15)	3661	1.13	7478	0.429004
Frax26	1373 (174)	1699	1.24	1235 (31)	1322	1.07	13583	0.0232845
Frax16	831 (113)	975	1.17	3235 (152)	3772	1.17	12125	-0.17275
Frax23	1086 (34)	1312	1.21	3427 (57)	3846	1.12	11678	-0.156507
Frax31	1819 (8)	2200	1.21	3466 (5)	3800	1.1	10906	-0.0988203
Frax01	1394 (171)	1702	1.22	1504 (44)	1612	1.07	13293	0.00555864
Frax09	1996 (389)	2592	1.3	1231 (134)	1485	1.21	12964	0.0683713
Frax19	2059 (80)	2763	1.34	1293 (30)	1402	1.08	12839	0.084059
Frax12	1308 (77)	1653	1.26	3280 (82)	3744	1.14	11603	-0.129146
Frax14	705 (91)	814	1.15	2888 (149)	3361	1.16	12598	-0.15731
Frax29	2122 (93)	2920	1.38	2956 (49)	3323	1.12	11113	-0.0248904
Frax07	2035 (64)	2564	1.26	1472 (57)	1654	1.12	12684	0.0562041
Frax00	2753 (123)	3748	1.36	1201 (119)	1751	1.46	12237	0.12334
Frax05	1698 (55)	2135	1.26	2819 (24)	3041	1.08	11674	-0.055957
Frax20	872 (34)	1032	1.18	3758 (106)	4504	1.2	11561	-0.21444
Slycopersicum	1325 (14)	3095	2.34	8808 (11)	10474	1.19	6058	-0.455747
Frax30	1057 (97)	1254	1.19	1787 (72)	1974	1.1	13347	-0.0444691
Frax27	948 (40)	1122	1.18	1876 (37)	2051	1.09	13367	-0.0573776
Frax04	1078 (16)	1256	1.17	2847 (37)	3195	1.12	12266	-0.119758
Frax13	843 (102)	988	1.17	2885 (80)	3121	1.08	12463	-0.13174
Frax03	874 (175)	1095	1.25	3028 (123)	3396	1.12	12289	-0.142116
Frax11	1551 (57)	1854	1.2	963 (42)	1069	1.11	13677	0.0484837
Frax28	1405 (67)	1723	1.23	2322 (66)	2526	1.09	12464	-0.0495955
Frax06	2047 (86)	2693	1.32	1322 (36)	1460	1.1	12822	0.0761534
