Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	875	5177	44
<33>	78	467	11
FRAX25<26>	701	6294	46
Mguttatus<58>	701	10657	40
<25>	41	104	8
<19>	50	319	10
<21>	298	707	12
<27>	11	145	0
<31>	196	1080	17
<23>	37	18	3
FRAX15<18>	701	3905	39
<35>	339	991	10
<37>	113	377	11
FRAX32<2>	917	1853	125
FRAX21<28>	872	5762	30
FRAX33<52>	1063	3337	49
Oeuropea<56>	4041	3799	99
FRAX26<46>	998	1397	118
<5>	162	1436	3
FRAX16<16>	551	3645	191
<3>	209	528	22
<47>	158	1446	18
FRAX23<24>	635	5222	39
FRAX31<54>	911	5701	23
<11>	161	674	27
FRAX01<14>	861	1770	138
FRAX09<42>	1657	1305	374
FRAX19<30>	1477	1895	63
<13>	232	284	12
FRAX12<6>	964	3882	84
<49>	293	545	25
<17>	172	1759	26
<43>	250	418	8
<15>	154	1110	6
<41>	228	486	24
FRAX14<48>	532	3197	162
FRAX29<10>	1589	3726	88
<9>	67	420	6
FRAX07<8>	1313	2226	54
FRAX00<20>	2101	1775	142
FRAX05<50>	1242	3412	42
FRAX20<32>	651	4518	67
<45>	239	562	9
<57>	24	50	0
Slycopersicum<60>	939	10336	36
<55>	3096	625	73
FRAX30<0>	855	2000	111
<53>	16	44	0
FRAX27<36>	713	2329	46
<51>	251	634	17
FRAX04<38>	693	3827	17
FRAX13<44>	646	3389	131
<1>	191	1013	28
FRAX03<40>	766	3299	237
FRAX11<34>	1120	1234	58
<7>	572	569	16
<29>	1048	2674	51
FRAX28<4>	943	2657	91
FRAX06<22>	1273	2906	68
<39>	550	1472	3
