Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	875 (36)	1049	1.2	5177 (8)	6606	1.28	10139	-0.343215
Frax25	701 (25)	834	1.19	6294 (21)	8133	1.29	9196	-0.450806
Mguttatus	701 (9)	1551	2.21	10657 (31)	14956	1.4	4833	-0.827929
Frax15	701 (25)	822	1.17	3905 (14)	4767	1.22	11585	-0.243654
Frax32	917 (75)	1061	1.16	1853 (50)	2104	1.14	13421	-0.0644185
Frax21	872 (26)	1131	1.3	5762 (4)	7228	1.25	9557	-0.376567
Frax33	1063 (38)	1289	1.21	3337 (11)	3852	1.15	11791	-0.158298
Oeuropea	4041 (64)	6405	1.59	3799 (35)	4390	1.16	8351	0.124452
Frax26	998 (87)	1178	1.18	1397 (31)	1535	1.1	13796	-0.0220493
Frax16	551 (53)	620	1.13	3645 (138)	4470	1.23	11995	-0.237786
Frax23	635 (23)	739	1.16	5222 (16)	6271	1.2	10334	-0.341671
Frax31	911 (23)	1101	1.21	5701 (0)	7613	1.34	9579	-0.402199
Frax01	861 (90)	1008	1.17	1770 (48)	1971	1.11	13560	-0.0594775
Frax09	1657 (234)	2113	1.28	1305 (140)	1641	1.26	13229	0.029152
Frax19	1477 (58)	1896	1.28	1895 (5)	2204	1.16	12819	-0.0190229
Frax12	964 (42)	1169	1.21	3882 (42)	4649	1.2	11345	-0.214934
Frax14	532 (54)	605	1.14	3197 (108)	3886	1.22	12462	-0.202643
Frax29	1589 (71)	2056	1.29	3726 (17)	4537	1.22	10876	-0.153233
Frax07	1313 (36)	1534	1.17	2226 (18)	2702	1.21	12652	-0.0721388
Frax00	2101 (68)	2655	1.26	1775 (74)	2658	1.5	12315	-0.000185288
Frax05	1242 (38)	1469	1.18	3412 (4)	3899	1.14	11537	-0.150083
Frax20	651 (30)	747	1.15	4518 (37)	5888	1.3	11022	-0.317522
Slycopersicum	939 (12)	2296	2.45	10336 (24)	14269	1.38	4916	-0.739485
Frax30	855 (59)	988	1.16	2000 (52)	2265	1.13	13336	-0.078871
Frax27	713 (22)	813	1.14	2329 (24)	2699	1.16	13149	-0.116484
Frax04	693 (10)	775	1.12	3827 (7)	4657	1.22	11671	-0.239763
Frax13	646 (58)	745	1.15	3389 (73)	3842	1.13	12156	-0.191279
Frax03	766 (116)	939	1.23	3299 (121)	3875	1.17	12126	-0.181335
Frax11	1120 (27)	1273	1.14	1234 (31)	1445	1.17	13837	-0.0106232
Frax28	943 (46)	1139	1.21	2657 (45)	3018	1.14	12591	-0.116052
Frax06	1273 (58)	1557	1.22	2906 (10)	3322	1.14	12012	-0.109011
