# The labeled CAFE tree:	((((((((((((FRAX30<0>,FRAX32<2>)<1>,FRAX28<4>)<3>,FRAX12<6>)<5>,(FRAX07<8>,FRAX29<10>)<9>)<7>,FRAX08<12>)<11>,(((((FRAX01<14>,FRAX16<16>)<15>,FRAX15<18>)<17>,FRAX00<20>)<19>,(FRAX06<22>,FRAX23<24>)<23>)<21>,FRAX25<26>)<25>)<13>,FRAX21<28>)<27>,(((FRAX19<30>,FRAX20<32>)<31>,((FRAX11<34>,FRAX27<36>)<35>,FRAX04<38>)<37>)<33>,(((((FRAX03<40>,FRAX09<42>)<41>,FRAX13<44>)<43>,(FRAX26<46>,FRAX14<48>)<47>)<45>,FRAX05<50>)<49>,FRAX33<52>)<51>)<39>)<29>,FRAX31<54>)<53>,Oeuropea<56>)<55>,Mguttatus<58>)<57>,Slycopersicum<60>)<59>
Overall rapid :	0,2,3,4,5,6,7,8,10,12,15,16,17,18,19,20,22,23,25,27,28,29,30,31,32,33,34,35,38,39,41,43,44,47,48,49,50,52,53,54,56,57,59,60,61,64,65,66,67,69,70,72,73,74,75,76,77,80,84,85,86,90,91,93,95,97,99,101,102,103,110,112,113,114,115,117,118,119,121,122,123,124,126,130,138,139,141,142,146,150,151,152,153,154,155,163,166,169,171,174,176,177,178,181,182,183,184,185,187,189,190,191,193,194,195,197,198,200,204,207,208,209,213,216,219,220,223,230,232,235,241,245,246,247,260,263,265,266,271,274,277,280,281,283,284,285,289,290,291,292,297,306,307,312,318,319,329,332,335,347,350,352,353,358,359,362,363,372,374,376,377,383,384,385,386,393,394,397,407,416,419,423,424,430,431,440,442,456,460,464,469,474,486,493,517,519,527,539,540,544,546,549,553,567,570,571,579,586,587,588,590,591,592,597,605,611,619,623,625,629,635,639,645,646,652,662,664,676,683,685,689,703,706,707,725,734,752,763,765,768,782,785,797,817,827,831,835,837,840,841,848,851,853,855,862,873,885,902,906,907,911,917,931,932,934,935,938,942,949,955,957,959,962,964,982,1003,1014,1017,1018,1020,1021,1022,1034,1044,1049,1051,1052,1068,1069,1082,1085,1086,1092,1095,1098,1099,1112,1113,1128,1133,1155,1156,1167,1169,1172,1176,1187,1209,1211,1218,1220,1228,1246,1255,1259,1280,1281,1290,1299,1327,1335,1346,1347,1349,1354,1358,1367,1369,1382,1392,1395,1403,1413,1423,1432,1439,1441,1444,1448,1450,1452,1463,1469,1472,1473,1488,1489,1498,1515,1523,1542,1552,1594,1606,1611,1614,1628,1638,1640,1647,1651,1669,1677,1693,1707,1709,1710,1713,1715,1716,1717,1740,1751,1772,1774,1792,1797,1799,1800,1817,1823,1826,1835,1837,1843,1845,1848,1849,1854,1862,1868,1873,1875,1886,1891,1896,1919,1937,1945,1946,1949,1955,1957,1978,2019,2020,2037,2051,2075,2078,2100,2107,2117,2132,2140,2143,2158,2198,2235,2237,2244,2250,2252,2269,2285,2295,2300,2307,2308,2318,2319,2322,2353,2367,2391,2416,2417,2433,2446,2452,2474,2477,2495,2500,2506,2515,2532,2543,2560,2574,2575,2583,2593,2598,2604,2609,2621,2628,2644,2647,2649,2651,2704,2713,2716,2720,2721,2725,2753,2762,2765,2791,2808,2818,2822,2829,2845,2849,2865,2873,2874,2888,2904,2921,2929,2932,2939,2957,2964,2980,2985,2986,2990,2993,3003,3004,3005,3020,3025,3027,3044,3050,3059,3060,3065,3082,3089,3092,3138,3141,3164,3169,3208,3256,3262,3271,3279,3282,3284,3289,3294,3301,3307,3354,3355,3360,3362,3376,3377,3380,3381,3389,3442,3446,3450,3454,3455,3460,3469,3478,3482,3485,3486,3494,3532,3544,3548,3557,3586,3591,3595,3603,3625,3644,3645,3647,3657,3664,3688,3697,3713,3715,3716,3729,3731,3732,3753,3754,3755,3791,3826,3827,3831,3834,3835,3838,3841,3842,3844,3847,3880,3892,4006,4019,4023,4059,4072,4083,4110,4113,4120,4175,4205,4213,4223,4232,4237,4238,4241,4271,4290,4323,4350,4365,4409,4450,4463,4465,4492,4646,4665,4694,4733,4740,4758,4778,4789,4811,4823,4832,4833,4835,4836,4837,4940,4967,5008,5015,5038,5159,5172,5189,5194,5197,5202,5267,5279,5290,5361,5378,5419,5508,5543,5564,5573,5591,5599,5622,5631,5632,5774,5825,5907,5943,5971,5979,6004,6012,6038,6075,6097,6112,6166,6171,6182,6186,6202,6335,6396,6400,6411,6421,6469,6501,6579,6645,6708,6717,6728,6741,6757,6779,6826,6828,6844,6910,6922,7007,7010,7048,7101,7105,7130,7132,7137,7166,7180,7190,7192,7197,7244,7247,7282,7286,7304,7314,7392,7433,7443,7495,7523,7580,7610,7611,7663,7668,7672,7678,7777,7783,7797,7798,7815,7846,7851,7876,7957,8013,8020,8023,8045,8047,8078,8105,8122,8137,8142,8145,8146,8150,8153,8154,8166,8199,8203,8205,8213,8219,8234,8240,8298,8423,8438,8453,8468,8469,8470,8474,8483,8487,8490,8491,8499,8527,8533,8602,8639,8673,8698,8711,8798,8810,8834,8847,8849,8855,8858,8871,8873,8885,8890,8910,8976,8992,9003,9032,9077,9094,9135,9136,9198,9201,9215,9230,9236,9239,9270,9271,9274,9296,9330,9332,9355,9356,9359,9397,9398,9400,9409,9417,9422,9456,9477,9480,9514,9547,9557,9560,9569,9578,9589,9602,9605,9613,9649,9654,9669,9672,9702,9724,9736,9738,9759,9767,9798,9805,9812,9817,9823,9825,9835,9846,9850,9852,9874,9882,9892,9913,9916,9936,9943,9976,9983,9999,10006,10007,10010,10020,10052,10057,10059,10098,10104,10126,10144,10154,10174,10191,10197,10210,10214,10222,10226,10231,10233,10236,10238,10245,10274,10280,10283,10293,10322,10328,10332,10336,10342,10344,10345,10352,10360,10367,10374,10391,10417,10422,10459,10506,10510,10532,10534,10538,10544,10563,10599,10600,10610,10617,10624,10662,10676,10685,10686,10707,10721,10726,10739,10742,10752,10760,10763,10771,10775,10777,10786,10792,10808,10810,10814,10841,10847,10896,10906,10907,10920,10936,10939,10943,10958,10963,10965,10976,10992,10994,11009,11020,11030,11031,11034,11036,11044,11063,11069,11078,11079,11135,11136,11155,11171,11178,11180,11184,11218,11226,11227,11230,11238,11257,11266,11286,11290,11303,11315,11316,11327,11351,11424,11426,11459,11478,11482,11483,11487,11498,11503,11508,11510,11608,11611,11622,11623,11624,11626,11659,11680,11684,11702,11706,11712,11726,11751,11765,11766,11769,11788,11792,11813,11814,11823,11840,11841,11842,11846,11848,11856,11894,11895,11923,11935,11940,11943,11955,12014,12017,12039,12043,12053,12063,12146,12176,12177,12197,12201,12204,12207,12219,12221,12246,12274,12276,12279,12318,12328,12344,12379,12401,12467,12514,12546,12556,12640,12750,12803,12813,13014,13061,13112,13118,13205,13283,13366,13375,13428,13591,13627,13786,13817,13886,13991,14025,14032,14033,14063,14111,14116,14124,14183,14195,14263,14295,14356,14452,14553,14624,14768,14852,14939,14947,14948,14960,14996,15037,15093,15128,15153,15317,15364,15415,15433,15471,15554,15677,15688,15790,15802,15810,15914,15924,15935,15944,15965,16056,16117,16187,16192,16214,16318,16381,16411,16418,16427,16503,16505,16507,16517,16551,16564,16582,16611,16612,16673,16793,16814,16828,16835,16849,16858,16890,16927,16966,17034,17047,17058,17065,17079,17080,17081,17097,17203,17205,17235,17236,17288,17297,17329,17330,17339,17350,17366,17419,17420,17429,17436,17486,17488,17501,17507,17516,17520,17521,17524,17547,17553,17556,17568,17599,17626,17651,17688,17741,17753,17780,17828,17829,17836,17846,17849,17884,17897,17929,17937,17942,17950,17971,17975,17988,17997,17998,18004,18005,18020,18024,18027,18028,18051,18069,18094,18114,18145,18146,18147,18151,18180,18182,18203,18238,18295,18348,18381,18387,18388,18416,18421,18426,18438,18452,18553,18559,18589,18595,18624,18633,18636,18686,18693,18696,18706,18719,18737,18747,18749,18763,18813,18823,18841,18868,18893,18910,18954,18994,19058,19060,19066,19067,19079,19091,19193,19209,19210,19224,19239,19244,19256,19258,19263,19268,19300,19360,19410,19422,19477,19484,19492,19538,19553,19579,19580,19585,19615,19666,19667,19675,19693,19711,19740,19745,19747,19774,19827,19833,19883,19901,19916,19929,19954,19986,20069,20111,20121,20122,20173,20185,20204,20222,20227,20281,20313,20381,20400,20454,20508,20534,20549,20561,20572,20613,20616,20691,20693,20705,20717,20740,20766,20789,20829,20833,20839,20863,20878,20881,20886,20949,20967,21047,21075,21104,21179,21332,21338,21373,21382,21385,21431,21437,21442,21593,21613,21624,21741,21877,21894,21942,21947,21975,22005,22012,22090,22106,22213,22282,22349,22390,22432,22511,22543,22656,22823,22888,23002,23055,23057,23076,23522,24571,24819,24837
FRAX08<12>:	122[+3*],493[+2*],646[+3*],785[+3*],934[+2*],1677[+3*],1693[+3*],1716[+3*],2019[+3*],2515[+2*],2721[+2*],5038[+2*],5508[+2*],6202[+4*],6411[+2*],8105[+2*],8438[+2*],9823[+2*],9976[+3*],9999[+3*],10059[+3*],10374[+2*],10686[+3*],10906[+2*],11079[+3*],11680[+2*],12146[+2*],13112[+2*],14111[+2*],14356[+2*],16427[+3*],17065[+2*],17339[+2*],17419[+2*],17568[+2*],17828[+2*],18633[+2*],18747[+2*],66[-8*],102[-9*],207[-5*],423[-5*],752[-4*],1246[-4*],1255[-4*],1774[-4*],1891[-4*]
<33>:	10685[+1*],14025[+1*],17520[+1*],184[-2*],352[-4*],383[-2*],393[-2*],797[-3*],1640[-2*],1868[-2*],1945[-2*],2237[-2*],2593[-2*],3141[-2*],3688[-3*],5038[-2*],5573[-2*],5622[-2*],8145[-2*],8910[-2*],12017[-2*]
FRAX25<26>:	101[+3*],359[+3*],1281[+3*],1423[+2*],1488[+2*],2506[+3*],2704[+2*],2993[+2*],3831[+3*],4083[+3*],4223[+2*],5378[+2*],6828[+3*],7286[+3*],8023[+2*],8078[+2*],8673[+4*],8873[+4*],8910[+2*],9201[+3*],9215[+2*],9332[+2*],9649[+2*],10191[+2*],10197[+2*],10236[+2*],10459[+3*],10676[+2*],11078[+2*],11503[+2*],11611[+4*],11935[+2*],12017[+3*],13817[+2*],17836[+2*],18151[+2*],19258[+2*],19422[+2*],19492[+2*],19580[+2*],19986[+7*],18[-9*],57[-8*],277[-5*],284[-6*],423[-5*],456[-5*],1792[-4*],1873[-4*],1945[-5*],1955[-4*],2318[-4*],2391[-4*],2446[-5*],2604[-4*],3050[-4*],3092[-4*]
Mguttatus<58>:	8[+21*],20[+26*],29[+23*],181[+10*],292[+35*],782[+6*],827[+11*],841[+6*],1523[+11*],0[-18*],7[-11*],12[-8*],22[-13*],30[-10*],41[-14*],48[-11*],49[-9*],56[-15*],80[-9*],86[-7*],103[-7*],117[-9*],121[-7*],171[-8*],213[-7*],223[-7*],3842[-16*],4837[-7*],5197[-16*],8154[-11*]
<25>:	6112[+1*],8469[+1*],10052[+1*],11503[+1*],11846[+1*],11923[+1*],12546[+1*],16564[+1*],18238[+1*],219[-2*],1523[-2*]
<19>:	12063[+1*],12328[+1*],15688[+1*],17524[+1*],18028[+1*],18295[+1*],18452[+1*],31[-4*],163[-3*],291[-3*],1014[-2*],1176[-2*],1868[-2*],5979[-2*],8153[-2*]
<21>:	3482[+2*],4019[+2*],8499[+1*],10280[+3*],10685[+2*],10777[+4*],10786[+1*],11623[+2*],11706[+2*],12043[+1*],12176[+1*],12379[+1*],12640[+1*],13014[+1*],14624[+1*],15364[+1*],17058[+1*],17288[+1*],17429[+1*],17516[+1*],17897[+1*],18693[+1*],19067[+1*],19209[+1*],19256[+1*],219[-3*],1246[-3*],1710[-3*],1797[-2*],2818[-2*],4778[-2*],5564[-2*]
<27>:	
<31>:	53[+2*],1069[+2*],3834[+3*],10007[+1*],17524[+1*],20313[+1*],1335[-2*],1849[-2*]
