Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	780	11131	47
<33>	38	2442	21
FRAX25<26>	686	10490	57
Mguttatus<58>	458	22143	30
<25>	29	1602	11
<19>	51	943	15
<21>	252	1223	32
<27>	7	1910	0
<31>	147	2080	8
<23>	25	26	4
FRAX15<18>	672	5992	65
<35>	209	1674	24
<37>	87	1341	12
FRAX32<2>	803	2921	159
FRAX21<28>	736	11769	60
FRAX33<52>	909	6617	44
Oeuropea<56>	2872	11472	109
FRAX26<46>	802	2391	154
<5>	171	2151	11
FRAX16<16>	549	5167	234
<3>	173	1109	20
<47>	106	2837	23
FRAX23<24>	578	8561	43
FRAX31<54>	462	15311	33
<11>	126	4	24
FRAX01<14>	714	2932	152
FRAX09<42>	1653	2508	445
FRAX19<30>	1268	3712	66
<13>	247	518	84
FRAX12<6>	905	6700	100
<49>	270	927	28
<17>	201	2524	35
<43>	187	1008	23
<15>	114	1758	11
<41>	128	1143	33
FRAX14<48>	527	4533	200
FRAX29<10>	1510	7267	93
<9>	64	27	4
FRAX07<8>	991	5599	63
FRAX00<20>	1883	4078	134
FRAX05<50>	1161	6244	69
FRAX20<32>	628	6732	77
<45>	225	818	27
<57>	1	94	0
Slycopersicum<60>	739	21613	27
<55>	2148	1936	57
FRAX30<0>	778	3108	158
<53>	6	50	0
FRAX27<36>	612	3400	68
<51>	177	2063	20
FRAX04<38>	587	5774	24
FRAX13<44>	641	5421	194
<1>	140	1810	48
FRAX03<40>	815	4613	323
FRAX11<34>	890	2125	98
<7>	437	3074	16
<29>	677	5140	112
FRAX28<4>	877	4701	150
FRAX06<22>	895	5905	57
<39>	303	3774	6
