Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	780 (38)	904	1.16	11131 (9)	12647	1.14	15826	-0.42337
Frax25	686 (41)	795	1.16	10490 (16)	12310	1.17	16561	-0.415149
Mguttatus	458 (9)	1217	2.66	22143 (21)	29317	1.32	5136	-1.01309
Frax15	672 (45)	769	1.14	5992 (20)	6805	1.14	21073	-0.217615
Frax32	803 (86)	903	1.12	2921 (73)	3180	1.09	24013	-0.0820925
Frax21	736 (58)	917	1.25	11769 (2)	13213	1.12	15232	-0.443307
Frax33	909 (36)	1046	1.15	6617 (8)	7211	1.09	20211	-0.222266
Oeuropea	2872 (77)	4462	1.55	11472 (32)	12671	1.1	13393	-0.295958
Frax26	802 (85)	900	1.12	2391 (69)	2555	1.07	24544	-0.0596676
Frax16	549 (85)	624	1.14	5167 (149)	5905	1.14	22021	-0.190396
Frax23	578 (31)	661	1.14	8561 (12)	9635	1.13	18598	-0.323539
Frax31	462 (31)	530	1.15	15311 (2)	18151	1.19	11964	-0.635289
Frax01	714 (74)	820	1.15	2932 (78)	3168	1.08	24091	-0.0846523
Frax09	1653 (223)	1928	1.17	2508 (222)	2918	1.16	23576	-0.0356924
Frax19	1268 (50)	1536	1.21	3712 (16)	4044	1.09	22757	-0.0904207
Frax12	905 (46)	1049	1.16	6700 (54)	7441	1.11	20132	-0.23045
Frax14	527 (68)	603	1.14	4533 (132)	5168	1.14	22677	-0.164582
Frax29	1510 (73)	1800	1.19	7267 (20)	8223	1.13	18960	-0.231568
Frax07	991 (30)	1119	1.13	5599 (33)	6229	1.11	21147	-0.18423
Frax00	1883 (52)	2245	1.19	4078 (82)	5027	1.23	21776	-0.100299
Frax05	1161 (61)	1333	1.15	6244 (8)	6801	1.09	20332	-0.197137
Frax20	628 (44)	716	1.14	6732 (33)	7975	1.18	20377	-0.261708
Slycopersicum	739 (7)	1856	2.51	21613 (20)	28714	1.33	5385	-0.968309
Frax30	778 (80)	871	1.12	3108 (78)	3410	1.1	23851	-0.0915384
Frax27	612 (26)	688	1.12	3400 (42)	3772	1.11	23725	-0.111187
Frax04	587 (21)	638	1.09	5774 (3)	6576	1.14	21376	-0.214082
Frax13	641 (82)	725	1.13	5421 (112)	5940	1.1	21675	-0.188016
Frax03	815 (174)	952	1.17	4613 (149)	5209	1.13	22309	-0.153477
Frax11	890 (24)	963	1.08	2125 (74)	2360	1.11	24722	-0.0503659
Frax28	877 (62)	1020	1.16	4701 (88)	5074	1.08	22159	-0.146159
Frax06	895 (48)	1052	1.18	5905 (9)	6431	1.09	20937	-0.193929
