Family ID	FRAX08<12>	<33>	FRAX05<50>	FRAX25<26>	Mguttatus<58>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<57>	Slycopersicum<60>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<29>	FRAX28<4>	FRAX06<22>	<5>
139	57	70	63	65	47	72	61	71	73	70	71	67	68	69	71	62	71	90	70	56	58	69	68	62	71	70	66	72	72	65	68	69	64	65	71	65	71	83	66	68	74	62	62	66	72	31	72	73	82	65	70	58	72	71	66	64	74	73	66	71
23151	76	66	76	37	4	69	63	69	68	65	69	73	58	64	79	53	72	47	70	68	72	82	68	22	73	68	85	66	71	80	73	69	74	70	66	80	80	48	69	71	29	70	57	72	24	8	78	67	49	54	71	55	77	79	53	76	67	80	72	79
17813	51	65	66	53	43	64	64	65	66	63	65	54	65	65	57	55	68	71	61	51	62	61	62	64	63	66	65	60	64	55	66	61	62	58	65	60	62	74	63	61	75	57	56	64	71	42	59	55	74	65	67	55	58	62	64	63	67	61	62	59
10507	58	53	56	46	34	59	45	59	58	52	59	48	50	52	53	49	54	49	62	52	59	64	53	45	59	54	58	51	59	53	56	55	56	52	58	55	60	56	56	49	61	50	42	56	53	29	59	66	56	49	55	44	59	60	48	58	58	58	61	59
33528	51	50	50	46	35	55	38	54	56	50	53	51	46	49	53	46	55	81	48	50	52	52	45	41	55	51	49	49	55	49	51	53	49	51	54	59	55	71	46	50	59	46	47	49	79	76	51	50	69	41	52	40	51	55	46	50	57	48	50	52
2065	36	48	45	36	25	47	39	47	49	46	47	37	49	48	43	43	47	75	51	34	48	48	38	45	47	48	58	48	47	44	48	42	48	38	46	40	46	61	47	38	53	41	32	48	51	29	43	43	60	44	48	45	43	46	55	50	50	41	53	44
43071	53	44	49	40	25	50	43	48	51	44	47	38	38	42	49	44	43	85	48	36	43	57	40	29	52	45	53	45	51	51	47	43	46	38	48	54	54	60	46	37	63	43	40	46	43	13	50	46	58	37	46	35	49	54	34	47	51	50	42	52
17559	47	46	44	39	37	46	38	45	46	46	45	40	46	46	40	36	43	42	46	42	39	40	43	47	46	46	43	45	46	37	45	43	42	42	44	44	44	50	43	42	43	42	41	43	54	34	42	41	50	43	46	43	41	44	47	42	47	43	41	42
19154	41	46	48	37	25	45	40	44	46	46	44	42	44	46	40	41	41	46	38	34	43	45	37	44	45	46	38	45	45	39	46	43	44	42	43	42	44	50	41	46	40	47	42	44	46	28	42	47	50	41	46	42	42	44	44	43	47	38	45	42
1238	39	43	45	37	25	46	40	46	47	41	46	40	40	43	47	40	40	59	47	43	43	42	41	41	46	44	41	37	46	39	44	44	43	43	46	44	45	54	44	41	51	42	35	44	47	26	44	41	53	37	44	45	44	45	38	43	47	42	44	44
43418	35	44	38	35	22	44	38	43	46	43	43	33	46	44	43	39	43	78	47	35	32	48	36	40	44	44	48	41	44	35	43	39	40	36	43	40	44	59	42	35	54	36	36	42	45	22	42	42	57	42	44	39	42	44	51	40	47	41	44	42
14898	35	43	38	35	33	43	41	42	44	43	42	34	43	43	38	41	41	51	39	35	37	42	39	38	43	43	48	44	43	36	42	39	41	37	41	41	43	52	41	37	45	38	36	41	56	41	41	41	51	43	43	38	41	43	43	41	45	42	41	41
20082	36	44	44	28	21	39	42	38	43	44	38	37	43	44	36	44	42	53	45	30	40	36	33	41	40	44	46	45	40	35	44	37	44	32	38	35	38	51	44	32	40	44	40	44	48	38	36	37	50	40	44	38	36	38	42	44	44	33	35	36
12401	30	40	45	32	19	37	36	36	39	40	36	36	37	39	33	34	35	52	39	34	36	35	32	35	37	40	42	46	37	36	41	36	40	34	36	42	38	48	39	32	36	41	32	40	51	51	36	33	47	34	40	33	34	38	35	40	40	38	32	37
19319	40	40	33	34	18	39	34	38	40	40	38	33	40	40	37	33	41	44	36	37	35	39	33	38	39	40	37	39	39	33	37	37	36	37	38	33	38	44	36	36	37	33	37	36	35	18	38	41	44	36	39	38	38	38	41	36	41	37	37	37
22607	30	36	36	32	21	36	33	36	37	36	36	32	35	36	35	33	32	39	36	31	33	35	33	36	36	36	37	40	36	36	36	35	34	35	36	29	35	40	35	37	36	29	30	35	36	20	36	34	40	32	36	32	35	35	36	34	37	37	36	36
