# The labeled CAFE tree:	((((((((((((FRAX30<0>,FRAX32<2>)<1>,FRAX28<4>)<3>,FRAX12<6>)<5>,(FRAX07<8>,FRAX29<10>)<9>)<7>,FRAX08<12>)<11>,(((((FRAX01<14>,FRAX16<16>)<15>,FRAX15<18>)<17>,FRAX00<20>)<19>,(FRAX06<22>,FRAX23<24>)<23>)<21>,FRAX25<26>)<25>)<13>,FRAX21<28>)<27>,(((FRAX19<30>,FRAX20<32>)<31>,((FRAX11<34>,FRAX27<36>)<35>,FRAX04<38>)<37>)<33>,(((((FRAX03<40>,FRAX09<42>)<41>,FRAX13<44>)<43>,(FRAX26<46>,FRAX14<48>)<47>)<45>,FRAX05<50>)<49>,FRAX33<52>)<51>)<39>)<29>,FRAX31<54>)<53>,Oeuropea<56>)<55>,Mguttatus<58>)<57>,Slycopersicum<60>)<59>
Overall rapid :	139,23151,17813,10507,33528,2065,43071,19154,1238,43418,14898,20082,12401,19319,22607,28270,25540,7441,2174,10831,11969,18876,336,27372,35636,18737,2302,26920,21592,19101,8907,42109,24058,30792,607,20122,3873,38810,12751,8919,12761,32002,19560,21394,15461,29387,20629,17937,20752,18812,34314,20355,27952,38694,12100,9569,23159,5582,22563,5726,43943,41985,28760,17325,14757,3399,35124,5803,29930,42747,4930,5679,33069,26221,35214,36691,22290,4995,9322,42702,26111,37653,2643,11553,10981,22195,15366,14200,35543,23733,15765,3460,9684,5010,2257,26063,15686,31613,42497,39919,5110,27956,18804,9259,12308,37322,14060,2414,28752,15648,33451,27073,24502,17791,124,2925,32484,21603,35580,34923,19168,42465,2216,38508,3326,26926,14510,16013,20454,43937,33885,18670,35593,15074,1255,18,20614,26289,20781,29816,34029,36079,36403,27852,40049,27213,17408,23539,39897,20730,34593,4544,317,20805,13390,30592,36637,7280,18821,2521,25470,43784,22365,6264,19893,14242,10882,30283,37606,16467,8009,7686,18650,25921,27290,7075,16966,43116,35055,42334,20701,7394,37187,32762,3615,13588,43198,26215,41727,13052,24442,15130,30871,21364,25122,193,13568,663,28899,29425,42650,43477,24698,11463,29008,17546,39867,39625,28974,7837,12434,19603,40878,41321,41015,32358,4950,841,27349,8990,14557,38461,2021,23258,28840,13426,9568,2684,7407,43988,25974,42866,11922,43318,34909,43968,638,37086,23588,3730,26791,28995,43804,14375,5867,2056,39414,40838,32904,32970,834,28445,11230,30191,29460,32036,32998,29958,28725,22559,33631,159,40807,33933,16769,38169,26505,19652,34511,27511,14392,27814,33650,30546,23147,32142,12901,30321,22492,23730,15665,12991,1187,27983,988,40330,29370,33165,8301,7112,13700,5956,28483,1118,925,31227,43525,40299,5949,43215,17480,1012,206,30268,43970,7406,31356,15326,5976,23187,29951,1793,35528,23300,18866,33012,6445,31597,26691,27912,39030,23420,30439,7035,23448,12889,39686,15120,344,1536,532,19190,22677,16861,16074,26964,14436,18638,29296,12938,7883,22490,16072,25791,9669,6011,40872,31473,329,18763,6510,10950,35933,7226,9564,32796,28368,12251,23066,8302,2291,24669,34881,4997,31787,32263,16126,15132,25799,36846,10525,750,18807,29790,29541,43400,18155,16899,5359,14123,9072,23692,2167,7545,22332,4091,19085,33716,30972,4304,7616,7046,6611,12157,16273,10412,23002,33674,22646,36584,6256,29742,31548,5657,30115,5066,8112,21966,40960,959,41574,36152,30075,40436,34737,17478,2346,9596,26399,29610,22363,12698,24565,477,4345,29795,26923,33026,27655,24289,32432,18452,12672,35378,20206,23655,43013,28230,19658,38927,26704,12699,40285,26098,31930,5985,42190,33727,23229,27269,23435,36453,26061,4749,1383,34851,31276,8635,13232,26264,4418,69,22553,11754,28088,29600,4602,13796,32044,18462,7410,43352,37348,12000,6582,17891,10933,27849,17158,20801,7551,30965,10317,37899,31030,41921,21793,40927,7385,39828,27754,43752,4865,17808,11287,34687,19051,15052,11162,22836,36657,42973,37250,12932,43170,40486,11496,43412,38561,20839,27847,42219,16118,28553,34220,32927,14733,1417,33601,26807,30806,41827,11342,12949,33123,9501,30417,459,28815,2899,38458,26387,1060,30370,500,5693,16543,10406,8022,1492,6001,29603,13366,4561,6058,6373,2943,42674,39321,15350,16581,16556,33728,26515,37164,8459,22996,36212,4999,12701,39203,10575,37757,34496,43016,31210,3507,8496,39038,10109,14318,7868,41270,27320,33759,2780,33737,8909,26815,39739,16303,33764,13970,13429,8760,41281,7060,10114,9484,18415,1740,1454,34967,37459,18260,9329,21355,5821,5890,15393,6593,31893,9040,3060,30774,39099,33788,17153,511,38445,3017,16940,1942,30925,3750,28788,31365,28303,32616,6532,27815,25776,34781,4137,39235,29040,6760,42596,42543,11392,40881,22725,41461,29298,43579,21501,18490,9661,35078,17404,34841,20270,3825,29746,11045,34966,7570,42646,12277,27185,12640,12307,3042,13260,19392,8227,40376,30008,17649,32409,32506,6827,40713,19633,21321,32365,20452,13560,26050,41526,25425,7187,3482,33279,38366,31598,41494,15386,31374,41968,14655,39310,30477,40263,14500,25,22741,30633,27346,22396,28287,36567,9471,12850,6814,18107,9737,5145,3186,11450,18473,31023,37502,39950,17970,27112,22280,37285,43399,264,35210,24343,43171,4814,42110,43871,23433,38691,35212,43715,39707,22740,5583,11535,19736,39615,8293,29469,42457,9301,37632,9665,4737,40723,24181,36980,9811,42331,34598,4297,10518,34579,16421,38964,19796,40947,32814,11180,26531,4538,17669,28012,7521,5877,27232,32394,5131,10568,32032,43101,38721,1975,20926,11825,41284,1581,15159,31348,2221,6960,13806,23286,17447,23654,42351,24082,5240,42824,5376,26769,19933,6801,4876,19126,31869,21043,35065,39454,33322,20478,3149,18059,17316,35836,23249,39179,28234,12848,40324,24103,12039,37774,10187,9666,22259
FRAX08<12>:	35593[+4*],13588[+4*],30972[+3*],31548[+5*],21966[+4*],26399[+3*],26264[+3*],1454[+3*],30477[+3*],22741[+3*],11450[+2*],18473[+2*],37285[+3*],24181[+3*],32814[+2*],32032[+2*],5240[+2*],15366[-7*],1255[-7*],40878[-5*],2021[-4*],9072[-4*],17478[-3*],2346[-3*],42190[-3*],41270[-3*]
<33>:	37250[+1*],22280[+1*],42110[+1*],33885[-2*],20805[-2*],7406[-3*],30972[-2*],20206[-2*],43412[-2*]
FRAX25<26>:	22492[+4*],31356[+5*],329[+3*],14123[+3*],2167[+3*],29742[+3*],28230[+3*],5985[+3*],23229[+3*],11496[+3*],30417[+4*],10406[+3*],33788[+4*],21321[+2*],42110[+2*],23151[-32*],5010[-7*],15074[-9*],43116[-4*],33674[-3*],29795[-3*],26923[-4*],32432[-5*],20206[-3*],43013[-4*],26704[-3*],26061[-3*],32044[-3*],17158[-4*],43170[-3*],39235[-3*],22725[-3*]
Mguttatus<58>:	5679[+21*],42497[+23*],27073[+21*],27814[+32*],13700[+11*],16861[+6*],4749[+20*],23151[-20*],33528[-44*],20082[-27*],12401[-32*],28270[-37*],7441[-20*],2174[-24*],18737[-11*],42109[-27*],3873[-13*],12761[-22*],21394[-14*],20629[-14*],20752[-10*],14757[-13*],39919[-10*],124[-6*],38508[-18*],15074[-6*],23258[-7*],11922[-6*]
<25>:	39203[+1*],5821[+1*],17970[+1*],39615[+1*],33322[+1*]
<19>:	32365[+1*],20926[+1*],35636[-4*],14557[-3*],23147[-2*],9564[-2*]
<21>:	18650[+4*],43400[+2*],33601[+2*],13260[+2*],32904[-3*],8635[-2*]
<27>:	
<31>:	18650[+2*],43477[+2*],30075[+2*],27269[+2*],28303[+1*],20270[+1*],8227[+1*],20926[+1*],13806[+2*],11230[-2*],32142[-2*],4345[-2*],36453[-2*],26815[-2*]
