Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	1017	4932	26
<33>	81	435	9
FRAX25<26>	794	6053	32
Mguttatus<58>	299	11248	28
<25>	42	93	5
<19>	61	294	6
<21>	302	617	6
<27>	8	169	0
<31>	221	1003	14
<23>	47	11	4
FRAX15<18>	832	3757	40
<35>	426	875	10
<37>	115	370	9
FRAX32<2>	952	1823	105
FRAX21<28>	971	5477	27
FRAX33<52>	1194	3151	29
Oeuropea<56>	3993	3870	101
FRAX26<46>	1103	1364	109
<5>	189	1272	4
FRAX16<16>	628	3538	172
<3>	283	490	22
<47>	183	1372	18
FRAX23<24>	743	5008	28
FRAX31<54>	846	5906	13
<11>	137	681	11
FRAX01<14>	1019	1699	116
FRAX09<42>	1740	1292	322
FRAX19<30>	1619	1763	51
<13>	231	281	11
FRAX12<6>	1062	3712	71
<49>	325	522	19
<17>	162	1683	14
<43>	286	395	8
<15>	180	1012	4
<41>	263	461	23
FRAX14<48>	570	3116	130
FRAX29<10>	1748	3549	64
<9>	95	414	5
FRAX07<8>	1510	2014	42
FRAX00<20>	2273	1620	109
FRAX05<50>	1347	3259	38
FRAX20<32>	709	4354	52
<45>	259	488	5
<57>	6	90	0
Slycopersicum<60>	435	10945	26
<55>	3011	2077	76
FRAX30<0>	892	1959	87
<53>	8	56	0
FRAX27<36>	794	2217	42
<51>	275	580	16
FRAX04<38>	802	3628	19
FRAX13<44>	687	3268	104
<1>	218	913	23
FRAX03<40>	794	3229	203
FRAX11<34>	1233	1146	58
<7>	596	487	9
<29>	672	3006	33
FRAX28<4>	1050	2579	73
FRAX06<22>	1474	2717	63
<39>	545	1372	2
