Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	1017 (17)	1245	1.22	4932 (9)	6104	1.24	10242	-0.300105
Frax25	794 (15)	948	1.19	6053 (17)	7593	1.25	9344	-0.410413
Mguttatus	299 (7)	772	2.58	11248 (21)	17517	1.56	4644	-1.03422
Frax15	832 (27)	976	1.17	3757 (13)	4481	1.19	11602	-0.216478
Frax32	952 (66)	1117	1.17	1823 (39)	2046	1.12	13416	-0.0573776
Frax21	971 (25)	1264	1.3	5477 (2)	6688	1.22	9743	-0.335001
Frax33	1194 (21)	1455	1.22	3151 (8)	3558	1.13	11846	-0.129887
Oeuropea	3993 (82)	6211	1.56	3870 (19)	4556	1.18	8328	0.102217
Frax26	1103 (83)	1322	1.2	1364 (26)	1489	1.09	13724	-0.0103144
Frax16	628 (61)	717	1.14	3538 (111)	4277	1.21	12025	-0.219875
Frax23	743 (17)	868	1.17	5008 (11)	5855	1.17	10440	-0.308011
Frax31	846 (11)	1029	1.22	5906 (2)	7872	1.33	9439	-0.422642
Frax01	1019 (79)	1200	1.18	1699 (37)	1873	1.1	13473	-0.0415663
Frax09	1740 (205)	2241	1.29	1292 (117)	1603	1.24	13159	0.0394046
Frax19	1619 (47)	2101	1.3	1763 (4)	2006	1.14	12809	0.00586746
Frax12	1062 (37)	1292	1.22	3712 (34)	4399	1.19	11417	-0.191897
Frax14	570 (45)	650	1.14	3116 (85)	3741	1.2	12505	-0.190909
Frax29	1748 (49)	2308	1.32	3549 (15)	4228	1.19	10894	-0.118584
Frax07	1510 (26)	1788	1.18	2014 (16)	2395	1.19	12667	-0.03749
Frax00	2273 (44)	2919	1.28	1620 (65)	2398	1.48	12298	0.0321784
Frax05	1347 (35)	1627	1.21	3259 (3)	3658	1.12	11585	-0.12544
Frax20	709 (24)	820	1.16	4354 (28)	5558	1.28	11128	-0.292632
Slycopersicum	435 (11)	1222	2.81	10945 (15)	16616	1.52	4811	-0.950775
Frax30	892 (48)	1039	1.16	1959 (39)	2202	1.12	13340	-0.07183
Frax27	794 (24)	909	1.14	2217 (18)	2529	1.14	13180	-0.100056
Frax04	802 (13)	912	1.14	3628 (6)	4296	1.18	11761	-0.209005
Frax13	687 (45)	797	1.16	3268 (59)	3656	1.12	12236	-0.17658
Frax03	794 (98)	977	1.23	3229 (105)	3747	1.16	12168	-0.171083
Frax11	1233 (32)	1411	1.14	1146 (26)	1317	1.15	13812	0.00580569
Frax28	1050 (39)	1267	1.21	2579 (34)	2893	1.12	12562	-0.100426
Frax06	1474 (52)	1832	1.24	2717 (11)	3052	1.12	12000	-0.0753505
