Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	115	2000	81
<33>	8	359	227
FRAX25<26>	92	2225	68
<25>	8	332	162
<19>	13	184	11
<21>	31	186	21
<27>	0	344	0
<31>	22	691	15
<23>	11	543	376
FRAX15<18>	82	1372	65
<35>	18	171	11
<37>	22	344	194
FRAX32<2>	93	671	71
FRAX21<28>	86	2482	44
FRAX33<52>	100	1469	67
Oeuropea<56>	84	1327	5
FRAX26<46>	100	487	67
<5>	31	368	19
FRAX16<16>	70	1273	75
<7>	40	80	27
<47>	17	757	17
FRAX23<24>	45	1378	39
FRAX31<54>	3	3240	2
<11>	22	464	225
FRAX01<14>	93	645	77
FRAX09<42>	168	430	331
FRAX19<30>	197	495	69
<13>	5	99	5
FRAX12<6>	116	1581	95
<49>	42	177	28
<17>	30	545	29
<43>	20	164	13
<15>	10	312	7
FRAX14<48>	54	1066	58
FRAX29<10>	217	1356	98
<9>	19	388	295
FRAX07<8>	147	633	76
FRAX00<20>	269	773	121
FRAX05<50>	172	1581	85
FRAX20<32>	96	1501	74
<45>	23	96	20
<3>	33	192	24
FRAX30<0>	92	748	74
<53>	1	27	1
FRAX27<36>	71	875	48
<51>	25	330	19
FRAX04<38>	60	1302	40
FRAX13<44>	95	1445	87
<1>	25	372	236
FRAX03<40>	100	1340	834
FRAX11<34>	108	396	78
<41>	20	206	148
<29>	1	1496	1
FRAX28<4>	114	1050	73
FRAX06<22>	107	581	72
<39>	5	492	3
