Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	115 (46)	128	1.11	2000 (35)	2048	1.02	6369	-0.226308
Frax25	92 (35)	101	1.1	2225 (33)	2276	1.02	6167	-0.256365
Frax15	82 (42)	84	1.02	1372 (23)	1399	1.02	7030	-0.154998
Frax32	93 (63)	98	1.05	671 (8)	682	1.02	7720	-0.0688355
Frax21	86 (43)	93	1.08	2482 (1)	2541	1.02	5916	-0.288543
Frax33	100 (47)	106	1.06	1469 (20)	1497	1.02	6915	-0.163956
Oeuropea	84 (1)	86	1.02	1327 (4)	1475	1.11	7073	-0.16372
Frax26	100 (60)	106	1.06	487 (7)	498	1.02	7897	-0.0462046
Frax16	70 (50)	76	1.09	1273 (25)	1299	1.02	7141	-0.144154
Frax23	45 (23)	48	1.07	1378 (16)	1403	1.02	7061	-0.159712
Frax31	3 (0)	3	1.0	3240 (2)	3653	1.13	5241	-0.430222
Frax01	93 (65)	97	1.04	645 (12)	658	1.02	7746	-0.0661245
Frax09	168 (105)	173	1.03	430 (226)	444	1.03	7886	-0.0319425
Frax19	197 (65)	217	1.1	495 (4)	500	1.01	7792	-0.0333569
Frax12	116 (68)	129	1.11	1581 (27)	1615	1.02	6787	-0.175153
Frax14	54 (36)	56	1.04	1066 (22)	1090	1.02	7364	-0.121876
Frax29	217 (77)	234	1.08	1356 (21)	1382	1.02	6911	-0.135314
Frax07	147 (66)	152	1.03	633 (10)	646	1.02	7704	-0.0582273
Frax00	269 (102)	289	1.07	773 (19)	811	1.05	7442	-0.0615276
Frax05	172 (65)	183	1.06	1581 (20)	1601	1.01	6731	-0.167138
Frax20	96 (47)	98	1.02	1501 (27)	1536	1.02	6887	-0.169496
Frax30	92 (60)	99	1.08	748 (14)	763	1.02	7644	-0.078265
Frax27	71 (36)	76	1.07	875 (12)	887	1.01	7538	-0.0955917
Frax04	60 (27)	62	1.03	1302 (13)	1325	1.02	7122	-0.148868
Frax13	95 (68)	101	1.06	1445 (19)	1467	1.02	6944	-0.161009
Frax03	100 (60)	111	1.11	1340 (774)	1373	1.02	7044	-0.148751
Frax11	108 (67)	111	1.03	396 (11)	409	1.03	7980	-0.0351249
Frax28	114 (60)	123	1.08	1050 (13)	1064	1.01	7320	-0.110915
Frax06	107 (59)	119	1.11	581 (13)	607	1.04	7796	-0.05752
