Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	115	2000	80
<33>	8	359	236
FRAX25<26>	92	2225	61
<25>	8	332	167
<19>	13	184	11
<21>	31	186	18
<27>	0	344	0
<31>	22	691	13
<23>	11	543	385
FRAX15<18>	82	1372	59
<35>	18	171	11
<37>	22	344	191
FRAX32<2>	93	671	66
FRAX21<28>	86	2482	41
FRAX33<52>	100	1469	60
Oeuropea<56>	84	1327	5
FRAX26<46>	100	487	61
<5>	31	368	18
FRAX16<16>	70	1273	73
<7>	40	80	27
<47>	17	757	17
FRAX23<24>	45	1378	39
FRAX31<54>	3	3240	2
<11>	22	464	233
FRAX01<14>	93	645	73
FRAX09<42>	168	430	327
FRAX19<30>	197	495	63
<13>	5	99	5
FRAX12<6>	116	1581	88
<49>	42	177	28
<17>	30	545	24
<43>	20	164	13
<15>	10	312	6
FRAX14<48>	54	1066	55
FRAX29<10>	217	1356	90
<9>	19	388	300
FRAX07<8>	147	633	71
FRAX00<20>	269	773	110
FRAX05<50>	172	1581	76
FRAX20<32>	96	1501	68
<45>	23	96	20
<3>	33	192	22
FRAX30<0>	92	748	72
<53>	1	27	1
FRAX27<36>	71	875	46
<51>	25	330	18
FRAX04<38>	60	1302	38
FRAX13<44>	95	1445	81
<1>	25	372	236
FRAX03<40>	100	1340	841
FRAX11<34>	108	396	74
<41>	20	206	147
<29>	1	1496	1
FRAX28<4>	114	1050	71
FRAX06<22>	107	581	66
<39>	5	492	3
