Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	165	1944	0
<33>	8	332	4
FRAX25<26>	129	2148	1
<25>	7	299	3
<19>	7	175	0
<21>	29	167	1
<27>	0	307	0
<31>	42	648	4
<23>	18	534	4
FRAX15<18>	133	1342	1
<35>	33	153	0
<37>	10	312	3
FRAX32<2>	118	650	10
FRAX21<28>	146	2378	3
FRAX33<52>	148	1413	5
Oeuropea<56>	1202	1147	2
FRAX26<46>	133	478	15
<5>	22	347	0
FRAX16<16>	103	1243	16
<7>	43	81	0
<47>	25	728	1
FRAX23<24>	79	1315	1
FRAX31<54>	123	2292	0
<11>	32	432	4
FRAX01<14>	138	618	16
FRAX09<42>	185	422	33
FRAX19<30>	236	473	4
<13>	14	79	0
FRAX12<6>	165	1534	7
<49>	50	163	4
<17>	21	515	3
<43>	32	148	6
<15>	12	296	1
FRAX14<48>	65	1036	12
FRAX29<10>	264	1309	5
<9>	27	379	0
FRAX07<8>	190	570	3
FRAX00<20>	318	726	8
FRAX05<50>	232	1547	2
FRAX20<32>	126	1471	1
<45>	26	78	0
<3>	52	172	7
FRAX30<0>	114	726	14
<53>	0	0	0
FRAX27<36>	102	842	5
<51>	26	297	3
FRAX04<38>	108	1257	0
FRAX13<44>	111	1416	15
<1>	30	350	5
FRAX03<40>	109	1330	23
FRAX11<34>	143	370	4
<41>	34	189	3
<29>	8	384	0
FRAX28<4>	146	1007	4
FRAX06<22>	145	525	7
<39>	28	439	0
