Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	165 (0)	182	1.1	1944 (0)	1968	1.01	6375	-0.210514
Frax25	129 (0)	141	1.09	2148 (1)	2175	1.01	6207	-0.239745
Frax15	133 (1)	137	1.03	1342 (0)	1353	1.01	7009	-0.143329
Frax32	118 (8)	125	1.06	650 (2)	657	1.01	7716	-0.0627063
Frax21	146 (3)	162	1.11	2378 (0)	2406	1.01	5960	-0.264498
Frax33	148 (5)	161	1.09	1413 (0)	1425	1.01	6923	-0.148986
Oeuropea	1202 (1)	1297	1.08	1147 (1)	1207	1.05	6135	0.0106082
Frax26	133 (13)	142	1.07	478 (2)	486	1.02	7873	-0.0405469
Frax16	103 (13)	110	1.07	1243 (3)	1253	1.01	7138	-0.134724
Frax23	79 (0)	84	1.06	1315 (1)	1330	1.01	7090	-0.146865
Frax31	123 (0)	129	1.05	2292 (0)	2326	1.01	6069	-0.258958
Frax01	138 (16)	143	1.04	618 (0)	624	1.01	7728	-0.056695
Frax09	185 (27)	190	1.03	422 (6)	435	1.03	7877	-0.0288779
Frax19	236 (4)	262	1.11	473 (0)	475	1.0	7775	-0.0251061
Frax12	165 (6)	187	1.13	1534 (1)	1550	1.01	6785	-0.160655
Frax14	65 (5)	68	1.05	1036 (7)	1054	1.02	7383	-0.116219
Frax29	264 (5)	292	1.11	1309 (0)	1323	1.01	6911	-0.121523
Frax07	190 (3)	199	1.05	570 (0)	576	1.01	7724	-0.0444366
Frax00	318 (4)	350	1.1	726 (4)	751	1.03	7440	-0.0472654
Frax05	232 (2)	247	1.06	1547 (0)	1556	1.01	6705	-0.15429
Frax20	126 (1)	128	1.02	1471 (0)	1496	1.02	6887	-0.161245
Frax30	114 (12)	124	1.09	726 (2)	736	1.01	7644	-0.0721358
Frax27	102 (1)	111	1.09	842 (4)	847	1.01	7540	-0.0867515
Frax04	108 (0)	113	1.05	1257 (0)	1267	1.01	7119	-0.136021
Frax13	111 (13)	120	1.08	1416 (2)	1427	1.01	6957	-0.154055
Frax03	109 (17)	120	1.1	1330 (6)	1356	1.02	7045	-0.145686
Frax11	143 (2)	151	1.06	370 (2)	374	1.01	7971	-0.0262848
Frax28	146 (2)	157	1.08	1007 (2)	1014	1.01	7331	-0.101014
Frax06	145 (5)	160	1.1	525 (2)	539	1.03	7814	-0.0446723
