Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	110	2057	7
<33>	1	357	2
FRAX25<26>	89	2293	4
<25>	4	302	2
<19>	9	187	2
<21>	27	234	5
<27>	0	338	0
<31>	22	617	2
<23>	8	0	2
FRAX15<18>	79	1383	26
<35>	20	221	7
<37>	19	304	4
FRAX32<2>	93	672	30
FRAX21<28>	99	2524	3
FRAX33<52>	103	1474	3
Oeuropea<56>	82	1382	3
FRAX26<46>	101	487	29
<5>	29	378	6
FRAX16<16>	68	1280	30
<7>	39	119	1
<47>	16	758	4
FRAX23<24>	47	1933	4
FRAX31<54>	3	3299	0
<11>	9	440	3
FRAX01<14>	86	646	30
FRAX09<42>	168	430	65
FRAX19<30>	198	581	4
<13>	3	83	1
FRAX12<6>	113	1588	31
<49>	39	178	9
<17>	29	549	12
<43>	19	165	7
<15>	8	316	3
FRAX14<48>	54	1065	31
FRAX29<10>	209	1752	5
<9>	18	1	1
FRAX07<8>	141	1030	2
FRAX00<20>	263	787	9
FRAX05<50>	178	1585	35
FRAX20<32>	95	1583	1
<45>	23	93	6
<3>	30	195	10
FRAX30<0>	91	748	30
<53>	0	2	0
FRAX27<36>	70	877	23
<51>	19	334	9
FRAX04<38>	61	1355	1
FRAX13<44>	96	1446	32
<1>	23	373	9
FRAX03<40>	101	1340	55
FRAX11<34>	105	397	36
<41>	19	205	5
<29>	1	1532	0
FRAX28<4>	113	1053	26
FRAX06<22>	100	1140	6
<39>	6	515	0
