Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	110 (6)	123	1.12	2057 (1)	2108	1.02	6317	-0.23397
Frax25	89 (2)	96	1.08	2293 (2)	2354	1.03	6102	-0.266148
Frax15	79 (14)	81	1.03	1383 (12)	1411	1.02	7022	-0.156766
Frax32	93 (24)	98	1.05	672 (6)	683	1.02	7719	-0.0689533
Frax21	99 (3)	105	1.06	2524 (0)	2595	1.03	5861	-0.293494
Frax33	103 (3)	110	1.07	1474 (0)	1503	1.02	6907	-0.164191
Oeuropea	82 (1)	92	1.12	1382 (2)	1550	1.12	7020	-0.171853
Frax26	101 (24)	107	1.06	487 (5)	498	1.02	7896	-0.0460868
Frax16	68 (21)	74	1.09	1280 (9)	1306	1.02	7136	-0.145215
Frax23	47 (1)	48	1.02	1933 (3)	1972	1.02	6504	-0.22678
Frax31	3 (0)	3	1.0	3299 (0)	3746	1.14	5182	-0.441183
Frax01	86 (23)	90	1.05	646 (7)	660	1.02	7752	-0.0671853
Frax09	168 (57)	173	1.03	430 (8)	443	1.03	7886	-0.0318246
Frax19	198 (4)	219	1.11	581 (0)	586	1.01	7705	-0.0432579
Frax12	113 (22)	126	1.12	1588 (9)	1622	1.02	6783	-0.176332
Frax14	54 (14)	56	1.04	1065 (17)	1089	1.02	7365	-0.121759
Frax29	209 (5)	226	1.08	1752 (0)	1784	1.02	6523	-0.18364
Frax07	141 (2)	144	1.02	1030 (0)	1048	1.02	7313	-0.106554
Frax00	263 (4)	282	1.07	787 (5)	826	1.05	7434	-0.0641207
Frax05	178 (23)	189	1.06	1585 (12)	1605	1.01	6721	-0.166902
Frax20	95 (1)	97	1.02	1583 (0)	1619	1.02	6806	-0.179397
Frax30	91 (21)	98	1.08	748 (9)	763	1.02	7645	-0.0783828
Frax27	70 (14)	76	1.09	877 (9)	890	1.01	7537	-0.0959453
Frax04	61 (0)	64	1.05	1355 (1)	1379	1.02	7068	-0.154998
Frax13	96 (21)	102	1.06	1446 (11)	1467	1.01	6942	-0.160891
Frax03	101 (35)	112	1.11	1340 (20)	1373	1.02	7043	-0.148633
Frax11	105 (30)	108	1.03	397 (6)	409	1.03	7982	-0.0354785
Frax28	113 (19)	122	1.08	1053 (7)	1067	1.01	7318	-0.111386
Frax06	100 (4)	111	1.11	1140 (2)	1168	1.02	7244	-0.124587
