Node	Expansions	Genes Gained	Equal	Contractions	Genes Lost	Families Lost	Average Expansion	Sig Expansions	Sig Contractions	Total Sig Changes
FRAX08<12>	81	81	7477	926	943	701	-0.101603	0	0	0
<33>	7	7	8392	85	85	63	-0.00919378	0	1	1
FRAX25<26>	82	84	7449	953	977	706	-0.105257	0	0	0
<25>	4	4	8385	95	96	63	-0.0108439	0	0	0
<19>	14	14	8277	193	194	150	-0.0212164	2	0	2
<21>	21	21	8278	185	186	129	-0.0194484	1	0	1
<27>	0	0	8265	219	219	119	-0.0258133	0	0	0
<31>	11	11	8269	204	206	136	-0.0229844	0	0	0
<23>	5	5	8351	128	128	123	-0.0144979	0	0	0
FRAX15<18>	54	54	8006	424	431	308	-0.0444366	1	0	1
<35>	24	24	8155	305	308	211	-0.0334748	1	0	1
<37>	12	12	8370	102	102	67	-0.0106082	0	0	0
FRAX32<2>	14	14	8340	130	131	92	-0.0137907	0	0	0
FRAX21<28>	88	89	7123	1273	1310	921	-0.143918	0	0	0
FRAX33<52>	65	65	7750	669	677	496	-0.0721358	0	0	0
Oeuropea<56>	17	17	5467	3000	3281	2187	-0.384724	0	0	0
FRAX26<46>	20	20	8301	163	164	118	-0.0169731	0	0	0
<5>	19	19	8129	336	337	249	-0.0374823	0	0	0
FRAX16<16>	17	17	8299	168	168	122	-0.0177982	0	0	0
<7>	33	33	8173	278	281	195	-0.0292315	0	0	0
<47>	21	21	8321	142	142	108	-0.0142621	0	0	0
FRAX23<24>	75	75	7765	644	658	436	-0.0687176	1	0	1
FRAX31<54>	2	2	5380	3102	3339	2277	-0.393329	0	0	0
<11>	9	9	8337	138	138	99	-0.0152051	0	0	0
FRAX01<14>	18	18	8341	125	125	93	-0.012612	0	0	0
FRAX09<42>	7	7	8402	75	75	60	-0.00801509	0	0	0
FRAX19<30>	57	57	7898	529	533	393	-0.0561056	0	0	0
<13>	3	3	8254	227	228	173	-0.0265205	0	0	0
FRAX12<6>	30	30	8077	377	383	275	-0.0416077	0	0	0
<49>	9	9	8320	155	155	117	-0.0172089	0	0	0
<17>	12	12	8319	153	153	113	-0.0166195	1	0	1
<43>	13	13	8328	143	144	102	-0.0154408	0	0	0
<15>	25	25	8173	286	286	209	-0.0307638	1	0	1
FRAX14<48>	16	16	8323	145	146	95	-0.015323	0	0	0
FRAX29<10>	47	47	7831	606	615	409	-0.0669496	0	0	0
<9>	9	9	8371	104	104	96	-0.0111975	0	2	2
FRAX07<8>	50	50	7832	602	614	408	-0.0664781	0	0	0
FRAX00<20>	56	57	7832	596	606	438	-0.06471	0	0	0
FRAX05<50>	56	57	7920	508	513	371	-0.0537482	0	0	0
FRAX20<32>	60	60	7886	538	548	396	-0.05752	0	0	0
<45>	25	25	8254	205	207	148	-0.0214521	0	0	0
<3>	7	7	8342	135	135	99	-0.0150872	0	0	0
FRAX30<0>	8	8	8338	138	139	97	-0.0154408	0	0	0
<53>	0	0	8484	0	0	0	0	0	0	0
FRAX27<36>	38	38	8111	335	338	240	-0.0353607	1	0	1
<51>	13	13	8296	175	176	125	-0.0192126	0	0	0
FRAX04<38>	73	75	7771	640	657	489	-0.0685997	0	1	1
FRAX13<44>	12	12	8338	134	134	96	-0.01438	0	0	0
<1>	6	6	8410	68	68	49	-0.00730787	1	0	1
FRAX03<40>	12	12	8401	71	71	55	-0.00695427	0	0	0
FRAX11<34>	40	40	8092	352	354	253	-0.0370108	0	0	0
<41>	4	4	8398	82	82	52	-0.00919378	0	0	0
<29>	0	0	6694	1790	1876	1148	-0.221122	0	0	0
FRAX28<4>	17	17	8240	227	228	163	-0.0248703	1	0	1
FRAX06<22>	59	59	7808	617	627	438	-0.0669496	0	0	0
<39>	19	19	7735	730	747	504	-0.0858086	0	0	0

CAFE labeled tree:	((((((((((FRAX30<0>,FRAX32<2>)<1>,FRAX28<4>)<3>,FRAX12<6>)<5>,(FRAX07<8>,FRAX29<10>)<9>)<7>,FRAX08<12>)<11>,(((((FRAX01<14>,FRAX16<16>)<15>,FRAX15<18>)<17>,FRAX00<20>)<19>,(FRAX06<22>,FRAX23<24>)<23>)<21>,FRAX25<26>)<25>)<13>,FRAX21<28>)<27>,(((FRAX19<30>,FRAX20<32>)<31>,((FRAX11<34>,FRAX27<36>)<35>,FRAX04<38>)<37>)<33>,(((((FRAX03<40>,FRAX09<42>)<41>,FRAX13<44>)<43>,(FRAX26<46>,FRAX14<48>)<47>)<45>,FRAX05<50>)<49>,FRAX33<52>)<51>)<39>)<29>,FRAX31<54>)<53>,Oeuropea<56>)<55>
