Node	Expansions	Contractions	Rapidly evolving families
FRAX08<12>	81	926	0
<33>	7	85	1
FRAX25<26>	82	953	0
<25>	4	95	0
<19>	14	193	2
<21>	21	185	1
<27>	0	219	0
<31>	11	204	0
<23>	5	128	0
FRAX15<18>	54	424	1
<35>	24	305	1
<37>	12	102	0
FRAX32<2>	14	130	0
FRAX21<28>	88	1273	0
FRAX33<52>	65	669	0
Oeuropea<56>	17	3000	0
FRAX26<46>	20	163	0
<5>	19	336	0
FRAX16<16>	17	168	0
<7>	33	278	0
<47>	21	142	0
FRAX23<24>	75	644	1
FRAX31<54>	2	3102	0
<11>	9	138	0
FRAX01<14>	18	125	0
FRAX09<42>	7	75	0
FRAX19<30>	57	529	0
<13>	3	227	0
FRAX12<6>	30	377	0
<49>	9	155	0
<17>	12	153	1
<43>	13	143	0
<15>	25	286	1
FRAX14<48>	16	145	0
FRAX29<10>	47	606	0
<9>	9	104	2
FRAX07<8>	50	602	0
FRAX00<20>	56	596	0
FRAX05<50>	56	508	0
FRAX20<32>	60	538	0
<45>	25	205	0
<3>	7	135	0
FRAX30<0>	8	138	0
<53>	0	0	0
FRAX27<36>	38	335	1
<51>	13	175	0
FRAX04<38>	73	640	1
FRAX13<44>	12	134	0
<1>	6	68	1
FRAX03<40>	12	71	0
FRAX11<34>	40	352	0
<41>	4	82	0
<29>	0	1790	0
FRAX28<4>	17	227	1
FRAX06<22>	59	617	0
<39>	19	730	0
