Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax08	81 (0)	81	1.0	926 (0)	943	1.02	7477	-0.101603
Frax25	82 (0)	84	1.02	953 (0)	977	1.03	7449	-0.105257
Frax15	54 (1)	54	1.0	424 (0)	431	1.02	8006	-0.0444366
Frax32	14 (0)	14	1.0	130 (0)	131	1.01	8340	-0.0137907
Frax21	88 (0)	89	1.01	1273 (0)	1310	1.03	7123	-0.143918
Frax33	65 (0)	65	1.0	669 (0)	677	1.01	7750	-0.0721358
Oeuropea	17 (0)	17	1.0	3000 (0)	3281	1.09	5467	-0.384724
Frax26	20 (0)	20	1.0	163 (0)	164	1.01	8301	-0.0169731
Frax16	17 (0)	17	1.0	168 (0)	168	1.0	8299	-0.0177982
Frax23	75 (1)	75	1.0	644 (0)	658	1.02	7765	-0.0687176
Frax31	2 (0)	2	1.0	3102 (0)	3339	1.08	5380	-0.393329
Frax01	18 (0)	18	1.0	125 (0)	125	1.0	8341	-0.012612
Frax09	7 (0)	7	1.0	75 (0)	75	1.0	8402	-0.00801509
Frax19	57 (0)	57	1.0	529 (0)	533	1.01	7898	-0.0561056
Frax12	30 (0)	30	1.0	377 (0)	383	1.02	8077	-0.0416077
Frax14	16 (0)	16	1.0	145 (0)	146	1.01	8323	-0.015323
Frax29	47 (0)	47	1.0	606 (0)	615	1.01	7831	-0.0669496
Frax07	50 (0)	50	1.0	602 (0)	614	1.02	7832	-0.0664781
Frax00	56 (0)	57	1.02	596 (0)	606	1.02	7832	-0.06471
Frax05	56 (0)	57	1.02	508 (0)	513	1.01	7920	-0.0537482
Frax20	60 (0)	60	1.0	538 (0)	548	1.02	7886	-0.05752
Frax30	8 (0)	8	1.0	138 (0)	139	1.01	8338	-0.0154408
Frax27	38 (1)	38	1.0	335 (0)	338	1.01	8111	-0.0353607
Frax04	73 (0)	75	1.03	640 (1)	657	1.03	7771	-0.0685997
Frax13	12 (0)	12	1.0	134 (0)	134	1.0	8338	-0.01438
Frax03	12 (0)	12	1.0	71 (0)	71	1.0	8401	-0.00695427
Frax11	40 (0)	40	1.0	352 (0)	354	1.01	8092	-0.0370108
Frax28	17 (1)	17	1.0	227 (0)	228	1.0	8240	-0.0248703
Frax06	59 (0)	59	1.0	617 (0)	627	1.02	7808	-0.0669496
