	FEXC	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX10	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Mimulus	Olea	Solanum
HOG1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	1
HOG2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	3	0
HOG3	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1
HOG4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
HOG5	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2
HOG6	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0
HOG7	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1
HOG8	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG9	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	1	2	2
HOG10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0
HOG11	2	2	2	3	3	2	2	4	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	3	2	2	1	1	1
HOG12	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	2
HOG13	1	1	1	3	0	1	1	2	1	0	1	1	2	1	1	1	3	1	2	1	0	1	2	2	2	1	1	2	1	1	1	2
HOG14	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	0	1	1	1	1	1	0	1	0
HOG15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0	2	0
HOG16	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	2
HOG17	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0
HOG18	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
HOG19	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
HOG20	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
HOG21	2	2	2	1	2	2	2	1	0	0	2	2	1	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	0	1	0
HOG22	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
HOG23	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	3	1	3	1	1	1	2	2	1
HOG24	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	0	2	2	2	0	1	1
HOG25	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	2	1
HOG26	3	3	4	4	4	3	3	3	3	4	3	3	4	4	3	3	4	4	4	3	4	4	3	4	3	3	3	3	3	2	2	1
HOG27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	3	0
HOG28	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	78	13	31
HOG29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1
HOG30	11	11	12	10	10	11	12	12	12	12	11	10	12	11	12	12	12	12	12	12	12	11	11	10	12	12	12	12	12	2	9	10
HOG31	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	6	5
HOG32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
HOG33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
HOG34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG35	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
HOG36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0
HOG37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
HOG38	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	1	1	1
HOG39	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
HOG40	4	4	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2
HOG41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
HOG42	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1
HOG43	2	2	1	1	1	2	1	1	2	2	1	1	2	2	2	2	1	2	1	2	1	1	1	2	2	1	1	1	1	0	1	1
HOG44	4	4	4	4	4	4	4	4	4	2	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	2
HOG45	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG46	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0
HOG47	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0
HOG48	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1
HOG49	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
HOG50	1	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0
HOG51	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
HOG52	4	5	7	3	6	4	4	4	5	5	3	6	4	4	3	3	4	2	6	2	4	5	4	4	6	4	4	4	4	2	4	1
HOG53	1	0	1	1	0	1	2	2	1	1	1	0	2	2	2	2	1	2	2	3	2	1	1	2	0	2	1	2	2	0	1	0
HOG54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
HOG55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
HOG56	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
HOG57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
HOG58	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	2	1	1	1	2	0	1	0
HOG59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2
HOG60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
HOG61	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	1	2	1
HOG62	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
HOG63	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1
HOG64	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	3	1
HOG65	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HOG66	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	2	2	2	2	0	3	3
HOG67	2	1	1	2	0	2	2	2	2	1	2	2	1	2	1	0	2	1	2	1	2	1	2	1	2	1	2	2	2	1	1	1
HOG68	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HOG69	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	2	1	5
