Desc	Family ID	FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Oeuropea
10000000	10000000	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
10000001	10000001	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10000002	10000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10000003	10000003	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
10000005	10000005	3	2	1	1	0	2	1	0	2	2	0	1	0	1	2	2	0	1	1	1	0	2	2	1	2	2	1	2	2
10000006	10000006	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
10000007	10000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
10000008	10000008	8	12	13	11	12	14	12	14	12	11	13	13	13	14	12	13	13	9	13	13	13	11	11	14	12	11	13	16	7
10000010	10000010	1	1	0	2	2	2	2	2	1	2	2	1	2	2	1	1	1	2	1	1	1	1	2	1	2	2	3	2	2
10000011	10000011	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0
10000012	10000012	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
10000013	10000013	1	1	1	1	1	2	2	1	1	2	0	1	0	0	0	2	1	1	0	1	0	1	1	2	2	1	1	2	1
10000015	10000015	4	6	6	8	6	6	7	6	5	7	5	7	4	8	5	5	9	6	6	8	3	4	9	6	4	5	9	6	11
10000016	10000016	0	11	2	5	7	4	9	8	5	4	7	6	7	9	3	9	6	6	11	13	6	1	12	6	7	8	10	6	2
10000017	10000017	7	8	9	7	11	8	8	6	10	8	5	7	8	9	9	8	7	7	7	8	9	8	6	10	8	7	8	10	5
10000018	10000018	0	0	0	2	0	1	2	2	1	3	0	0	0	0	1	2	0	1	0	0	1	0	1	0	0	0	1	2	9
10000019	10000019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
