Group	Gene 1	Gene 2	Ks
10	000130.1	342640.1	0.3768
10	000130.1	254110.1	1.5491
10	000130.1	083020.1	1.6002
10	342640.1	254110.1	2.8645
10	342640.1	083020.1	0.9481
10	254110.1	083020.1	1.3682
1000	020790.1	165140.2	0.5383
1001	020800.1	343570.2	0.2228
1001	020800.1	165130.1	0.7565
1001	343570.2	165130.1	0.6180
1002	020820.1	343580.1	0.1840
1003	020830.1	343590.1	0.2293
1004	020840.1	343600.1	0.1643
1005	020850.1	343610.1	0.3078
1005	020850.1	020860.2	0.5348
1005	343610.1	020860.2	0.5071
1006	020870.1	343630.1	0.1650
1006	020870.1	354700.1	0.5367
1006	343630.1	354700.1	0.4493
1007	020880.1	090520.1	0.0392
1008	020920.3	252040.1	0.2806
1009	020940.1	252050.1	0.2236
101	002100.1	185790.1	0.9163
101	002100.1	183280.1	1.1316
101	185790.1	183280.1	0.2670
1010	020950.1	252060.1	0.4571
1011	020970.1	302500.2	0.5543
1012	020990.1	336250.1	0.3145
1012	020990.1	287980.1	0.8122
1012	020990.1	380400.1	0.9149
1012	020990.1	159890.1	0.9498
1012	336250.1	287980.1	0.7432
1012	336250.1	380400.1	0.7151
1012	336250.1	159890.1	0.8830
1012	287980.1	380400.1	0.3570
1012	287980.1	159890.1	1.6802
1012	380400.1	159890.1	1.2761
1013	021000.1	265480.1	0.0203
1013	021000.1	336240.1	0.3298
1013	021000.1	287970.1	1.5609
1013	265480.1	336240.1	0.3473
1013	265480.1	287970.1	2.2528
1013	336240.1	287970.1	1.5733
1014	021020.1	183460.1	0.3100
1015	021060.1	231750.1	0.2022
1016	021100.1	400020.2	0.1597
1016	021100.1	243710.1	0.2084
1016	400020.2	243710.1	0.2032
1017	021140.1	298050.1	0.1723
1017	021140.1	107840.1	0.7750
1017	021140.1	057710.1	0.6953
1017	021140.1	236780.3	4.8702
1017	021140.1	255520.1	4.8591
1017	298050.1	107840.1	0.7995
1017	298050.1	057710.1	0.7362
1017	298050.1	236780.3	4.8937
1017	298050.1	255520.1	4.8818
1017	107840.1	057710.1	0.5877
1017	107840.1	236780.3	4.8931
1017	107840.1	255520.1	4.8974
1017	057710.1	236780.3	4.8700
1017	057710.1	255520.1	4.8916
1017	236780.3	255520.1	0.6177
1018	021160.1	298070.1	0.1810
1018	021160.1	156800.1	0.7414
1018	021160.1	107850.1	0.8359
1018	298070.1	156800.1	0.7876
1018	298070.1	107850.1	0.9316
1018	156800.1	107850.1	0.2412
1019	021220.1	021230.1	0.4787
102	002110.1	395240.1	0.1529
102	002110.1	395250.1	-0.0000
102	395240.1	395250.1	0.1529
1020	021240.1	195330.1	0.1793
1020	021240.1	251100.1	0.6677
1020	021240.1	341120.1	0.7284
1020	195330.1	251100.1	0.6134
1020	195330.1	341120.1	0.5654
1020	251100.1	341120.1	0.2228
1021	021260.2	195320.1	0.2522
