Group	Gene List
10	000150.1,443920.1
100	001900.1,084160.1
1000	020580.1,139920.1,263060.2,224810.1,338960.1,107320.1,172340.1
1001	020590.1,049120.1,279210.1
1002	020650.1,400870.1,283260.1
1003	020660.1,149770.1
1004	020680.1,226530.1
1005	020700.1,279740.1
1006	020710.1,279760.1
1007	020720.1,448540.1
1009	020790.1,265320.1
101	001910.3,084170.1,086600.1
1010	020810.1,265330.1
1011	020830.1,303440.1
1012	020840.1,127940.1
1013	020880.1,081820.1
1014	020910.1,374070.1,224020.1
1015	020990.1,416050.1,104010.1
1016	021020.1,106840.1
1017	021040.1,106830.1
1018	021110.1,187790.1
1019	021170.1,093210.1,244640.1
102	001920.1,084180.1
1020	021220.1,457640.1,348000.1
1021	021240.1,275770.1
1022	021250.1,323000.1,186520.1
1023	021270.1,196000.1,245800.1
1024	021280.1,354300.1
1025	021300.1,195660.1,089330.1
1027	021350.1,242060.1,063100.1
1028	021360.5,023580.1,050430.1
1029	021390.1,246130.1
103	001930.1,084190.1
1030	021400.1,336980.1
1031	021440.1,201670.1
1032	021450.1,349430.1
1033	021460.1,349440.2,245410.1
1034	021470.1,349450.1,225070.1,175750.1,245400.1
1035	021530.2,349490.1
1036	021560.2,349510.1,352560.1,323280.1
1037	021570.1,113160.1
1038	021580.1,338500.1,113170.1
1039	021600.1,243480.1,258590.1
104	001950.1,084200.1,228550.1,301160.1
1040	021610.1,039350.1,243500.1
1041	021620.1,243520.1
1042	021630.3,121370.2,258620.2,
1043	021660.2,168510.1
1044	021670.1,427350.1,129420.1,334310.1
1045	021680.3,427340.1
1046	021730.1,235740.1
1047	021740.1,117670.1,418390.1
1048	021770.1,446550.1
1049	021780.1,446580.1
105	001960.1,407840.1
1050	021810.1,377320.1
1051	021830.1,365480.1
1052	021840.1,276410.1,143330.1,432350.1,133660.1,275340.1,040300.1,058120.1,427030.1
1053	021860.1,347680.1,140520.1
1054	021870.1,406880.1
1055	021880.1,389860.1,353810.1,438430.1
1056	021890.1,389870.1,127520.1
1057	021900.1,259260.1,432670.1
1058	021920.1,259270.1
1059	021930.1,436240.1
106	074410.2,188460.1
1060	021940.1,436230.1
1061	021960.1,436220.1
1062	021970.1,436160.2
1063	022000.1,436150.1
1064	022010.1,436140.1,349040.1,076340.1
1065	022020.1,436130.1
1066	022040.1,436110.1
1067	022050.1,436100.1,351220.1
1069	022100.1,436050.1,108970.1,266160.1
107	001990.1,074400.1
1070	022110.1,436040.1
1071	022120.1,423160.1
1072	022140.1,240160.1,359820.1,109010.2,
1073	022160.1,136280.1,213490.1,022170.1
1074	022180.1,295150.1,283010.1,306200.1,318600.1,214460.1,281120.1
1075	022230.1,388430.1
1076	022250.1,227130.1
1077	022260.1,114860.1
1078	022270.1,114870.1
1079	022280.1,114880.1
108	002010.1,040470.1,107050.2,
1080	022290.1,114900.1
1081	022310.1,448530.1
1082	022320.1,430260.1
1083	022330.1,209330.1
1084	022340.1,362350.1
1085	022370.1,362360.1
1086	022420.2,390080.1
1087	022430.1,085770.1
1088	022490.1,276130.1,071220.1
1089	022520.1,261730.2
109	002020.1,329280.1
1090	022530.1,261720.1
1092	022570.1,158320.1
1093	022610.1,022630.1,331630.1,406520.1,331640.1,140510.1,048470.1,028820.1
1094	022620.1,283220.1
1095	022650.1,032360.1
1096	022680.1,031600.1
1097	022690.1,031610.1
1098	022700.1,180960.1,101750.1
11	000180.1,443930.1,122890.1
110	002050.1,160080.1
1100	022720.1,216890.1
1101	022730.1,216900.1,363260.1
1102	022740.1,166670.1,366620.1
1103	022760.1,231740.2,088130.1,386890.1,217710.2,302510.1,302520.1,045760.1,337890.1
1104	022800.1,450140.1,205950.2,249280.1
1105	022810.1,450160.1
1106	022820.1,132440.1,177810.1,361310.1
1107	022840.1,345920.1,154090.1
1108	022850.1,377760.1,458930.2,229740.1,154070.1
1109	022860.1,266710.1,154050.1,169620.1,114590.1
1110	022880.1,450180.1,149290.1,063760.1
1111	022890.4,063740.1,154020.1
1112	022920.1,438300.1
1113	022930.1,390010.1
1114	022940.1,390020.1
1115	022960.1,422420.1,236380.1,153950.1
1116	022970.1,362930.2,226890.2,
1117	022980.1,226150.1
1118	023000.1,070490.3
1119	023020.4,126270.3,214400.1
112	002090.1,411190.1,237790.1
1120	023030.2,051280.1
1121	023050.1,405660.1
1122	023060.1,065520.1,142450.1,170630.1
1123	023070.1,393830.1
1124	023080.1,393840.1
1125	023120.1,213160.1
1126	023140.1,342070.2
1127	023150.1,342080.1
1128	023160.1,342100.1
1129	023170.1,342110.1,342120.1,023180.1,167340.1
113	002140.1,244500.1
1130	023190.1,342130.1,321280.1,382740.3,012000.1,047390.1,391930.2,
1131	023200.1,342140.2
1132	023210.1,342160.1,389940.1,187630.1
1133	023220.1,342170.1,124940.1
1134	023250.1,129710.1
1135	023260.1,129700.1
1136	023280.1,102030.1
1137	023290.1,265740.1,402530.1,354960.1
1138	023300.3,191920.1,106020.1
1139	023330.1,208490.1
114	002210.1,428120.1,194630.1
1140	023340.1,307250.1
1141	023360.1,120050.1
1142	023380.1,291610.1
1143	023420.1,310380.1,311060.1,311050.1
1144	023430.2,034460.1,154950.1,310390.1
1145	023440.1,239430.1,182120.2,205420.1,359870.1,088770.1
