	FEXC	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX10	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33
HOG9	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2
HOG11	2	2	2	3	3	2	2	4	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	3	2	2
HOG13	1	1	1	3	0	1	1	2	1	0	1	1	2	1	1	1	3	1	2	1	0	1	2	2	2	1	1	2	1
HOG21	2	2	2	1	2	2	2	1	0	0	2	2	1	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2
HOG23	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	3	1	3	1	1	1
HOG24	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	0	2	2	2
HOG26	3	3	4	4	4	3	3	3	3	4	3	3	4	4	3	3	4	4	4	3	4	4	3	4	3	3	3	3	3
HOG30	11	11	12	10	10	11	12	12	12	12	11	10	12	11	12	12	12	12	12	12	12	11	11	10	12	12	12	12	12
HOG43	2	2	1	1	1	2	1	1	2	2	1	1	2	2	2	2	1	2	1	2	1	1	1	2	2	1	1	1	1
HOG44	4	4	4	4	4	4	4	4	4	2	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
HOG52	4	5	7	3	6	4	4	4	5	5	3	6	4	4	3	3	4	2	6	2	4	5	4	4	6	4	4	4	4
HOG53	1	0	1	1	0	1	2	2	1	1	1	0	2	2	2	2	1	2	2	3	2	1	1	2	0	2	1	2	2
HOG58	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	2	1	1	1	2
HOG67	2	1	1	2	0	2	2	2	2	1	2	2	1	2	1	0	2	1	2	1	2	1	2	1	2	1	2	2	2
HOG74	2	2	2	2	1	2	2	2	2	2	2	0	2	2	1	0	2	1	2	2	2	2	2	2	2	2	2	2	2
HOG75	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	3	1	2	1	1	0	1	1	1	1	1	1	1	1
HOG78	0	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1
HOG80	1	2	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0
HOG85	3	5	3	5	5	4	4	5	3	4	4	5	4	4	4	4	3	4	4	3	4	4	4	4	5	4	5	5	4
HOG86	3	0	2	1	0	2	1	0	2	0	1	0	1	1	1	0	3	2	0	1	1	1	2	1	1	1	1	1	0
HOG94	1	0	1	1	1	1	1	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
HOG122	1	1	0	0	0	1	2	0	2	2	2	2	2	1	0	0	2	2	0	2	1	2	2	2	1	1	2	1	0
HOG127	2	2	1	3	3	2	2	2	4	4	3	0	4	3	1	1	3	2	2	1	1	3	3	3	4	2	3	3	3
HOG133	2	2	1	3	3	3	1	1	1	0	3	0	3	0	0	0	2	4	1	4	3	3	2	2	3	3	3	1	3
HOG134	2	3	2	2	2	3	3	3	2	4	1	1	3	3	1	2	3	1	1	3	4	3	4	3	3	3	3	3	3
HOG139	2	3	4	2	4	2	2	3	2	4	2	5	2	2	2	2	2	4	2	2	2	2	2	2	2	3	2	2	2
HOG140	2	0	0	2	0	2	2	2	2	0	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2
