Group	Gene 1	Gene 2	Ks
1001	20800.1	343570.2	0.2228
1003	20830.1	343590.1	0.2293
1008	20920.3	252040.1	0.2806
1009	20940.1	252050.1	0.2236
101	185790.1	183280.1	0.267
1015	21060.1	231750.1	0.2022
1016	21100.1	243710.1	0.2084
1016	400020.2	243710.1	0.2032
1018	156800.1	107850.1	0.2412
1020	251100.1	341120.1	0.2228
1021	21260.2	195320.1	0.2522
1021	332120.1	389550.1	0.2267
1022	21270.1	328610.1	0.2476
1025	21450.1	86100.1	0.2842
1029	91190.2	21540.1	0.2584
1029	229400.1	289950.1	0.2488
103	158410.1	195250.2	0.2965
1030	21560.2	91200.1	0.2148
1033	21610.1	330820.1	0.2716
1037	21720.1	37770.1	0.2366
1038	21730.1	37780.1	0.2573
104	2180.1	274350.1	0.2311
1044	21890.2	153250.1	0.2448
1045	21910.1	168220.2	0.2608
1046	21920.1	168230.1	0.2496
1049	21990.1	121410.1	0.2056
105	2220.1	274380.1	0.2831
1051	22020.1	121370.2	0.2312
1052	22040.1	121360.1	0.2761
1054	22080.1	86820.1	0.2306
1055	22160.1	328320.1	0.2565
1056	22170.1	328310.2	0.2293
1061	22270.1	223320.1	0.214
1062	22280.1	54060.1	0.2616
1062	129550.2	155470.1	0.2901
1064	22330.1	342850.1	0.2971
1066	210550.1	372510.1	0.2506
1070	86170.1	27320.1	0.2605
1071	22540.1	65310.1	0.2074
1077	22640.1	103550.1	0.2309
1078	22650.1	103540.1	0.2238
1079	22660.1	103530.1	0.2712
1080	22670.1	235980.1	0.2436
1081	22680.1	235970.2	0.2226
1082	22720.1	203390.1	0.2078
1084	22800.1	253570.1	0.2294
1085	236270.2	304150.1	0.2096
1087	78760.1	260200.1	0.24
109	199930.2	117520.1	0.2524
1090	22920.1	311580.1	0.2509
1090	129060.1	108400.1	0.2271
1094	23030.3	245130.1	0.2145
1095	232330.1	83670.1	0.2357
1096	23130.1	258920.1	0.2163
1097	23190.1	201000.1	0.2318
1097	121820.2	97530.1	0.2282
1098	23210.1	335530.1	0.2207
11	140.1	64470.1	0.2156
11	64470.1	150.1	0.275
11	64470.1	160.1	0.2644
11	64490.1	64480.1	0.2492
11	64500.1	64480.1	0.2911
11	160.1	64480.1	0.2695
110	117530.1	199920.1	0.2638
1103	23350.1	34430.2	0.2349
1104	352110.1	174510.1	0.2077
1105	23370.1	34410.1	0.2303
1108	23400.1	212410.3	0.2589
1109	23410.1	212420.1	0.2222
111	2360.1	360640.1	0.2915
111	2360.1	389320.1	0.2813
111	305520.1	261390.1	0.2968
111	389320.1	261390.1	0.2739
1111	23450.1	212510.1	0.2493
1111	84710.1	346850.1	0.2627
1111	372940.1	48020.1	0.2757
1113	73240.1	128070.2	0.2492
1114	23530.1	189840.1	0.2809
1115	97040.1	276610.1	0.2265
1116	121250.1	4050.1	0.2782
1118	23610.1	120130.1	0.2211
112	2380.1	29670.1	0.2369
1120	23640.1	305720.1	0.225
1121	23650.1	181680.1	0.208
1125	23750.1	189790.1	0.2149
1126	23770.1	189800.1	0.2327
1127	23790.1	65980.1	0.2131
1128	358330.1	207680.1	0.2085
113	2390.1	357660.1	0.2462
1130	23890.1	373700.1	0.2545
1131	23900.1	373710.1	0.225
1132	23930.3	373760.2	0.2333
1136	24010.1	223930.1	0.2657
1136	24010.1	31130.1	0.2759
1136	223930.1	31130.1	0.2599
1137	24030.1	31100.1	0.2325
1140	24150.1	295920.1	0.2173
1141	24160.1	295910.2	0.2465
1142	24170.2	295900.1	0.2173
1146	24240.1	280670.2	0.2244
1147	24280.1	161660.1	0.2639
1148	24320.1	45010.1	0.2698
1149	327080.1	108840.1	0.2113
115	2460.1	30570.1	0.2067
1150	24340.1	394220.2	0.2134
1151	173410.1	230920.1	0.2463
1153	24420.1	267040.1	0.2509
1153	267040.1	245600.8	0.2825
1154	24430.1	269060.1	0.2577
1154	56850.1	151480.1	0.2513
1154	23240.1	34570.1	0.2895
1157	24470.2	269110.1	0.287
1158	24490.2	269130.1	0.2777
1161	24540.1	269190.1	0.2279
1161	111140.1	56640.1	0.2323
1163	24560.1	134770.1	0.2854
1164	24570.1	137810.1	0.2254
1164	394720.1	69220.1	0.2404
1165	24590.1	137820.1	0.2174
1166	24610.1	137840.1	0.2267
1168	24640.1	137860.1	0.2049
117	218520.1	218670.1	0.2815
1170	24670.1	359840.2	0.2752
1171	24690.1	359890.1	0.2734
1172	24720.1	73340.2	0.2464
1173	24730.1	73330.1	0.2574
1176	34870.1	397430.2	0.2285
1177	24870.1	228150.1	0.2356
1178	24880.4	86970.1	0.2186
1179	24900.1	291450.1	0.2307
118	53010.2	269920.1	0.2285
1181	90530.1	182790.1	0.2278
1183	25100.2	299790.1	0.2055
1186	25200.2	101440.1	0.2496
1187	25210.1	101450.1	0.2084
1190	25330.1	193860.1	0.2921
1192	25350.1	221870.1	0.2716
1193	25360.2	221880.2	0.2375
1194	25370.1	221900.1	0.2406
1195	25380.2	287460.1	0.2146
1195	390440.1	2050.1	0.2427
1196	25390.1	287450.1	0.2083
1199	25430.1	287420.1	0.2727
1199	25430.1	366110.1	0.2626
120	2540.2	22490.1	0.2537
1202	25490.2	48530.1	0.206
1202	168500.1	138690.1	0.2475
1204	25510.1	254010.1	0.2037
1206	25530.1	254050.1	0.2717
1209	25570.1	391740.1	0.2277
1210	25580.1	319310.1	0.274
1210	103870.1	319310.1	0.2841
1211	25600.1	307410.1	0.26
1211	188630.1	307410.1	0.2693
1213	25620.1	186330.1	0.2958
1213	186330.1	289750.1	0.2943
1214	25640.1	186320.1	0.256
1215	25650.1	92340.1	0.2144
1216	25660.1	92350.1	0.2068
1217	25670.1	344410.1	0.2453
1217	176030.1	344410.1	0.2936
1220	114920.1	162620.1	0.2349
1221	25730.2	84470.1	0.2088
1224	25790.1	169430.1	0.2866
1227	336470.1	238740.2	0.2935
1228	25980.1	142750.1	0.2062
1229	25990.1	142760.1	0.2674
123	2620.1	70160.2	0.2047
1232	26080.1	148710.1	0.255
1233	26100.3	148720.1	0.2465
1234	26110.1	148730.1	0.2414
124	2650.1	328360.1	0.2828
1240	26200.1	148780.2	0.2112
1241	26210.1	148790.1	0.2407
1242	26230.1	71880.1	0.2448
1244	114120.1	74000.1	0.2348
1245	26280.1	351770.1	0.207
1250	26330.1	100020.1	0.2998
1253	26410.1	136210.1	0.2457
1253	268370.1	257070.1	0.2186
1254	26430.1	37660.1	0.2193
1258	26610.1	387340.1	0.2245
1259	26630.3	387320.1	0.2795
126	388750.1	142350.1	0.274
126	23680.1	396640.2	0.2717
1261	26660.1	269370.1	0.2776
1263	26700.1	269390.1	0.2097
1265	26740.1	269430.1	0.2865
1266	49170.1	305390.1	0.2709
1267	26780.1	269500.1	0.2693
1269	26820.1	45560.1	0.2693
1273	26940.1	114070.1	0.2225
1273	237300.1	84860.1	0.2598
1274	26950.1	114060.1	0.2756
1277	27070.1	146130.1	0.2145
1278	27080.1	56420.1	0.2084
128	2760.1	143050.1	0.2232
1280	27130.1	56470.1	0.2985
1289	27400.2	382390.1	0.2501
129	2770.1	143040.1	0.2559
129	185180.1	368020.1	0.2964
1290	27420.1	164540.1	0.2855
1292	62250.1	228560.1	0.2592
1294	140710.1	171450.1	0.2391
1295	27500.1	185680.1	0.2692
1296	27510.1	164830.1	0.2325
1299	27590.1	281290.1	0.2656
1300	27600.1	281300.2	0.2781
1301	27610.1	297340.1	0.2824
1303	286850.1	388390.1	0.209
1308	27790.1	37600.1	0.2161
1309	283200.2	283210.1	0.2345
1310	27900.1	223090.1	0.2252
1312	27920.1	46830.1	0.263
1315	27970.2	375480.1	0.2974
1317	28020.1	326480.1	0.2314
1319	86680.1	291070.1	0.2062
1320	28100.1	264080.1	0.2515
1322	28140.1	123960.1	0.2287
1323	28150.1	370980.1	0.2362
1325	28200.1	370930.1	0.2804
1333	28420.1	52660.1	0.2863
1334	28430.2	397040.2	0.2055
1337	28460.1	188510.1	0.28
1338	28470.1	188530.1	0.2277
1343	28550.1	214600.1	0.2202
1343	28550.1	6270.1	0.2399
1343	329530.1	214600.1	0.2274
1346	28590.1	391270.1	0.276
1351	28810.1	61950.1	0.2333
1353	145660.1	58850.1	0.2667
1354	28950.2	184870.1	0.2246
1355	152140.1	286620.2	0.2036
1356	28980.1	394930.1	0.2869
1357	28990.1	348970.1	0.2417
1358	29010.1	49420.2	0.2021
1358	301630.1	29020.1	0.2846
1358	160530.1	29020.1	0.281
1360	162750.1	124840.1	0.2442
1361	354040.1	34060.3	0.235
1364	29090.1	264600.1	0.2103
137	2970.1	190310.1	0.2938
1372	29340.3	221370.1	0.2328
1374	29360.1	221350.1	0.2468
1375	29390.1	35350.1	0.2159
1376	136610.1	388660.1	0.2641
1378	29480.1	73570.1	0.2989
1378	318470.2	73570.1	0.2857
1380	29500.1	152280.1	0.2575
1383	29540.1	338480.1	0.2961
1384	234380.2	115740.2	0.2339
1385	29590.2	60780.1	0.2141
1388	29640.1	287070.1	0.2902
1388	391900.1	363790.1	0.2613
1391	29700.1	298370.1	0.2184
1392	29760.1	11230.1	0.2061
1394	295100.1	271190.1	0.2699
1397	36500.1	118180.1	0.2885
1397	118180.1	142740.1	0.2365
140	3020.1	383210.1	0.2791
140	337120.1	383210.1	0.2857
1400	30000.2	248520.1	0.2208
1402	30040.1	95520.1	0.2855
1405	30070.3	95590.1	0.2038
1407	30110.1	147020.1	0.2139
1408	30120.1	229260.1	0.2441
1409	30130.1	229280.1	0.2239
141	379540.1	194100.1	0.2136
1413	149700.1	132360.1	0.2667
1413	130530.1	340940.1	0.2624
1413	131290.1	132360.1	0.2833
1413	226560.1	132360.1	0.2934
1413	152500.1	370010.1	0.2457
1413	132360.1	340940.1	0.29
1413	364920.1	340940.1	0.2742
1417	30360.3	131220.1	0.2032
1419	30410.1	295700.1	0.2652
1420	30430.1	335620.1	0.2899
1423	30610.1	367440.1	0.2176
1428	30690.1	205110.1	0.2337
143	3070.1	184180.1	0.2004
1431	30770.1	343140.1	0.2079
1432	133130.1	398840.1	0.2585
1434	30810.1	343180.1	0.2379
1434	95640.1	115220.1	0.2277
1435	30820.1	141820.1	0.2165
1437	30910.1	71700.1	0.2085
1439	30940.2	252370.1	0.2269
144	3100.1	249850.1	0.2085
1442	30970.1	397230.2	0.2588
1442	34460.1	342660.1	0.2599
1443	30980.1	352050.1	0.2437
1444	30990.1	352060.1	0.2921
1445	31020.1	124060.1	0.2975
1446	31030.1	124050.1	0.2492
1448	31050.1	353720.1	0.275
1449	43450.1	68120.1	0.2446
1452	31360.1	51340.1	0.2035
1455	31400.1	272210.1	0.2201
1456	31410.1	38110.1	0.2363
1457	31430.1	363610.1	0.2683
1459	31480.1	200050.1	0.2479
1461	31520.3	144770.2	0.2124
1467	31630.1	84160.1	0.2813
1467	31630.1	344500.1	0.2778
1467	31630.1	344510.1	0.2435
1467	84160.1	344500.1	0.2607
1467	120570.1	271700.1	0.2899
1467	344500.1	344510.1	0.2676
1468	31670.1	84110.2	0.2419
147	3140.1	138630.1	0.248
147	249320.1	244630.1	0.2464
1471	219040.1	100110.1	0.2314
1475	31810.1	150010.1	0.2863
1476	338040.1	117950.1	0.21
1477	31840.1	129910.1	0.2379
1480	31910.1	248200.1	0.2351
1481	31940.1	248230.2	0.2416
1482	31950.1	345340.1	0.2826
1483	31960.1	345350.1	0.2444
1484	285020.1	155380.1	0.2344
1487	32080.1	235190.1	0.2308
1494	32360.1	58490.1	0.2283
1498	32430.1	113340.1	0.2613
1499	32440.1	109640.1	0.2341
1500	32460.1	272250.1	0.244
1501	32500.1	212810.1	0.2107
1502	32510.1	143940.1	0.2107
1502	143940.1	355190.1	0.2157
1505	32630.1	232920.1	0.2729
1508	32680.1	244120.1	0.2689
1508	32680.1	244110.1	0.2668
1508	257700.1	244120.1	0.2724
1508	257700.1	244110.1	0.2794
1509	218200.2	195060.1	0.2007
151	3200.1	188580.1	0.2404
1512	32760.2	131140.1	0.2957
1514	32790.1	48640.1	0.2991
1514	32790.1	48650.1	0.2991
1514	48630.1	48640.1	0.2715
1514	48630.1	48650.1	0.2715
1514	66200.1	66190.1	0.2125
1514	274880.1	66190.1	0.2642
1514	58990.1	66190.1	0.2218
1515	32800.1	271930.1	0.2383
1516	32810.1	280870.2	0.2599
1520	32910.1	292440.1	0.2524
1522	32940.1	219380.1	0.2765
1525	33000.1	219320.1	0.2689
1526	33040.1	294840.3	0.2096
1527	33060.1	187590.2	0.2205
1528	33070.1	161610.1	0.2447
1530	33110.1	160280.2	0.2721
1533	33150.1	33160.1	0.293
1533	33160.1	160230.1	0.2279
1535	33230.1	95410.1	0.2378
1537	33290.1	95370.2	0.2242
1537	151800.1	174580.1	0.237
1537	307450.2	111510.1	0.2408
1541	224150.1	146870.2	0.2243
1542	33440.1	384250.1	0.2857
1545	341030.1	292330.1	0.2764
1545	341030.1	206880.1	0.2767
1545	341030.1	114800.1	0.2976
1545	292330.1	114800.1	0.2086
1545	206880.1	114800.1	0.252
1545	114800.1	151100.1	0.297
1545	114800.1	293910.1	0.2019
1545	151100.1	293910.1	0.2584
1549	33610.1	98610.1	0.2373
155	3290.2	182420.1	0.2647
1550	33620.1	98600.1	0.2594
1551	33630.1	98590.1	0.2465
1552	33650.1	87220.1	0.2451
1552	47430.1	144400.1	0.2531
1553	33660.1	87210.1	0.2063
1555	33730.1	345770.1	0.2526
1557	381760.2	308240.2	0.2828
1558	33830.1	308230.1	0.2509
1560	114790.1	248740.1	0.2077
1560	153100.1	143780.1	0.2892
1563	34020.1	354060.1	0.2165
1564	34040.1	354050.1	0.2288
1565	34070.3	354030.2	0.2171
