Desc	Family ID	FRAX00	FRAX01	FRAX02	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	FRAX34	Oeuropea
OG0000013_1	10000013	1	1	0	1	1	1	2	2	1	1	2	0	1	0	0	0	2	1	1	0	1	0	1	1	2	2	1	1	2	1	1
OG0000013_2	20000013	3	3	1	1	1	2	2	1	1	2	1	0	1	1	1	2	1	1	2	2	2	2	1	1	1	1	2	1	1	1	0
OG0000057_1	10000057	1	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1
OG0000057_2	20000057	2	11	16	8	8	10	6	9	8	10	9	7	8	13	12	10	8	7	7	8	2	6	9	12	10	10	1	11	6	12	0
OG0000069_1	10000069	2	6	7	9	8	9	6	10	8	9	10	9	9	9	9	9	10	9	8	6	9	8	9	9	8	11	9	8	9	6	1
OG0000069_2	20000069	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
OG0000138_1	10000138	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1
OG0000138_2	20000138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1
OG0000193_1	10000193	0	1	0	1	2	2	1	1	0	1	2	1	0	1	1	1	1	2	1	1	1	1	2	2	2	1	2	2	1	0	1
OG0000193_2	20000193	4	4	3	3	3	3	1	2	1	4	1	2	3	2	2	2	3	1	1	2	3	5	3	4	3	4	2	4	3	1	1
OG0000212_1	10000212	2	2	4	1	2	0	2	1	3	1	1	3	1	2	2	1	1	3	1	1	1	3	2	1	4	4	2	2	2	0	1
OG0000212_2	20000212	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1
OG0000223_1	10000223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
OG0000223_2	20000223	2	7	5	4	5	5	3	7	3	5	7	2	3	4	7	5	5	7	8	10	10	4	7	8	9	8	6	5	2	5	4
OG0000273_1	10000273	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1
OG0000273_2	20000273	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1
OG0000304_1	10000304	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000304_2	20000304	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	1
OG0000334_1	10000334	2	1	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	2
OG0000334_2	20000334	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1
OG0000378_1	10000378	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	1
OG0000378_2	20000378	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000391_1	10000391	0	1	0	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1
OG0000391_2	20000391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
OG0000398_1	10000398	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1
OG0000398_2	20000398	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000418_1	10000418	2	1	0	1	1	0	1	1	1	2	2	1	0	0	0	1	2	1	0	0	0	2	0	0	1	0	3	1	1	0	0
OG0000418_2	20000418	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
OG0000463_1	10000463	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	0
OG0000463_2	20000463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1
OG0000473_1	10000473	1	1	3	2	1	2	2	2	2	2	2	1	2	2	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
OG0000473_2	20000473	0	4	5	3	3	3	5	3	3	2	2	2	2	3	4	2	2	2	2	4	3	2	3	2	3	3	2	3	2	2	0
OG0000489_1	10000489	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
OG0000489_2	20000489	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	2
OG0000491_1	10000491	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	2	1	1	1	1	1	1	1	0	1	1	1	2
OG0000491_2	20000491	1	1	1	0	2	1	1	3	1	1	2	4	2	1	2	2	1	1	2	1	0	2	2	3	1	0	0	2	1	1	1
OG0000563_1	10000563	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1
OG0000563_2	20000563	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	2
OG0000587_1	10000587	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OG0000587_2	20000587	4	5	8	3	1	5	6	6	8	4	1	5	4	4	5	5	4	4	4	3	1	5	1	6	6	7	1	6	3	5	1
OG0000595_1	10000595	1	1	1	1	1	1	1	1	1	1	2	0	1	0	1	1	1	1	0	1	1	1	1	1	2	1	0	1	2	1	1
OG0000595_2	20000595	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
