Desc	Family ID	FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Oeuropea
10000013	10000013	1	1	1	1	1	2	2	1	1	2	0	1	0	0	0	2	1	1	0	1	0	1	1	2	2	1	1	2	1
10000057	10000057	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	1
10000069	10000069	2	6	9	8	9	6	10	8	9	10	9	9	9	9	9	10	9	8	6	9	8	9	9	8	11	9	8	9	1
10000138	10000138	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
10000193	10000193	0	1	1	2	2	1	1	0	1	2	1	0	1	1	1	1	2	1	1	1	1	2	2	2	1	2	2	1	1
10000212	10000212	2	2	1	2	0	2	1	3	1	1	3	1	2	2	1	1	3	1	1	1	3	2	1	4	4	2	2	2	1
10000223	10000223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
10000265	10000265	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1
10000273	10000273	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1
10000277	10000277	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
10000304	10000304	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000334	10000334	2	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	2
10000378	10000378	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	1
10000389	10000389	1	2	2	2	1	2	2	1	2	3	0	2	1	0	1	3	0	2	0	1	2	3	1	1	0	3	0	2	1
10000391	10000391	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1
10000398	10000398	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1
10000418	10000418	2	1	1	1	0	1	1	1	2	2	1	0	0	0	1	2	1	0	0	0	2	0	0	1	0	3	1	1	0
10000463	10000463	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0
10000491	10000491	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	2	1	1	1	1	1	1	1	0	1	1	2
10000563	10000563	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1
10000587	10000587	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10000612	10000612	1	0	2	1	1	1	2	0	1	2	1	2	2	0	1	1	2	2	0	1	2	2	2	2	1	2	2	2	2
10000617	10000617	3	2	2	2	3	4	4	4	2	2	3	3	2	2	2	2	2	3	3	1	3	2	3	3	3	2	3	3	1
10000622	10000622	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1
10000655	10000655	2	1	4	4	3	1	6	4	4	4	2	4	3	1	2	3	2	4	2	9	3	3	3	4	3	2	2	2	1
10000659	10000659	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	2
10000661	10000661	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0
10000670	10000670	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	3
10000708	10000708	2	2	2	0	2	2	2	2	2	3	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1
10000716	10000716	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1
10000721	10000721	1	1	1	1	1	1	1	0	1	1	2	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1
10000727	10000727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
10000740	10000740	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
10000751	10000751	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
10000753	10000753	3	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	1
10000784	10000784	1	2	2	1	1	2	1	1	3	1	2	4	3	0	1	3	1	1	3	0	4	2	1	1	1	0	2	2	1
10000798	10000798	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000816	10000816	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1
10000834	10000834	1	1	1	1	1	1	1	2	1	1	2	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	2
10000838	10000838	3	3	3	3	3	2	3	2	3	3	3	3	3	3	2	3	3	2	3	3	3	3	3	3	3	3	3	3	1
10000885	10000885	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0
10000892	10000892	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000919	10000919	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	0	0	1	1	1	1	1	0	0	1	0	2	0	0
10000927	10000927	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1
10000933	10000933	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1
10000939	10000939	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
10001012	10001012	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	1	2
10001020	10001020	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1
10001029	10001029	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10001030	10001030	3	2	4	3	4	4	4	2	4	4	1	3	1	1	2	4	3	2	2	3	4	4	1	2	3	3	1	3	1
10001036	10001036	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
10001048	10001048	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1
10001056	10001056	1	0	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1
10001063	10001063	1	1	2	2	2	2	2	1	2	2	0	1	2	0	0	2	1	1	1	2	2	1	1	1	1	2	1	0	2
10001069	10001069	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
10001070	10001070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
10001087	10001087	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1
10001090	10001090	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10001112	10001112	0	5	5	1	6	3	1	1	6	0	2	8	4	6	6	0	0	1	2	3	5	1	1	2	2	0	1	0	1
10001121	10001121	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1
10001130	10001130	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10001135	10001135	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10001149	10001149	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
10001154	10001154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10001171	10001171	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1
10001178	10001178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10001193	10001193	2	1	2	1	2	1	2	2	2	2	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	1
10001197	10001197	1	0	0	1	0	0	0	1	0	2	0	0	1	0	1	1	2	0	0	0	1	1	0	1	1	0	2	0	1
10001212	10001212	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10001217	10001217	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
10001220	10001220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4
10001257	10001257	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2
10001283	10001283	2	1	1	1	2	1	2	0	2	2	2	1	2	1	1	1	1	2	1	2	2	1	1	2	2	1	1	0	1
10001286	10001286	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1
10001299	10001299	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1
10001303	10001303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
10001304	10001304	1	1	1	2	2	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1
10001309	10001309	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1
10001322	10001322	1	2	2	1	4	1	1	1	3	1	1	3	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1
10001328	10001328	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10001332	10001332	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
10001343	10001343	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	0	1	1
10001346	10001346	1	1	1	1	1	1	5	3	1	1	2	1	1	1	0	1	1	1	1	1	1	1	2	5	3	1	2	1	1
10001350	10001350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
10001353	10001353	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2
10001354	10001354	0	1	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1
10001359	10001359	1	1	0	1	2	1	1	0	1	2	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1
10001370	10001370	1	1	3	1	1	1	0	3	1	1	0	2	3	1	3	1	1	1	1	1	3	1	2	1	0	1	0	2	1
10001375	10001375	1	2	1	3	3	1	1	1	1	1	1	2	0	0	0	1	1	2	0	1	1	1	0	1	0	2	2	1	1
10001376	10001376	2	2	2	2	3	2	0	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	1	1	1	1	2
10001379	10001379	2	3	1	1	1	2	2	1	3	2	0	2	1	3	2	2	1	3	2	2	1	2	3	3	3	1	5	1	1
10001391	10001391	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
